validation_step,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - _step,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - _step__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - _step__MAX,Eii,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-Eii__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-Eii__MAX,iEE,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iEE__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iEE__MAX,iEi,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iEi__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iEi__MAX,EEi,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-EEi__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-EEi__MAX,iiE,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iiE__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iiE__MAX,EiE,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-EiE__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-EiE__MAX,iii,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iii__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iii__MAX,EEE,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-EEE__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-EEE__MAX
18,20083.5,20080,20087,0,0,0,0.761904762,0.761904762,0.761904762,0,0,0,0,0,0,0.780487805,0.780487805,0.780487805,0,0,0,0.124281727,0.124281727,0.124281727,0.474641813,0.474641813,0.474641813
19,20091.5,20088,20095,0,0,0,0.876712329,0.876712329,0.876712329,0,0,0,0,0,0,0.876712329,0.876712329,0.876712329,0,0,0,0.054235946,0.054235946,0.054235946,0.823641146,0.823641146,0.823641146
20,20099.5,20096,20103,0.25,0.25,0.25,0.739130435,0.739130435,0.739130435,0,0,0,0.267857143,0.267857143,0.267857143,0.772727273,0.772727273,0.772727273,0,0,0,0.049224868,0.049224868,0.049224868,0.775258048,0.775258048,0.775258048
21,20107.5,20104,20111,0.238410596,0.238410596,0.238410596,0.35,0.35,0.35,0,0,0,0.253521127,0.253521127,0.253521127,0.424242424,0.424242424,0.424242424,0,0,0,0.071433296,0.071433296,0.071433296,0.195176209,0.195176209,0.195176209
22,20115.5,20112,20119,0,0,0,0.820512821,0.820512821,0.820512821,0,0,0,0,0,0,0.810126582,0.810126582,0.810126582,0,0,0,0.056713763,0.056713763,0.056713763,0.571723149,0.571723149,0.571723149
23,20123.5,20120,20127,0,0,0,0.901408451,0.901408451,0.901408451,0,0,0,0,0,0,0.853333333,0.853333333,0.853333333,0,0,0,0.010997067,0.010997067,0.010997067,0.798130772,0.798130772,0.798130772
24,20131.5,20128,20135,0.14,0.14,0.14,0.833333333,0.833333333,0.833333333,0,0,0,0.197183099,0.197183099,0.197183099,0.877192982,0.877192982,0.877192982,0,0,0,0.036671368,0.036671368,0.036671368,0.950669167,0.950669167,0.950669167
25,20139.5,20136,20143,0.41025641,0.41025641,0.41025641,0,0,0,0,0,0,0.429530201,0.429530201,0.429530201,0,0,0,0,0,0,0.10994441,0.10994441,0.10994441,0.89433416,0.89433416,0.89433416
26,20147.5,20144,20151,0.621359223,0.621359223,0.621359223,0,0,0,0,0,0,0.62745098,0.62745098,0.62745098,0,0,0,0,0,0,0.176282051,0.176282051,0.176282051,0.695317131,0.695317131,0.695317131
27,20155.5,20152,20159,0.432,0.432,0.432,0.227272727,0.227272727,0.227272727,0,0,0,0.477876106,0.477876106,0.477876106,0.416666667,0.416666667,0.416666667,0,0,0,0.207084124,0.207084124,0.207084124,0.24969741,0.24969741,0.24969741
28,20163.5,20160,20167,0,0,0,0.537815126,0.537815126,0.537815126,0,0,0,0,0,0,0.646464646,0.646464646,0.646464646,0,0,0,0.246562156,0.246562156,0.246562156,0.394190171,0.394190171,0.394190171
29,20171.5,20168,20175,0.450704225,0.450704225,0.450704225,0.551724138,0.551724138,0.551724138,0,0,0,0.484848485,0.484848485,0.484848485,0.64,0.64,0.64,0,0,0,0.186938083,0.186938083,0.186938083,0.540667976,0.540667976,0.540667976
30,20179.5,20176,20183,0.453900709,0.453900709,0.453900709,0.615384615,0.615384615,0.615384615,0,0,0,0.516129032,0.516129032,0.516129032,0.673684211,0.673684211,0.673684211,0,0,0,0.175797918,0.175797918,0.175797918,0.538078013,0.538078013,0.538078013
31,20187.5,20184,20191,0.447552448,0.447552448,0.447552448,0.678571429,0.678571429,0.678571429,0,0,0,0.581818182,0.581818182,0.581818182,0.666666667,0.666666667,0.666666667,0,0,0,0.294728859,0.294728859,0.294728859,0.519147153,0.519147153,0.519147153
32,20195.5,20192,20199,0.302158273,0.302158273,0.302158273,0.379310345,0.379310345,0.379310345,0,0,0,0.347107438,0.347107438,0.347107438,0.35483871,0.35483871,0.35483871,0,0,0,0.245454545,0.245454545,0.245454545,0.177154047,0.177154047,0.177154047
33,20203.5,20200,20207,0.126984127,0.126984127,0.126984127,0.735632184,0.735632184,0.735632184,0,0,0,0.126984127,0.126984127,0.126984127,0.735632184,0.735632184,0.735632184,0,0,0,0.117539725,0.117539725,0.117539725,0.403336656,0.403336656,0.403336656
34,20211.5,20208,20215,0.470588235,0.470588235,0.470588235,0.5,0.5,0.5,0,0,0,0.516129032,0.516129032,0.516129032,0.561403509,0.561403509,0.561403509,0,0,0,0.174835939,0.174835939,0.174835939,0.493053801,0.493053801,0.493053801
35,20219.5,20216,20223,0.402515723,0.402515723,0.402515723,0.64,0.64,0.64,0,0,0,0.453900709,0.453900709,0.453900709,0.711111111,0.711111111,0.711111111,0,0,0,0.152685527,0.152685527,0.152685527,0.488098221,0.488098221,0.488098221
36,20227.5,20224,20231,0.376470588,0.376470588,0.376470588,0.032786885,0.032786885,0.032786885,0,0,0,0.444444444,0.444444444,0.444444444,0.048780488,0.048780488,0.048780488,0,0,0,0.123266564,0.123266564,0.123266564,0.308592444,0.308592444,0.308592444
37,20235.5,20232,20239,0.248275862,0.248275862,0.248275862,0.534482759,0.534482759,0.534482759,0,0,0,0.5,0.5,0.5,0.631578947,0.631578947,0.631578947,0,0,0,0.267662054,0.267662054,0.267662054,0.246378653,0.246378653,0.246378653
38,20243.5,20240,20247,0.516129032,0.516129032,0.516129032,0.790123457,0.790123457,0.790123457,0,0,0,0.864864865,0.864864865,0.864864865,0.711111111,0.711111111,0.711111111,0,0,0,0.233052495,0.233052495,0.233052495,0.3024761,0.3024761,0.3024761
