training_step,sso01-adamw-lr5e-5-base-291mo307 - _step,sso01-adamw-lr5e-5-base-291mo307 - _step__MIN,sso01-adamw-lr5e-5-base-291mo307 - _step__MAX,lr5e-5,sso01-adamw-lr5e-5-base-291mo307 - training/f1_score-EEE__MIN,sso01-adamw-lr5e-5-base-291mo307 - training/f1_score-EEE__MAX,sso01-adamw-lr3e-5-base-s2rvguqj - _step,sso01-adamw-lr3e-5-base-s2rvguqj - _step__MIN,sso01-adamw-lr3e-5-base-s2rvguqj - _step__MAX,lr3e-5,sso01-adamw-lr3e-5-base-s2rvguqj - training/f1_score-EEE__MIN,sso01-adamw-lr3e-5-base-s2rvguqj - training/f1_score-EEE__MAX,sso01-adamw-lr2e-5-base-2fg7kdwu - _step,sso01-adamw-lr2e-5-base-2fg7kdwu - _step__MIN,sso01-adamw-lr2e-5-base-2fg7kdwu - _step__MAX,lr2e-5,sso01-adamw-lr2e-5-base-2fg7kdwu - training/f1_score-EEE__MIN,sso01-adamw-lr2e-5-base-2fg7kdwu - training/f1_score-EEE__MAX,sso01-adamw-lr1e-5-base-9kqvntjn - _step,sso01-adamw-lr1e-5-base-9kqvntjn - _step__MIN,sso01-adamw-lr1e-5-base-9kqvntjn - _step__MAX,lr1e-5,sso01-adamw-lr1e-5-base-9kqvntjn - training/f1_score-EEE__MIN,sso01-adamw-lr1e-5-base-9kqvntjn - training/f1_score-EEE__MAX,sso01-adamw-lr2e-4-base-14tz536k - _step,sso01-adamw-lr2e-4-base-14tz536k - _step__MIN,sso01-adamw-lr2e-4-base-14tz536k - _step__MAX,lr2e-4,sso01-adamw-lr2e-4-base-14tz536k - training/f1_score-EEE__MIN,sso01-adamw-lr2e-4-base-14tz536k - training/f1_score-EEE__MAX,sso01-adamw-base-rniq89vc - _step,sso01-adamw-base-rniq89vc - _step__MIN,sso01-adamw-base-rniq89vc - _step__MAX,lr4e-4,sso01-adamw-base-rniq89vc - training/f1_score-EEE__MIN,sso01-adamw-base-rniq89vc - training/f1_score-EEE__MAX
2703,28778,28778,28778,0.979280009,0.979280009,0.979280009,28778,28778,28778,0.433159767,0.433159767,0.433159767,28778,28778,28778,0.919995448,0.919995448,0.919995448,28778,28778,28778,0.495494398,0.495494398,0.495494398,28778,28778,28778,0,0,0,28778,28778,28778,0,0,0
2704,28787,28787,28787,0.989134164,0.989134164,0.989134164,28787,28787,28787,0.432706443,0.432706443,0.432706443,28787,28787,28787,0.887035979,0.887035979,0.887035979,28787,28787,28787,0.510428663,0.510428663,0.510428663,28787,28787,28787,0,0,0,28787,28787,28787,0,0,0
2705,28796,28796,28796,0.978273751,0.978273751,0.978273751,28796,28796,28796,0.494559441,0.494559441,0.494559441,28796,28796,28796,0.880279694,0.880279694,0.880279694,28796,28796,28796,0.546733429,0.546733429,0.546733429,28796,28796,28796,0,0,0,28796,28796,28796,0,0,0
2706,28805,28805,28805,0.991373713,0.991373713,0.991373713,28805,28805,28805,0.523385854,0.523385854,0.523385854,28805,28805,28805,0.908105226,0.908105226,0.908105226,28805,28805,28805,0.625207195,0.625207195,0.625207195,28805,28805,28805,0,0,0,28805,28805,28805,0,0,0
2707,28814,28814,28814,0.968208726,0.968208726,0.968208726,28814,28814,28814,0.447231877,0.447231877,0.447231877,28814,28814,28814,0.927177335,0.927177335,0.927177335,28814,28814,28814,0.503805549,0.503805549,0.503805549,28814,28814,28814,0,0,0,28814,28814,28814,0,0,0
2708,28823,28823,28823,0.994446068,0.994446068,0.994446068,28823,28823,28823,0.358845268,0.358845268,0.358845268,28823,28823,28823,0.867322521,0.867322521,0.867322521,28823,28823,28823,0.425446249,0.425446249,0.425446249,28823,28823,28823,0,0,0,28823,28823,28823,0,0,0
2709,28832,28832,28832,0.982118294,0.982118294,0.982118294,28832,28832,28832,0.548519096,0.548519096,0.548519096,28832,28832,28832,0.916734961,0.916734961,0.916734961,28832,28832,28832,0.615678776,0.615678776,0.615678776,28832,28832,28832,0,0,0,28832,28832,28832,0,0,0
2710,28841,28841,28841,0.981158977,0.981158977,0.981158977,28841,28841,28841,0.493562897,0.493562897,0.493562897,28841,28841,28841,0.900294649,0.900294649,0.900294649,28841,28841,28841,0.566961832,0.566961832,0.566961832,28841,28841,28841,0,0,0,28841,28841,28841,0,0,0
2711,28850,28850,28850,0.990935427,0.990935427,0.990935427,28850,28850,28850,0.511482459,0.511482459,0.511482459,28850,28850,28850,0.902958057,0.902958057,0.902958057,28850,28850,28850,0.589093881,0.589093881,0.589093881,28850,28850,28850,0,0,0,28850,28850,28850,0,0,0
2712,28859,28859,28859,0.989585856,0.989585856,0.989585856,28859,28859,28859,0.429109426,0.429109426,0.429109426,28859,28859,28859,0.897354015,0.897354015,0.897354015,28859,28859,28859,0.495399949,0.495399949,0.495399949,28859,28859,28859,0,0,0,28859,28859,28859,0,0,0
2713,28868,28868,28868,0.989987363,0.989987363,0.989987363,28868,28868,28868,0.487959134,0.487959134,0.487959134,28868,28868,28868,0.889105576,0.889105576,0.889105576,28868,28868,28868,0.580036771,0.580036771,0.580036771,28868,28868,28868,0,0,0,28868,28868,28868,0,0,0
2714,28877,28877,28877,0.989702739,0.989702739,0.989702739,28877,28877,28877,0.513460748,0.513460748,0.513460748,28877,28877,28877,0.895698827,0.895698827,0.895698827,28877,28877,28877,0.565905915,0.565905915,0.565905915,28877,28877,28877,0,0,0,28877,28877,28877,0,0,0
2715,28886,28886,28886,0.988416255,0.988416255,0.988416255,28886,28886,28886,0.501759531,0.501759531,0.501759531,28886,28886,28886,0.926233954,0.926233954,0.926233954,28886,28886,28886,0.590236598,0.590236598,0.590236598,28886,28886,28886,0,0,0,28886,28886,28886,0,0,0
2716,28895,28895,28895,0.977219167,0.977219167,0.977219167,28895,28895,28895,0.437172775,0.437172775,0.437172775,28895,28895,28895,0.865483804,0.865483804,0.865483804,28895,28895,28895,0.484935438,0.484935438,0.484935438,28895,28895,28895,0,0,0,28895,28895,28895,0,0,0
2717,28904,28904,28904,0.982190466,0.982190466,0.982190466,28904,28904,28904,0.462459416,0.462459416,0.462459416,28904,28904,28904,0.912086808,0.912086808,0.912086808,28904,28904,28904,0.544056551,0.544056551,0.544056551,28904,28904,28904,0,0,0,28904,28904,28904,0,0,0
2718,28913,28913,28913,0.982288384,0.982288384,0.982288384,28913,28913,28913,0.448134849,0.448134849,0.448134849,28913,28913,28913,0.895763826,0.895763826,0.895763826,28913,28913,28913,0.527193037,0.527193037,0.527193037,28913,28913,28913,0,0,0,28913,28913,28913,0,0,0
2719,28922,28922,28922,0.991052255,0.991052255,0.991052255,28922,28922,28922,0.516116853,0.516116853,0.516116853,28922,28922,28922,0.882668836,0.882668836,0.882668836,28922,28922,28922,0.589700438,0.589700438,0.589700438,28922,28922,28922,0,0,0,28922,28922,28922,0,0,0
2720,28931,28931,28931,0.992238358,0.992238358,0.992238358,28931,28931,28931,0.40617073,0.40617073,0.40617073,28931,28931,28931,0.91074856,0.91074856,0.91074856,28931,28931,28931,0.490828092,0.490828092,0.490828092,28931,28931,28931,0,0,0,28931,28931,28931,0,0,0
2721,28940,28940,28940,0.980458532,0.980458532,0.980458532,28940,28940,28940,0.349678766,0.349678766,0.349678766,28940,28940,28940,0.863305399,0.863305399,0.863305399,28940,28940,28940,0.409174054,0.409174054,0.409174054,28940,28940,28940,0,0,0,28940,28940,28940,0,0,0
2722,28949,28949,28949,0.993980255,0.993980255,0.993980255,28949,28949,28949,0.422433382,0.422433382,0.422433382,28949,28949,28949,0.920064501,0.920064501,0.920064501,28949,28949,28949,0.526712421,0.526712421,0.526712421,28949,28949,28949,0,0,0,28949,28949,28949,0,0,0
2723,28958,28958,28958,0.99222473,0.99222473,0.99222473,28958,28958,28958,0.420780341,0.420780341,0.420780341,28958,28958,28958,0.886139803,0.886139803,0.886139803,28958,28958,28958,0.51803417,0.51803417,0.51803417,28958,28958,28958,0,0,0,28958,28958,28958,0,0,0
2724,28967,28967,28967,0.980267922,0.980267922,0.980267922,28967,28967,28967,0.525012002,0.525012002,0.525012002,28967,28967,28967,0.938423207,0.938423207,0.938423207,28967,28967,28967,0.605062274,0.605062274,0.605062274,28967,28967,28967,0,0,0,28967,28967,28967,0,0,0
2725,28976,28976,28976,0.98865372,0.98865372,0.98865372,28976,28976,28976,0.45488132,0.45488132,0.45488132,28976,28976,28976,0.901195721,0.901195721,0.901195721,28976,28976,28976,0.555984043,0.555984043,0.555984043,28976,28976,28976,0,0,0,28976,28976,28976,0,0,0
2726,28985,28985,28985,0.987240325,0.987240325,0.987240325,28985,28985,28985,0.473054505,0.473054505,0.473054505,28985,28985,28985,0.92956593,0.92956593,0.92956593,28985,28985,28985,0.624436302,0.624436302,0.624436302,28985,28985,28985,0,0,0,28985,28985,28985,0,0,0
2727,28994,28994,28994,0.99121447,0.99121447,0.99121447,28994,28994,28994,0.474033425,0.474033425,0.474033425,28994,28994,28994,0.933625673,0.933625673,0.933625673,28994,28994,28994,0.578760163,0.578760163,0.578760163,28994,28994,28994,0,0,0,28994,28994,28994,0,0,0
2728,29003,29003,29003,0.991440627,0.991440627,0.991440627,29003,29003,29003,0.41929307,0.41929307,0.41929307,29003,29003,29003,0.917613969,0.917613969,0.917613969,29003,29003,29003,0.533709848,0.533709848,0.533709848,29003,29003,29003,0,0,0,29003,29003,29003,0,0,0
2729,29012,29012,29012,0.987293803,0.987293803,0.987293803,29012,29012,29012,0.457570015,0.457570015,0.457570015,29012,29012,29012,0.886173342,0.886173342,0.886173342,29012,29012,29012,0.547177529,0.547177529,0.547177529,29012,29012,29012,0,0,0,29012,29012,29012,0,0,0
2730,29021,29021,29021,0.992267175,0.992267175,0.992267175,29021,29021,29021,0.442219188,0.442219188,0.442219188,29021,29021,29021,0.910671274,0.910671274,0.910671274,29021,29021,29021,0.537664484,0.537664484,0.537664484,29021,29021,29021,0,0,0,29021,29021,29021,0,0,0
2731,29030,29030,29030,0.989891697,0.989891697,0.989891697,29030,29030,29030,0.535941223,0.535941223,0.535941223,29030,29030,29030,0.888049047,0.888049047,0.888049047,29030,29030,29030,0.613875513,0.613875513,0.613875513,29030,29030,29030,0,0,0,29030,29030,29030,0,0,0
2732,29039,29039,29039,0.979608566,0.979608566,0.979608566,29039,29039,29039,0.466044352,0.466044352,0.466044352,29039,29039,29039,0.86611159,0.86611159,0.86611159,29039,29039,29039,0.577596794,0.577596794,0.577596794,29039,29039,29039,0,0,0,29039,29039,29039,0,0,0
2733,29048,29048,29048,0.990192603,0.990192603,0.990192603,29048,29048,29048,0.426217654,0.426217654,0.426217654,29048,29048,29048,0.911547912,0.911547912,0.911547912,29048,29048,29048,0.541244974,0.541244974,0.541244974,29048,29048,29048,0,0,0,29048,29048,29048,0,0,0
2734,29057,29057,29057,0.976314543,0.976314543,0.976314543,29057,29057,29057,0.433711507,0.433711507,0.433711507,29057,29057,29057,0.881974015,0.881974015,0.881974015,29057,29057,29057,0.502785611,0.502785611,0.502785611,29057,29057,29057,0,0,0,29057,29057,29057,0,0,0
2735,29066,29066,29066,0.989580686,0.989580686,0.989580686,29066,29066,29066,0.405218485,0.405218485,0.405218485,29066,29066,29066,0.901540995,0.901540995,0.901540995,29066,29066,29066,0.505171932,0.505171932,0.505171932,29066,29066,29066,0,0,0,29066,29066,29066,0,0,0
2736,29075,29075,29075,0.99104187,0.99104187,0.99104187,29075,29075,29075,0.502179686,0.502179686,0.502179686,29075,29075,29075,0.913600586,0.913600586,0.913600586,29075,29075,29075,0.586316046,0.586316046,0.586316046,29075,29075,29075,0,0,0,29075,29075,29075,0,0,0
2737,29084,29084,29084,0.991289747,0.991289747,0.991289747,29084,29084,29084,0.466334165,0.466334165,0.466334165,29084,29084,29084,0.917700784,0.917700784,0.917700784,29084,29084,29084,0.553123266,0.553123266,0.553123266,29084,29084,29084,0,0,0,29084,29084,29084,0,0,0
2738,29093,29093,29093,0.990682949,0.990682949,0.990682949,29093,29093,29093,0.519313098,0.519313098,0.519313098,29093,29093,29093,0.866321584,0.866321584,0.866321584,29093,29093,29093,0.593421892,0.593421892,0.593421892,29093,29093,29093,0,0,0,29093,29093,29093,0,0,0
2739,29102,29102,29102,0.983079889,0.983079889,0.983079889,29102,29102,29102,0.462663822,0.462663822,0.462663822,29102,29102,29102,0.902711967,0.902711967,0.902711967,29102,29102,29102,0.562181913,0.562181913,0.562181913,29102,29102,29102,0,0,0,29102,29102,29102,0,0,0
2740,29111,29111,29111,0.984058917,0.984058917,0.984058917,29111,29111,29111,0.506729931,0.506729931,0.506729931,29111,29111,29111,0.868339347,0.868339347,0.868339347,29111,29111,29111,0.584993243,0.584993243,0.584993243,29111,29111,29111,0,0,0,29111,29111,29111,0,0,0
2741,29120,29120,29120,0.987632702,0.987632702,0.987632702,29120,29120,29120,0.451954069,0.451954069,0.451954069,29120,29120,29120,0.892681458,0.892681458,0.892681458,29120,29120,29120,0.517689749,0.517689749,0.517689749,29120,29120,29120,0,0,0,29120,29120,29120,0,0,0
2742,29129,29129,29129,0.984854369,0.984854369,0.984854369,29129,29129,29129,0.406748599,0.406748599,0.406748599,29129,29129,29129,0.880057116,0.880057116,0.880057116,29129,29129,29129,0.532056006,0.532056006,0.532056006,29129,29129,29129,0,0,0,29129,29129,29129,0,0,0
2743,29138,29138,29138,0.988461946,0.988461946,0.988461946,29138,29138,29138,0.471515768,0.471515768,0.471515768,29138,29138,29138,0.888287068,0.888287068,0.888287068,29138,29138,29138,0.531807835,0.531807835,0.531807835,29138,29138,29138,0,0,0,29138,29138,29138,0,0,0
2744,29147,29147,29147,0.983819346,0.983819346,0.983819346,29147,29147,29147,0.533973589,0.533973589,0.533973589,29147,29147,29147,0.910418613,0.910418613,0.910418613,29147,29147,29147,0.618121442,0.618121442,0.618121442,29147,29147,29147,0,0,0,29147,29147,29147,0,0,0
2745,29156,29156,29156,0.98741444,0.98741444,0.98741444,29156,29156,29156,0.452984883,0.452984883,0.452984883,29156,29156,29156,0.907479692,0.907479692,0.907479692,29156,29156,29156,0.550182482,0.550182482,0.550182482,29156,29156,29156,0,0,0,29156,29156,29156,0,0,0
2746,29165,29165,29165,0.989421416,0.989421416,0.989421416,29165,29165,29165,0.471498797,0.471498797,0.471498797,29165,29165,29165,0.906220791,0.906220791,0.906220791,29165,29165,29165,0.565306527,0.565306527,0.565306527,29165,29165,29165,0,0,0,29165,29165,29165,0,0,0
2747,29174,29174,29174,0.987019062,0.987019062,0.987019062,29174,29174,29174,0.430314309,0.430314309,0.430314309,29174,29174,29174,0.91616011,0.91616011,0.91616011,29174,29174,29174,0.530628587,0.530628587,0.530628587,29174,29174,29174,0,0,0,29174,29174,29174,0,0,0
2748,29183,29183,29183,0.987165647,0.987165647,0.987165647,29183,29183,29183,0.428165157,0.428165157,0.428165157,29183,29183,29183,0.898710434,0.898710434,0.898710434,29183,29183,29183,0.510851854,0.510851854,0.510851854,29183,29183,29183,0,0,0,29183,29183,29183,0,0,0
2749,29192,29192,29192,0.97992371,0.97992371,0.97992371,29192,29192,29192,0.474464418,0.474464418,0.474464418,29192,29192,29192,0.916491649,0.916491649,0.916491649,29192,29192,29192,0.546098872,0.546098872,0.546098872,29192,29192,29192,0,0,0,29192,29192,29192,0,0,0
2750,29201,29201,29201,0.980685659,0.980685659,0.980685659,29201,29201,29201,0.412824427,0.412824427,0.412824427,29201,29201,29201,0.903795655,0.903795655,0.903795655,29201,29201,29201,0.481791339,0.481791339,0.481791339,29201,29201,29201,0,0,0,29201,29201,29201,0,0,0
2751,29210,29210,29210,0.977768091,0.977768091,0.977768091,29210,29210,29210,0.448131525,0.448131525,0.448131525,29210,29210,29210,0.894996912,0.894996912,0.894996912,29210,29210,29210,0.528345925,0.528345925,0.528345925,29210,29210,29210,0,0,0,29210,29210,29210,0,0,0
2752,29219,29219,29219,0.994337737,0.994337737,0.994337737,29219,29219,29219,0.453004149,0.453004149,0.453004149,29219,29219,29219,0.888360062,0.888360062,0.888360062,29219,29219,29219,0.518089552,0.518089552,0.518089552,29219,29219,29219,0,0,0,29219,29219,29219,0,0,0
2753,29228,29228,29228,0.989033457,0.989033457,0.989033457,29228,29228,29228,0.517126639,0.517126639,0.517126639,29228,29228,29228,0.897381831,0.897381831,0.897381831,29228,29228,29228,0.585564216,0.585564216,0.585564216,29228,29228,29228,0,0,0,29228,29228,29228,0,0,0
2754,29237,29237,29237,0.992802245,0.992802245,0.992802245,29237,29237,29237,0.424476004,0.424476004,0.424476004,29237,29237,29237,0.928300994,0.928300994,0.928300994,29237,29237,29237,0.503707558,0.503707558,0.503707558,29237,29237,29237,0,0,0,29237,29237,29237,0,0,0
2755,29246,29246,29246,0.985694606,0.985694606,0.985694606,29246,29246,29246,0.468031591,0.468031591,0.468031591,29246,29246,29246,0.895589824,0.895589824,0.895589824,29246,29246,29246,0.550425425,0.550425425,0.550425425,29246,29246,29246,0,0,0,29246,29246,29246,0,0,0
2756,29255,29255,29255,0.97784445,0.97784445,0.97784445,29255,29255,29255,0.430644343,0.430644343,0.430644343,29255,29255,29255,0.887088061,0.887088061,0.887088061,29255,29255,29255,0.509939927,0.509939927,0.509939927,29255,29255,29255,0,0,0,29255,29255,29255,0,0,0
2757,29264,29264,29264,0.991315965,0.991315965,0.991315965,29264,29264,29264,0.444904346,0.444904346,0.444904346,29264,29264,29264,0.911493289,0.911493289,0.911493289,29264,29264,29264,0.547284734,0.547284734,0.547284734,29264,29264,29264,0,0,0,29264,29264,29264,0,0,0
2758,29273,29273,29273,0.993398302,0.993398302,0.993398302,29273,29273,29273,0.469225777,0.469225777,0.469225777,29273,29273,29273,0.907175903,0.907175903,0.907175903,29273,29273,29273,0.557674505,0.557674505,0.557674505,29273,29273,29273,0,0,0,29273,29273,29273,0,0,0
2759,29282,29282,29282,0.975178593,0.975178593,0.975178593,29282,29282,29282,0.416830353,0.416830353,0.416830353,29282,29282,29282,0.893139686,0.893139686,0.893139686,29282,29282,29282,0.499074808,0.499074808,0.499074808,29282,29282,29282,0,0,0,29282,29282,29282,0,0,0
2760,29291,29291,29291,0.98647496,0.98647496,0.98647496,29291,29291,29291,0.410766046,0.410766046,0.410766046,29291,29291,29291,0.851247166,0.851247166,0.851247166,29291,29291,29291,0.50728863,0.50728863,0.50728863,29291,29291,29291,0,0,0,29291,29291,29291,0,0,0
2761,29300,29300,29300,0.991001,0.991001,0.991001,29300,29300,29300,0.445723518,0.445723518,0.445723518,29300,29300,29300,0.897275064,0.897275064,0.897275064,29300,29300,29300,0.558173395,0.558173395,0.558173395,29300,29300,29300,0,0,0,29300,29300,29300,0,0,0
2762,29309,29309,29309,0.988264059,0.988264059,0.988264059,29309,29309,29309,0.414090508,0.414090508,0.414090508,29309,29309,29309,0.880431122,0.880431122,0.880431122,29309,29309,29309,0.514012956,0.514012956,0.514012956,29309,29309,29309,0,0,0,29309,29309,29309,0,0,0
2763,29318,29318,29318,0.986351646,0.986351646,0.986351646,29318,29318,29318,0.430976091,0.430976091,0.430976091,29318,29318,29318,0.841580126,0.841580126,0.841580126,29318,29318,29318,0.520216866,0.520216866,0.520216866,29318,29318,29318,0,0,0,29318,29318,29318,0,0,0
2764,29327,29327,29327,0.993404937,0.993404937,0.993404937,29327,29327,29327,0.528425024,0.528425024,0.528425024,29327,29327,29327,0.856615178,0.856615178,0.856615178,29327,29327,29327,0.597714901,0.597714901,0.597714901,29327,29327,29327,0,0,0,29327,29327,29327,0,0,0
2765,29336,29336,29336,0.992287918,0.992287918,0.992287918,29336,29336,29336,0.517489312,0.517489312,0.517489312,29336,29336,29336,0.880714227,0.880714227,0.880714227,29336,29336,29336,0.588194763,0.588194763,0.588194763,29336,29336,29336,0,0,0,29336,29336,29336,0,0,0
2766,29345,29345,29345,0.986068922,0.986068922,0.986068922,29345,29345,29345,0.461947164,0.461947164,0.461947164,29345,29345,29345,0.908379013,0.908379013,0.908379013,29345,29345,29345,0.555562321,0.555562321,0.555562321,29345,29345,29345,0,0,0,29345,29345,29345,0,0,0
2767,29354,29354,29354,0.989903284,0.989903284,0.989903284,29354,29354,29354,0.471923903,0.471923903,0.471923903,29354,29354,29354,0.907343177,0.907343177,0.907343177,29354,29354,29354,0.582788598,0.582788598,0.582788598,29354,29354,29354,0,0,0,29354,29354,29354,0,0,0
2768,29363,29363,29363,0.982443217,0.982443217,0.982443217,29363,29363,29363,0.405071025,0.405071025,0.405071025,29363,29363,29363,0.867979414,0.867979414,0.867979414,29363,29363,29363,0.466999445,0.466999445,0.466999445,29363,29363,29363,0,0,0,29363,29363,29363,0,0,0
2769,29372,29372,29372,0.9858134,0.9858134,0.9858134,29372,29372,29372,0.472173521,0.472173521,0.472173521,29372,29372,29372,0.897015069,0.897015069,0.897015069,29372,29372,29372,0.560525493,0.560525493,0.560525493,29372,29372,29372,0,0,0,29372,29372,29372,0,0,0
2770,29381,29381,29381,0.991718427,0.991718427,0.991718427,29381,29381,29381,0.468049383,0.468049383,0.468049383,29381,29381,29381,0.907938946,0.907938946,0.907938946,29381,29381,29381,0.558538542,0.558538542,0.558538542,29381,29381,29381,0,0,0,29381,29381,29381,0,0,0
2771,29390,29390,29390,0.981094306,0.981094306,0.981094306,29390,29390,29390,0.463170176,0.463170176,0.463170176,29390,29390,29390,0.877845062,0.877845062,0.877845062,29390,29390,29390,0.539731682,0.539731682,0.539731682,29390,29390,29390,0,0,0,29390,29390,29390,0,0,0
2772,29399,29399,29399,0.985756137,0.985756137,0.985756137,29399,29399,29399,0.487371328,0.487371328,0.487371328,29399,29399,29399,0.880797817,0.880797817,0.880797817,29399,29399,29399,0.554129531,0.554129531,0.554129531,29399,29399,29399,0,0,0,29399,29399,29399,0,0,0
2773,29408,29408,29408,0.990648379,0.990648379,0.990648379,29408,29408,29408,0.471141006,0.471141006,0.471141006,29408,29408,29408,0.87239905,0.87239905,0.87239905,29408,29408,29408,0.54925,0.54925,0.54925,29408,29408,29408,0,0,0,29408,29408,29408,0,0,0
2774,29417,29417,29417,0.991027825,0.991027825,0.991027825,29417,29417,29417,0.434509963,0.434509963,0.434509963,29417,29417,29417,0.932145607,0.932145607,0.932145607,29417,29417,29417,0.553883693,0.553883693,0.553883693,29417,29417,29417,0,0,0,29417,29417,29417,0,0,0
2775,29426,29426,29426,0.979043525,0.979043525,0.979043525,29426,29426,29426,0.406802568,0.406802568,0.406802568,29426,29426,29426,0.860243902,0.860243902,0.860243902,29426,29426,29426,0.498637401,0.498637401,0.498637401,29426,29426,29426,0,0,0,29426,29426,29426,0,0,0
2776,29435,29435,29435,0.994111189,0.994111189,0.994111189,29435,29435,29435,0.479520771,0.479520771,0.479520771,29435,29435,29435,0.930841842,0.930841842,0.930841842,29435,29435,29435,0.565948097,0.565948097,0.565948097,29435,29435,29435,0,0,0,29435,29435,29435,0,0,0
2777,29444,29444,29444,0.98500693,0.98500693,0.98500693,29444,29444,29444,0.401851376,0.401851376,0.401851376,29444,29444,29444,0.893034525,0.893034525,0.893034525,29444,29444,29444,0.493348956,0.493348956,0.493348956,29444,29444,29444,0,0,0,29444,29444,29444,0,0,0
2778,29453,29453,29453,0.976465554,0.976465554,0.976465554,29453,29453,29453,0.370947931,0.370947931,0.370947931,29453,29453,29453,0.861009609,0.861009609,0.861009609,29453,29453,29453,0.493102926,0.493102926,0.493102926,29453,29453,29453,0,0,0,29453,29453,29453,0,0,0
2779,29462,29462,29462,0.979985532,0.979985532,0.979985532,29462,29462,29462,0.41857816,0.41857816,0.41857816,29462,29462,29462,0.911564626,0.911564626,0.911564626,29462,29462,29462,0.501541489,0.501541489,0.501541489,29462,29462,29462,0,0,0,29462,29462,29462,0,0,0
2780,29471,29471,29471,0.994604887,0.994604887,0.994604887,29471,29471,29471,0.476014571,0.476014571,0.476014571,29471,29471,29471,0.905667975,0.905667975,0.905667975,29471,29471,29471,0.55723842,0.55723842,0.55723842,29471,29471,29471,0,0,0,29471,29471,29471,0,0,0
2781,29480,29480,29480,0.990433815,0.990433815,0.990433815,29480,29480,29480,0.456371658,0.456371658,0.456371658,29480,29480,29480,0.897848881,0.897848881,0.897848881,29480,29480,29480,0.525331351,0.525331351,0.525331351,29480,29480,29480,0,0,0,29480,29480,29480,0,0,0
2782,29489,29489,29489,0.992543496,0.992543496,0.992543496,29489,29489,29489,0.481326531,0.481326531,0.481326531,29489,29489,29489,0.915103653,0.915103653,0.915103653,29489,29489,29489,0.572202621,0.572202621,0.572202621,29489,29489,29489,0,0,0,29489,29489,29489,0,0,0
2783,29498,29498,29498,0.987414067,0.987414067,0.987414067,29498,29498,29498,0.455964712,0.455964712,0.455964712,29498,29498,29498,0.888269824,0.888269824,0.888269824,29498,29498,29498,0.562304401,0.562304401,0.562304401,29498,29498,29498,0,0,0,29498,29498,29498,0,0,0
2784,29507,29507,29507,0.984665052,0.984665052,0.984665052,29507,29507,29507,0.481012658,0.481012658,0.481012658,29507,29507,29507,0.89194499,0.89194499,0.89194499,29507,29507,29507,0.542477341,0.542477341,0.542477341,29507,29507,29507,0,0,0,29507,29507,29507,0,0,0
2785,29516,29516,29516,0.972904533,0.972904533,0.972904533,29516,29516,29516,0.409395248,0.409395248,0.409395248,29516,29516,29516,0.891942245,0.891942245,0.891942245,29516,29516,29516,0.532290503,0.532290503,0.532290503,29516,29516,29516,0,0,0,29516,29516,29516,0,0,0
2786,29525,29525,29525,0.995246327,0.995246327,0.995246327,29525,29525,29525,0.462448376,0.462448376,0.462448376,29525,29525,29525,0.90276061,0.90276061,0.90276061,29525,29525,29525,0.550700531,0.550700531,0.550700531,29525,29525,29525,0,0,0,29525,29525,29525,0,0,0
2787,29534,29534,29534,0.992601156,0.992601156,0.992601156,29534,29534,29534,0.431638533,0.431638533,0.431638533,29534,29534,29534,0.88688946,0.88688946,0.88688946,29534,29534,29534,0.489275015,0.489275015,0.489275015,29534,29534,29534,0,0,0,29534,29534,29534,0,0,0
2788,29543,29543,29543,0.980510956,0.980510956,0.980510956,29543,29543,29543,0.473356401,0.473356401,0.473356401,29543,29543,29543,0.901186521,0.901186521,0.901186521,29543,29543,29543,0.557163707,0.557163707,0.557163707,29543,29543,29543,0,0,0,29543,29543,29543,0,0,0
2789,29552,29552,29552,0.981297167,0.981297167,0.981297167,29552,29552,29552,0.455676911,0.455676911,0.455676911,29552,29552,29552,0.87614363,0.87614363,0.87614363,29552,29552,29552,0.543722046,0.543722046,0.543722046,29552,29552,29552,0,0,0,29552,29552,29552,0,0,0
2790,29561,29561,29561,0.990497848,0.990497848,0.990497848,29561,29561,29561,0.560489331,0.560489331,0.560489331,29561,29561,29561,0.909563489,0.909563489,0.909563489,29561,29561,29561,0.613038212,0.613038212,0.613038212,29561,29561,29561,0,0,0,29561,29561,29561,0,0,0
2791,29570,29570,29570,0.989427861,0.989427861,0.989427861,29570,29570,29570,0.471465759,0.471465759,0.471465759,29570,29570,29570,0.924923743,0.924923743,0.924923743,29570,29570,29570,0.558239597,0.558239597,0.558239597,29570,29570,29570,0,0,0,29570,29570,29570,0,0,0
2792,29579,29579,29579,0.985253567,0.985253567,0.985253567,29579,29579,29579,0.424621805,0.424621805,0.424621805,29579,29579,29579,0.85812611,0.85812611,0.85812611,29579,29579,29579,0.512728527,0.512728527,0.512728527,29579,29579,29579,0,0,0,29579,29579,29579,0,0,0
2793,29588,29588,29588,0.980472298,0.980472298,0.980472298,29588,29588,29588,0.450321279,0.450321279,0.450321279,29588,29588,29588,0.854329875,0.854329875,0.854329875,29588,29588,29588,0.53309169,0.53309169,0.53309169,29588,29588,29588,0,0,0,29588,29588,29588,0,0,0
2794,29597,29597,29597,0.985154,0.985154,0.985154,29597,29597,29597,0.454047412,0.454047412,0.454047412,29597,29597,29597,0.894742279,0.894742279,0.894742279,29597,29597,29597,0.527741535,0.527741535,0.527741535,29597,29597,29597,0,0,0,29597,29597,29597,0,0,0
