validation_step,sso01-adamw-lr5e-5-base-291mo307 - _step,sso01-adamw-lr5e-5-base-291mo307 - _step__MIN,sso01-adamw-lr5e-5-base-291mo307 - _step__MAX,ft-Eii,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-Eii__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-Eii__MAX,ft-iEE,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iEE__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iEE__MAX,ft-iEi,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iEi__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iEi__MAX,ft-EEi,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EEi__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EEi__MAX,ft-iiE,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iiE__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iiE__MAX,ft-EiE,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EiE__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EiE__MAX,ft-iii,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iii__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iii__MAX,ft-EEE,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EEE__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EEE__MAX,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - _step,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - _step__MIN,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - _step__MAX,fb-Eii,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - validation/f1_score-Eii__MIN,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - validation/f1_score-Eii__MAX,fb-iEE,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - validation/f1_score-iEE__MIN,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - validation/f1_score-iEE__MAX,fb-iEi,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - validation/f1_score-iEi__MIN,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - validation/f1_score-iEi__MAX,fb-EEi,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - validation/f1_score-EEi__MIN,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - validation/f1_score-EEi__MAX,fb-iiE,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - validation/f1_score-iiE__MIN,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - validation/f1_score-iiE__MAX,fb-EiE,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - validation/f1_score-EiE__MIN,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - validation/f1_score-EiE__MAX,fb-iii,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - validation/f1_score-iii__MIN,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - validation/f1_score-iii__MAX,fb-EEE,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - validation/f1_score-EEE__MIN,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - validation/f1_score-EEE__MAX
225,21739.5,21736,21743,0.62745098,0.62745098,0.62745098,0.901408451,0.901408451,0.901408451,0,0,0,0.680851064,0.680851064,0.680851064,0.8,0.8,0.8,0,0,0,0.996212745,0.996212745,0.996212745,0.999875016,0.999875016,0.999875016,21739.5,21736,21743,0.138828633,0.138828633,0.138828633,0,0,0,0,0,0,0.117431193,0.117431193,0.117431193,0,0,0,0,0,0,0.65538282,0.65538282,0.65538282,0.582875855,0.582875855,0.582875855
226,21747.5,21744,21751,0.790123457,0.790123457,0.790123457,0.609756098,0.609756098,0.609756098,0,0,0,0.831168831,0.831168831,0.831168831,0.631578947,0.631578947,0.631578947,0,0,0,0.99697422,0.99697422,0.99697422,0.995090885,0.995090885,0.995090885,21747.5,21744,21751,0.165803109,0.165803109,0.165803109,0,0,0,0,0,0,0.158024691,0.158024691,0.158024691,0,0,0,0,0,0,0.580648782,0.580648782,0.580648782,0.518894623,0.518894623,0.518894623
227,21755.5,21752,21759,0.777777778,0.777777778,0.777777778,0.385542169,0.385542169,0.385542169,0,0,0,0.954545455,0.954545455,0.954545455,0.248062016,0.248062016,0.248062016,0,0,0,0.992687265,0.992687265,0.992687265,0.936105477,0.936105477,0.936105477,21755.5,21752,21759,0.114441417,0.114441417,0.114441417,0.041612484,0.041612484,0.041612484,0,0,0,0.143835616,0.143835616,0.143835616,0.029795158,0.029795158,0.029795158,0,0,0,0.823927765,0.823927765,0.823927765,0.267003935,0.267003935,0.267003935
228,21763.5,21760,21767,0.673684211,0.673684211,0.673684211,0.503401361,0.503401361,0.503401361,0,0,0,0.853333333,0.853333333,0.853333333,0.435294118,0.435294118,0.435294118,0,0,0,0.990131244,0.990131244,0.990131244,0.969992498,0.969992498,0.969992498,21763.5,21760,21767,0.125984252,0.125984252,0.125984252,0.108345534,0.108345534,0.108345534,0,0,0,0.164102564,0.164102564,0.164102564,0.069679849,0.069679849,0.069679849,0,0,0,0.881457891,0.881457891,0.881457891,0.131260794,0.131260794,0.131260794
229,21771.5,21768,21775,0.646464646,0.646464646,0.646464646,0.727272727,0.727272727,0.727272727,0,0,0,0.810126582,0.810126582,0.810126582,0.659793814,0.659793814,0.659793814,0,0,0,0.993344793,0.993344793,0.993344793,0.995426991,0.995426991,0.995426991,21771.5,21768,21775,0.112280702,0.112280702,0.112280702,0.145952109,0.145952109,0.145952109,0,0,0,0.120527307,0.120527307,0.120527307,0.113676732,0.113676732,0.113676732,0,0,0,0.839273137,0.839273137,0.839273137,0.676781163,0.676781163,0.676781163
230,21779.5,21776,21783,0.761904762,0.761904762,0.761904762,0.869565217,0.869565217,0.869565217,0,0,0,0.711111111,0.711111111,0.711111111,0.845070423,0.845070423,0.845070423,0,0,0,0.991954881,0.991954881,0.991954881,0.997068906,0.997068906,0.997068906,21779.5,21776,21783,0.1,0.1,0.1,0.138408304,0.138408304,0.138408304,0,0,0,0.110344828,0.110344828,0.110344828,0.117762512,0.117762512,0.117762512,0,0,0,0.74929841,0.74929841,0.74929841,0.816493314,0.816493314,0.816493314
231,21787.5,21784,21791,0.7,0.7,0.7,0.578947368,0.578947368,0.578947368,0,0,0,0.736842105,0.736842105,0.736842105,0.523809524,0.523809524,0.523809524,0,0,0,0.979064899,0.979064899,0.979064899,0.994780519,0.994780519,0.994780519,21787.5,21784,21791,0.067307692,0.067307692,0.067307692,0.072013093,0.072013093,0.072013093,0,0,0,0.071794872,0.071794872,0.071794872,0.059539919,0.059539919,0.059539919,0,0,0,0.64368348,0.64368348,0.64368348,0.888466167,0.888466167,0.888466167
232,21795.5,21792,21799,0.842105263,0.842105263,0.842105263,0,0,0,0,0,0,0.853333333,0.853333333,0.853333333,0,0,0,0,0,0,0.993690314,0.993690314,0.993690314,0.992274428,0.992274428,0.992274428,21795.5,21792,21799,0.121673004,0.121673004,0.121673004,0,0,0,0,0,0,0.138228942,0.138228942,0.138228942,0,0,0,0,0,0,0.763285024,0.763285024,0.763285024,0.8829944,0.8829944,0.8829944
233,21803.5,21800,21807,0.984615385,0.984615385,0.984615385,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.99742977,0.99742977,0.99742977,0.991892156,0.991892156,0.991892156,21803.5,21800,21807,0.123076923,0.123076923,0.123076923,0,0,0,0,0,0,0.119850187,0.119850187,0.119850187,0,0,0,0,0,0,0.861696812,0.861696812,0.861696812,0.833708085,0.833708085,0.833708085
234,21811.5,21808,21815,0.545454545,0.545454545,0.545454545,0.571428571,0.571428571,0.571428571,0,0,0,0.6,0.6,0.6,0.523809524,0.523809524,0.523809524,0,0,0,0.998306379,0.998306379,0.998306379,0.978723404,0.978723404,0.978723404,21811.5,21808,21815,0.084507042,0.084507042,0.084507042,0.023640662,0.023640662,0.023640662,0,0,0,0.086419753,0.086419753,0.086419753,0.027812895,0.027812895,0.027812895,0,0,0,0.787985161,0.787985161,0.787985161,0.330842254,0.330842254,0.330842254
235,21819.5,21816,21823,0,0,0,0.790123457,0.790123457,0.790123457,0,0,0,0,0,0,0.810126582,0.810126582,0.810126582,0,0,0,0.996820479,0.996820479,0.996820479,0.999620493,0.999620493,0.999620493,21819.5,21816,21823,0,0,0,0.047162859,0.047162859,0.047162859,0,0,0,0,0,0,0.060836502,0.060836502,0.060836502,0,0,0,0.513715413,0.513715413,0.513715413,0.478990254,0.478990254,0.478990254
236,21827.5,21824,21831,0.823529412,0.823529412,0.823529412,0.752941176,0.752941176,0.752941176,0,0,0,0.888888889,0.888888889,0.888888889,0.761904762,0.761904762,0.761904762,0,0,0,0.994819795,0.994819795,0.994819795,0.997181908,0.997181908,0.997181908,21827.5,21824,21831,0.116465863,0.116465863,0.116465863,0.042809365,0.042809365,0.042809365,0,0,0,0.084795322,0.084795322,0.084795322,0.070562293,0.070562293,0.070562293,0,0,0,0.644853151,0.644853151,0.644853151,0.684455683,0.684455683,0.684455683
237,21835.5,21832,21839,0.533333333,0.533333333,0.533333333,0.7,0.7,0.7,0,0,0,0.727272727,0.727272727,0.727272727,0.674698795,0.674698795,0.674698795,0,0,0,0.99147853,0.99147853,0.99147853,0.994576319,0.994576319,0.994576319,21835.5,21832,21839,0.102893891,0.102893891,0.102893891,0.042585551,0.042585551,0.042585551,0,0,0,0.082794308,0.082794308,0.082794308,0.057318321,0.057318321,0.057318321,0,0,0,0.560937148,0.560937148,0.560937148,0.644666155,0.644666155,0.644666155
238,21843.5,21840,21847,0.633663366,0.633663366,0.633663366,0,0,0,0,0,0,0.831168831,0.831168831,0.831168831,0,0,0,0,0,0,0.987506206,0.987506206,0.987506206,0.966551894,0.966551894,0.966551894,21843.5,21840,21847,0.114695341,0.114695341,0.114695341,0,0,0,0,0,0,0.100156495,0.100156495,0.100156495,0,0,0,0,0,0,0.763188073,0.763188073,0.763188073,0.567327085,0.567327085,0.567327085
239,21851.5,21848,21855,0.259259259,0.259259259,0.259259259,0.561797753,0.561797753,0.561797753,0,0,0,0.424242424,0.424242424,0.424242424,0.442477876,0.442477876,0.442477876,0,0,0,0.993784981,0.993784981,0.993784981,0.967781908,0.967781908,0.967781908,21851.5,21848,21855,0.025878004,0.025878004,0.025878004,0.07256894,0.07256894,0.07256894,0,0,0,0.031390135,0.031390135,0.031390135,0.06002401,0.06002401,0.06002401,0,0,0,0.870690268,0.870690268,0.870690268,0.02203305,0.02203305,0.02203305
240,21859.5,21856,21863,0.740740741,0.740740741,0.740740741,0.520325203,0.520325203,0.520325203,0,0,0,0.666666667,0.666666667,0.666666667,0.43537415,0.43537415,0.43537415,0,0,0,0.923418319,0.923418319,0.923418319,0.851751535,0.851751535,0.851751535,21859.5,21856,21863,0,0,0,0.104065041,0.104065041,0.104065041,0,0,0,0,0,0,0.086956522,0.086956522,0.086956522,0,0,0,0.749885383,0.749885383,0.749885383,0.041070317,0.041070317,0.041070317
241,21867.5,21864,21871,0.888888889,0.888888889,0.888888889,0.60952381,0.60952381,0.60952381,0,0,0,0.820512821,0.820512821,0.820512821,0.576576577,0.576576577,0.576576577,0,0,0,0.896698822,0.896698822,0.896698822,0.812022327,0.812022327,0.812022327,21867.5,21864,21871,0,0,0,0.11786372,0.11786372,0.11786372,0,0,0,0,0,0,0.091559371,0.091559371,0.091559371,0,0,0,0.733971935,0.733971935,0.733971935,0.038907166,0.038907166,0.038907166
242,21875.5,21872,21879,1,1,1,0.271186441,0.271186441,0.271186441,0,0,0,0.927536232,0.927536232,0.927536232,0.246153846,0.246153846,0.246153846,0,0,0,0.910291498,0.910291498,0.910291498,0.772746689,0.772746689,0.772746689,21875.5,21872,21879,0,0,0,0.033970276,0.033970276,0.033970276,0,0,0,0,0,0,0.020942408,0.020942408,0.020942408,0,0,0,0.770635559,0.770635559,0.770635559,0.056843174,0.056843174,0.056843174
243,21883.5,21880,21887,0.920634921,0.920634921,0.920634921,0.375,0.375,0.375,0,0,0,0.637362637,0.637362637,0.637362637,0.25,0.25,0.25,0,0,0,0.961373947,0.961373947,0.961373947,0.235813367,0.235813367,0.235813367,21883.5,21880,21887,0,0,0,0.015748031,0.015748031,0.015748031,0,0,0,0,0,0,0.010273973,0.010273973,0.010273973,0,0,0,0.905650194,0.905650194,0.905650194,0.025920873,0.025920873,0.025920873
244,21891.5,21888,21895,0,0,0,0.901408451,0.901408451,0.901408451,0,0,0,0,0,0,0.876712329,0.876712329,0.876712329,0,0,0,0.99940169,0.99940169,0.99940169,1,1,1,21891.5,21888,21895,0,0,0,0.105090312,0.105090312,0.105090312,0,0,0,0,0,0,0.071428571,0.071428571,0.071428571,0,0,0,0.892551195,0.892551195,0.892551195,0.748167093,0.748167093,0.748167093
245,21899.5,21896,21903,0.823529412,0.823529412,0.823529412,0.8,0.8,0.8,0,0,0,0.835820896,0.835820896,0.835820896,0.744186047,0.744186047,0.744186047,0,0,0,0.997508345,0.997508345,0.997508345,0.998915793,0.998915793,0.998915793,21899.5,21896,21903,0.10626186,0.10626186,0.10626186,0.072234763,0.072234763,0.072234763,0,0,0,0.125279642,0.125279642,0.125279642,0.078239609,0.078239609,0.078239609,0,0,0,0.731921979,0.731921979,0.731921979,0.72752168,0.72752168,0.72752168
246,21907.5,21904,21911,0.666666667,0.666666667,0.666666667,0.711111111,0.711111111,0.711111111,0,0,0,0.621359223,0.621359223,0.621359223,0.680851064,0.680851064,0.680851064,0,0,0,0.994415523,0.994415523,0.994415523,0.999191157,0.999191157,0.999191157,21907.5,21904,21911,0.106844741,0.106844741,0.106844741,0.052373159,0.052373159,0.052373159,0,0,0,0.110154905,0.110154905,0.110154905,0.081115336,0.081115336,0.081115336,0,0,0,0.397344999,0.397344999,0.397344999,0.610215552,0.610215552,0.610215552
247,21915.5,21912,21919,0.547008547,0.547008547,0.547008547,0.054794521,0.054794521,0.054794521,0,0,0,0.503937008,0.503937008,0.503937008,0.051948052,0.051948052,0.051948052,0,0,0,0.986520181,0.986520181,0.986520181,0.946792338,0.946792338,0.946792338,21915.5,21912,21919,0.115315315,0.115315315,0.115315315,0.003418803,0.003418803,0.003418803,0,0,0,0.103896104,0.103896104,0.103896104,0.004206099,0.004206099,0.004206099,0,0,0,0.56392567,0.56392567,0.56392567,0.513275892,0.513275892,0.513275892
248,21923.5,21920,21927,0.158730159,0.158730159,0.158730159,0.683544304,0.683544304,0.683544304,0,0,0,0.181818182,0.181818182,0.181818182,0.568421053,0.568421053,0.568421053,0,0,0,0.990182129,0.990182129,0.990182129,0.964117092,0.964117092,0.964117092,21923.5,21920,21927,0.04048583,0.04048583,0.04048583,0.045957447,0.045957447,0.045957447,0,0,0,0.019157088,0.019157088,0.019157088,0.049815498,0.049815498,0.049815498,0,0,0,0.848689705,0.848689705,0.848689705,0.577379619,0.577379619,0.577379619
249,21931.5,21928,21935,0.58974359,0.58974359,0.58974359,0.790123457,0.790123457,0.790123457,0,0,0,0.582278481,0.582278481,0.582278481,0.711111111,0.711111111,0.711111111,0,0,0,0.992149816,0.992149816,0.992149816,0.99480566,0.99480566,0.99480566,21931.5,21928,21935,0.183266932,0.183266932,0.183266932,0.053556485,0.053556485,0.053556485,0,0,0,0.082733813,0.082733813,0.082733813,0.064842958,0.064842958,0.064842958,0,0,0,0.867758985,0.867758985,0.867758985,0.855465474,0.855465474,0.855465474
250,21939.5,21936,21943,0.603773585,0.603773585,0.603773585,0.537815126,0.537815126,0.537815126,0,0,0,0.581818182,0.581818182,0.581818182,0.542372881,0.542372881,0.542372881,0,0,0,0.990448625,0.990448625,0.990448625,0.999912717,0.999912717,0.999912717,21939.5,21936,21943,0.162436548,0.162436548,0.162436548,0.051282051,0.051282051,0.051282051,0,0,0,0.100946372,0.100946372,0.100946372,0.060663507,0.060663507,0.060663507,0,0,0,0.627131986,0.627131986,0.627131986,0.721649485,0.721649485,0.721649485
251,21947.5,21944,21951,0.853333333,0.853333333,0.853333333,0.282051282,0.282051282,0.282051282,0,0,0,0.876712329,0.876712329,0.876712329,0.217821782,0.217821782,0.217821782,0,0,0,0.996277966,0.996277966,0.996277966,0.976347915,0.976347915,0.976347915,21947.5,21944,21951,0.139737991,0.139737991,0.139737991,0.019281332,0.019281332,0.019281332,0,0,0,0.104065041,0.104065041,0.104065041,0.016200295,0.016200295,0.016200295,0,0,0,0.795544164,0.795544164,0.795544164,0.799544419,0.799544419,0.799544419
252,21955.5,21952,21959,0.338461538,0.338461538,0.338461538,0.432989691,0.432989691,0.432989691,0,0,0,0.366666667,0.366666667,0.366666667,0.344262295,0.344262295,0.344262295,0,0,0,0.986608363,0.986608363,0.986608363,0.93452381,0.93452381,0.93452381,21955.5,21952,21959,0.062678063,0.062678063,0.062678063,0.043523316,0.043523316,0.043523316,0,0,0,0.067278287,0.067278287,0.067278287,0.037399822,0.037399822,0.037399822,0,0,0,0.892028478,0.892028478,0.892028478,0.695840868,0.695840868,0.695840868
253,21963.5,21960,21967,0.571428571,0.571428571,0.571428571,0.474074074,0.474074074,0.474074074,0,0,0,0.643678161,0.643678161,0.643678161,0.42384106,0.42384106,0.42384106,0,0,0,0.987234415,0.987234415,0.987234415,0.993437332,0.993437332,0.993437332,21963.5,21960,21967,0.134939759,0.134939759,0.134939759,0.071588367,0.071588367,0.071588367,0,0,0,0.133333333,0.133333333,0.133333333,0.089635854,0.089635854,0.089635854,0,0,0,0.917761783,0.917761783,0.917761783,0.852459016,0.852459016,0.852459016
254,21971.5,21968,21975,0.864864865,0.864864865,0.864864865,0.62745098,0.62745098,0.62745098,0,0,0,0.901408451,0.901408451,0.901408451,0.516129032,0.516129032,0.516129032,0,0,0,0.994253874,0.994253874,0.994253874,0.998171453,0.998171453,0.998171453,21971.5,21968,21975,0.166666667,0.166666667,0.166666667,0.108474576,0.108474576,0.108474576,0,0,0,0.17877095,0.17877095,0.17877095,0.101910828,0.101910828,0.101910828,0,0,0,0.941327114,0.941327114,0.941327114,0.885736979,0.885736979,0.885736979
255,21979.5,21976,21983,1,1,1,0.253968254,0.253968254,0.253968254,0,0,0,1,1,1,0.266666667,0.266666667,0.266666667,0,0,0,0.996368694,0.996368694,0.996368694,0.976164847,0.976164847,0.976164847,21979.5,21976,21983,0.15920398,0.15920398,0.15920398,0.042296073,0.042296073,0.042296073,0,0,0,0.183908046,0.183908046,0.183908046,0.025316456,0.025316456,0.025316456,0,0,0,0.940904856,0.940904856,0.940904856,0.845337977,0.845337977,0.845337977
256,21987.5,21984,21991,1,1,1,0.945454545,0.945454545,0.945454545,0,0,0,0.8,0.8,0.8,0.8125,0.8125,0.8125,0,0,0,0.998495726,0.998495726,0.998495726,0.990752158,0.990752158,0.990752158,21987.5,21984,21991,0.121212121,0.121212121,0.121212121,0.074605452,0.074605452,0.074605452,0,0,0,0.050632911,0.050632911,0.050632911,0.058100559,0.058100559,0.058100559,0,0,0,0.911891296,0.911891296,0.911891296,0.485571374,0.485571374,0.485571374
257,21995.5,21992,21999,0.965517241,0.965517241,0.965517241,0.771084337,0.771084337,0.771084337,0,0,0,0.918032787,0.918032787,0.918032787,0.744186047,0.744186047,0.744186047,0,0,0,0.995218609,0.995218609,0.995218609,0.992886068,0.992886068,0.992886068,21995.5,21992,21999,0.23628692,0.23628692,0.23628692,0.058769513,0.058769513,0.058769513,0,0,0,0.129032258,0.129032258,0.129032258,0.068817204,0.068817204,0.068817204,0,0,0,0.829261377,0.829261377,0.829261377,0.704744567,0.704744567,0.704744567
258,22003.5,22000,22007,0.956521739,0.956521739,0.956521739,0.746666667,0.746666667,0.746666667,0,0,0,0.970588235,0.970588235,0.970588235,0.716981132,0.716981132,0.716981132,0,0,0,0.993475206,0.993475206,0.993475206,0.994784026,0.994784026,0.994784026,22003.5,22000,22007,0.22,0.22,0.22,0.085171103,0.085171103,0.085171103,0,0,0,0.164179104,0.164179104,0.164179104,0.113659023,0.113659023,0.113659023,0,0,0,0.776861372,0.776861372,0.776861372,0.724786038,0.724786038,0.724786038
259,22011.5,22008,22015,0.992248062,0.992248062,0.992248062,0.620689655,0.620689655,0.620689655,0,0,0,1,1,1,0.566037736,0.566037736,0.566037736,0,0,0,0.994810557,0.994810557,0.994810557,0.993925696,0.993925696,0.993925696,22011.5,22008,22015,0.249512671,0.249512671,0.249512671,0.075949367,0.075949367,0.075949367,0,0,0,0.257028112,0.257028112,0.257028112,0.101351351,0.101351351,0.101351351,0,0,0,0.805674484,0.805674484,0.805674484,0.794132451,0.794132451,0.794132451
260,22019.5,22016,22023,0.977272727,0.977272727,0.977272727,0.587155963,0.587155963,0.587155963,0,0,0,0.988505747,0.988505747,0.988505747,0.60952381,0.60952381,0.60952381,0,0,0,0.992616765,0.992616765,0.992616765,0.988107549,0.988107549,0.988107549,22019.5,22016,22023,0.196796339,0.196796339,0.196796339,0.06779661,0.06779661,0.06779661,0,0,0,0.200934579,0.200934579,0.200934579,0.06779661,0.06779661,0.06779661,0,0,0,0.900618921,0.900618921,0.900618921,0.797853309,0.797853309,0.797853309
261,22027.5,22024,22031,1,1,1,0.274509804,0.274509804,0.274509804,0,0,0,1,1,1,0.205882353,0.205882353,0.205882353,0,0,0,0.996326442,0.996326442,0.996326442,0.966068727,0.966068727,0.966068727,22027.5,22024,22031,0.189910979,0.189910979,0.189910979,0.038674033,0.038674033,0.038674033,0,0,0,0.172043011,0.172043011,0.172043011,0.017369727,0.017369727,0.017369727,0,0,0,0.927193436,0.927193436,0.927193436,0.660728745,0.660728745,0.660728745
262,22035.5,22032,22039,0.689655172,0.689655172,0.689655172,0.447761194,0.447761194,0.447761194,0,0,0,0.909090909,0.909090909,0.909090909,0.421768707,0.421768707,0.421768707,0,0,0,0.992147058,0.992147058,0.992147058,0.980823319,0.980823319,0.980823319,22035.5,22032,22039,0.06741573,0.06741573,0.06741573,0.05132592,0.05132592,0.05132592,0,0,0,0.058823529,0.058823529,0.058823529,0.058380414,0.058380414,0.058380414,0,0,0,0.860517737,0.860517737,0.860517737,0.573783568,0.573783568,0.573783568
263,22043.5,22040,22047,0.864864865,0.864864865,0.864864865,0.460431655,0.460431655,0.460431655,0,0,0,0.888888889,0.888888889,0.888888889,0.457142857,0.457142857,0.457142857,0,0,0,0.992658082,0.992658082,0.992658082,0.996451613,0.996451613,0.996451613,22043.5,22040,22047,0.183908046,0.183908046,0.183908046,0.052674897,0.052674897,0.052674897,0,0,0,0.131416838,0.131416838,0.131416838,0.066666667,0.066666667,0.066666667,0,0,0,0.827930387,0.827930387,0.827930387,0.610410605,0.610410605,0.610410605
264,22051.5,22048,22055,0.752941176,0.752941176,0.752941176,0.47761194,0.47761194,0.47761194,0,0,0,0.831168831,0.831168831,0.831168831,0.44137931,0.44137931,0.44137931,0,0,0,0.985973946,0.985973946,0.985973946,0.970854922,0.970854922,0.970854922,22051.5,22048,22055,0.165374677,0.165374677,0.165374677,0.053467001,0.053467001,0.053467001,0,0,0,0.104404568,0.104404568,0.104404568,0.062561095,0.062561095,0.062561095,0,0,0,0.774750425,0.774750425,0.774750425,0.47214936,0.47214936,0.47214936
265,22059.5,22056,22063,0.75,0.75,0.75,0.458333333,0.458333333,0.458333333,0,0,0,0.872727273,0.872727273,0.872727273,0.392857143,0.392857143,0.392857143,0,0,0,0.990129724,0.990129724,0.990129724,0.957160963,0.957160963,0.957160963,22059.5,22056,22063,0.143283582,0.143283582,0.143283582,0.041297935,0.041297935,0.041297935,0,0,0,0.098159509,0.098159509,0.098159509,0.037300178,0.037300178,0.037300178,0,0,0,0.829302489,0.829302489,0.829302489,0.378878879,0.378878879,0.378878879
266,22067.5,22064,22071,0.602739726,0.602739726,0.602739726,0.450704225,0.450704225,0.450704225,0,0,0,0.6875,0.6875,0.6875,0.453900709,0.453900709,0.453900709,0,0,0,0.986324045,0.986324045,0.986324045,0.977946546,0.977946546,0.977946546,22067.5,22064,22071,0.1232493,0.1232493,0.1232493,0.059259259,0.059259259,0.059259259,0,0,0,0.107579462,0.107579462,0.107579462,0.042780749,0.042780749,0.042780749,0,0,0,0.843618065,0.843618065,0.843618065,0.627799624,0.627799624,0.627799624
267,22075.5,22072,22079,0.653061224,0.653061224,0.653061224,0.62745098,0.62745098,0.62745098,0,0,0,0.752941176,0.752941176,0.752941176,0.561403509,0.561403509,0.561403509,0,0,0,0.994167207,0.994167207,0.994167207,0.999602807,0.999602807,0.999602807,22075.5,22072,22079,0.186588921,0.186588921,0.186588921,0.058769513,0.058769513,0.058769513,0,0,0,0.175342466,0.175342466,0.175342466,0.042581504,0.042581504,0.042581504,0,0,0,0.85618964,0.85618964,0.85618964,0.673170732,0.673170732,0.673170732
268,22083.5,22080,22087,0.8,0.8,0.8,0.383561644,0.383561644,0.383561644,0,0,0,1,1,1,0.311111111,0.311111111,0.311111111,0,0,0,0.989491255,0.989491255,0.989491255,0.951121527,0.951121527,0.951121527,22083.5,22080,22087,0.224561404,0.224561404,0.224561404,0.035443038,0.035443038,0.035443038,0,0,0,0.26122449,0.26122449,0.26122449,0.02020202,0.02020202,0.02020202,0,0,0,0.885123447,0.885123447,0.885123447,0.5908201,0.5908201,0.5908201
269,22091.5,22088,22095,0.36,0.36,0.36,0.554216867,0.554216867,0.554216867,0,0,0,0.6,0.6,0.6,0.494623656,0.494623656,0.494623656,0,0,0,0.986896795,0.986896795,0.986896795,0.934401602,0.934401602,0.934401602,22091.5,22088,22095,0.073469388,0.073469388,0.073469388,0.096842105,0.096842105,0.096842105,0,0,0,0.058252427,0.058252427,0.058252427,0.040671972,0.040671972,0.040671972,0,0,0,0.928699864,0.928699864,0.928699864,0.779188603,0.779188603,0.779188603
270,22099.5,22096,22103,0.685714286,0.685714286,0.685714286,0.598130841,0.598130841,0.598130841,0,0,0,0.943396226,0.943396226,0.943396226,0.581818182,0.581818182,0.581818182,0,0,0,0.991422875,0.991422875,0.991422875,0.993383655,0.993383655,0.993383655,22099.5,22096,22103,0.146341463,0.146341463,0.146341463,0.108843537,0.108843537,0.108843537,0,0,0,0.100628931,0.100628931,0.100628931,0.068085106,0.068085106,0.068085106,0,0,0,0.92519084,0.92519084,0.92519084,0.878224355,0.878224355,0.878224355
271,22107.5,22104,22111,0.853333333,0.853333333,0.853333333,0.624,0.624,0.624,0,0,0,0.842105263,0.842105263,0.842105263,0.634146341,0.634146341,0.634146341,0,0,0,0.992592593,0.992592593,0.992592593,0.996333065,0.996333065,0.996333065,22107.5,22104,22111,0.147465438,0.147465438,0.147465438,0.135181976,0.135181976,0.135181976,0,0,0,0.133891213,0.133891213,0.133891213,0.085903084,0.085903084,0.085903084,0,0,0,0.931849115,0.931849115,0.931849115,0.834453521,0.834453521,0.834453521
272,22115.5,22112,22119,0.955223881,0.955223881,0.955223881,0.769230769,0.769230769,0.769230769,0,0,0,0.941176471,0.941176471,0.941176471,0.813953488,0.813953488,0.813953488,0,0,0,0.998626374,0.998626374,0.998626374,0.995522388,0.995522388,0.995522388,22115.5,22112,22119,0.14159292,0.14159292,0.14159292,0.13916501,0.13916501,0.13916501,0,0,0,0.131958763,0.131958763,0.131958763,0.080091533,0.080091533,0.080091533,0,0,0,0.794781967,0.794781967,0.794781967,0.43836886,0.43836886,0.43836886
273,22123.5,22120,22127,0.861538462,0.861538462,0.861538462,0.842105263,0.842105263,0.842105263,0,0,0,0.888888889,0.888888889,0.888888889,0.790123457,0.790123457,0.790123457,0,0,0,0.992370962,0.992370962,0.992370962,0.994414842,0.994414842,0.994414842,22123.5,22120,22127,0.150134048,0.150134048,0.150134048,0.079404467,0.079404467,0.079404467,0,0,0,0.097731239,0.097731239,0.097731239,0.059925094,0.059925094,0.059925094,0,0,0,0.691991018,0.691991018,0.691991018,0.147323543,0.147323543,0.147323543
