training_step,sso01-adamw-lr5e-5-freeze.base-305bhnsz - _step,sso01-adamw-lr5e-5-freeze.base-305bhnsz - _step__MIN,sso01-adamw-lr5e-5-freeze.base-305bhnsz - _step__MAX,lr5e-5,sso01-adamw-lr5e-5-freeze.base-305bhnsz - training/f1_score-EEE__MIN,sso01-adamw-lr5e-5-freeze.base-305bhnsz - training/f1_score-EEE__MAX,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - _step,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - _step__MIN,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - _step__MAX,lr3e-5,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - training/f1_score-EEE__MIN,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - training/f1_score-EEE__MAX,sso01-adamw-lr2e-5-freeze.base-1q52u19t - _step,sso01-adamw-lr2e-5-freeze.base-1q52u19t - _step__MIN,sso01-adamw-lr2e-5-freeze.base-1q52u19t - _step__MAX,lr2e-5,sso01-adamw-lr2e-5-freeze.base-1q52u19t - training/f1_score-EEE__MIN,sso01-adamw-lr2e-5-freeze.base-1q52u19t - training/f1_score-EEE__MAX,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - _step,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - _step__MIN,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - _step__MAX,lr1e-5,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - training/f1_score-EEE__MIN,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - training/f1_score-EEE__MAX,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - _step,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - _step__MIN,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - _step__MAX,lr2e-4,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - training/f1_score-EEE__MIN,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - training/f1_score-EEE__MAX,sso01-adamw-freeze.base-30v736in - _step,sso01-adamw-freeze.base-30v736in - _step__MIN,sso01-adamw-freeze.base-30v736in - _step__MAX,lr4e-4,sso01-adamw-freeze.base-30v736in - training/f1_score-EEE__MIN,sso01-adamw-freeze.base-30v736in - training/f1_score-EEE__MAX
2320,25331,25331,25331,0.509613157,0.509613157,0.509613157,25331,25331,25331,0.463361016,0.463361016,0.463361016,25331,25331,25331,0.397290042,0.397290042,0.397290042,25331,25331,25331,0.308683555,0.308683555,0.308683555,25331,25331,25331,0.560217642,0.560217642,0.560217642,25331,25331,25331,0.568338655,0.568338655,0.568338655
2321,25340,25340,25340,0.474537518,0.474537518,0.474537518,25340,25340,25340,0.425124041,0.425124041,0.425124041,25340,25340,25340,0.367370892,0.367370892,0.367370892,25340,25340,25340,0.27905766,0.27905766,0.27905766,25340,25340,25340,0.53892102,0.53892102,0.53892102,25340,25340,25340,0.53982721,0.53982721,0.53982721
2322,25349,25349,25349,0.467905189,0.467905189,0.467905189,25349,25349,25349,0.420127147,0.420127147,0.420127147,25349,25349,25349,0.369057665,0.369057665,0.369057665,25349,25349,25349,0.313471901,0.313471901,0.313471901,25349,25349,25349,0.530240265,0.530240265,0.530240265,25349,25349,25349,0.545454545,0.545454545,0.545454545
2323,25358,25358,25358,0.511589575,0.511589575,0.511589575,25358,25358,25358,0.463764864,0.463764864,0.463764864,25358,25358,25358,0.400793651,0.400793651,0.400793651,25358,25358,25358,0.323288362,0.323288362,0.323288362,25358,25358,25358,0.587886893,0.587886893,0.587886893,25358,25358,25358,0.585462805,0.585462805,0.585462805
2324,25367,25367,25367,0.454113528,0.454113528,0.454113528,25367,25367,25367,0.400316874,0.400316874,0.400316874,25367,25367,25367,0.341882712,0.341882712,0.341882712,25367,25367,25367,0.270950144,0.270950144,0.270950144,25367,25367,25367,0.532789596,0.532789596,0.532789596,25367,25367,25367,0.557223673,0.557223673,0.557223673
2325,25376,25376,25376,0.545489443,0.545489443,0.545489443,25376,25376,25376,0.4967598,0.4967598,0.4967598,25376,25376,25376,0.425921737,0.425921737,0.425921737,25376,25376,25376,0.353118334,0.353118334,0.353118334,25376,25376,25376,0.601556352,0.601556352,0.601556352,25376,25376,25376,0.603347136,0.603347136,0.603347136
2326,25385,25385,25385,0.532550582,0.532550582,0.532550582,25385,25385,25385,0.504808236,0.504808236,0.504808236,25385,25385,25385,0.427500586,0.427500586,0.427500586,25385,25385,25385,0.34880968,0.34880968,0.34880968,25385,25385,25385,0.608246418,0.608246418,0.608246418,25385,25385,25385,0.616698292,0.616698292,0.616698292
2327,25394,25394,25394,0.452863631,0.452863631,0.452863631,25394,25394,25394,0.411627907,0.411627907,0.411627907,25394,25394,25394,0.363571087,0.363571087,0.363571087,25394,25394,25394,0.27756604,0.27756604,0.27756604,25394,25394,25394,0.520865062,0.520865062,0.520865062,25394,25394,25394,0.537033259,0.537033259,0.537033259
2328,25403,25403,25403,0.462219197,0.462219197,0.462219197,25403,25403,25403,0.423174412,0.423174412,0.423174412,25403,25403,25403,0.373115888,0.373115888,0.373115888,25403,25403,25403,0.266076615,0.266076615,0.266076615,25403,25403,25403,0.532755706,0.532755706,0.532755706,25403,25403,25403,0.555958925,0.555958925,0.555958925
2329,25412,25412,25412,0.502374903,0.502374903,0.502374903,25412,25412,25412,0.4462436,0.4462436,0.4462436,25412,25412,25412,0.376907116,0.376907116,0.376907116,25412,25412,25412,0.293872054,0.293872054,0.293872054,25412,25412,25412,0.573967485,0.573967485,0.573967485,25412,25412,25412,0.586725932,0.586725932,0.586725932
2330,25421,25421,25421,0.539857932,0.539857932,0.539857932,25421,25421,25421,0.470058423,0.470058423,0.470058423,25421,25421,25421,0.394925679,0.394925679,0.394925679,25421,25421,25421,0.300828729,0.300828729,0.300828729,25421,25421,25421,0.618933804,0.618933804,0.618933804,25421,25421,25421,0.646720132,0.646720132,0.646720132
2331,25430,25430,25430,0.524681993,0.524681993,0.524681993,25430,25430,25430,0.480363279,0.480363279,0.480363279,25430,25430,25430,0.412451362,0.412451362,0.412451362,25430,25430,25430,0.332140301,0.332140301,0.332140301,25430,25430,25430,0.577380952,0.577380952,0.577380952,25430,25430,25430,0.591060291,0.591060291,0.591060291
2332,25439,25439,25439,0.481567101,0.481567101,0.481567101,25439,25439,25439,0.423166623,0.423166623,0.423166623,25439,25439,25439,0.366098967,0.366098967,0.366098967,25439,25439,25439,0.282929711,0.282929711,0.282929711,25439,25439,25439,0.542361347,0.542361347,0.542361347,25439,25439,25439,0.564068399,0.564068399,0.564068399
2333,25448,25448,25448,0.532991499,0.532991499,0.532991499,25448,25448,25448,0.442049313,0.442049313,0.442049313,25448,25448,25448,0.387592405,0.387592405,0.387592405,25448,25448,25448,0.325916641,0.325916641,0.325916641,25448,25448,25448,0.587630192,0.587630192,0.587630192,25448,25448,25448,0.602272727,0.602272727,0.602272727
2334,25457,25457,25457,0.476156156,0.476156156,0.476156156,25457,25457,25457,0.42838776,0.42838776,0.42838776,25457,25457,25457,0.382067314,0.382067314,0.382067314,25457,25457,25457,0.303468635,0.303468635,0.303468635,25457,25457,25457,0.537319854,0.537319854,0.537319854,25457,25457,25457,0.563104709,0.563104709,0.563104709
2335,25466,25466,25466,0.495813615,0.495813615,0.495813615,25466,25466,25466,0.450729927,0.450729927,0.450729927,25466,25466,25466,0.394078062,0.394078062,0.394078062,25466,25466,25466,0.303897686,0.303897686,0.303897686,25466,25466,25466,0.558349307,0.558349307,0.558349307,25466,25466,25466,0.567013699,0.567013699,0.567013699
2336,25475,25475,25475,0.456499253,0.456499253,0.456499253,25475,25475,25475,0.396174176,0.396174176,0.396174176,25475,25475,25475,0.355213363,0.355213363,0.355213363,25475,25475,25475,0.269340117,0.269340117,0.269340117,25475,25475,25475,0.506833351,0.506833351,0.506833351,25475,25475,25475,0.523824419,0.523824419,0.523824419
2337,25484,25484,25484,0.452038208,0.452038208,0.452038208,25484,25484,25484,0.426428976,0.426428976,0.426428976,25484,25484,25484,0.361955086,0.361955086,0.361955086,25484,25484,25484,0.296833773,0.296833773,0.296833773,25484,25484,25484,0.531715251,0.531715251,0.531715251,25484,25484,25484,0.548900498,0.548900498,0.548900498
2338,25493,25493,25493,0.500192086,0.500192086,0.500192086,25493,25493,25493,0.437551244,0.437551244,0.437551244,25493,25493,25493,0.372993119,0.372993119,0.372993119,25493,25493,25493,0.294401996,0.294401996,0.294401996,25493,25493,25493,0.565908823,0.565908823,0.565908823,25493,25493,25493,0.58256934,0.58256934,0.58256934
2339,25502,25502,25502,0.566559285,0.566559285,0.566559285,25502,25502,25502,0.501764446,0.501764446,0.501764446,25502,25502,25502,0.417973529,0.417973529,0.417973529,25502,25502,25502,0.329527701,0.329527701,0.329527701,25502,25502,25502,0.660762943,0.660762943,0.660762943,25502,25502,25502,0.683010589,0.683010589,0.683010589
2340,25511,25511,25511,0.540105229,0.540105229,0.540105229,25511,25511,25511,0.498692439,0.498692439,0.498692439,25511,25511,25511,0.45289067,0.45289067,0.45289067,25511,25511,25511,0.346385929,0.346385929,0.346385929,25511,25511,25511,0.605745171,0.605745171,0.605745171,25511,25511,25511,0.636613093,0.636613093,0.636613093
2341,25520,25520,25520,0.406592085,0.406592085,0.406592085,25520,25520,25520,0.38224822,0.38224822,0.38224822,25520,25520,25520,0.325176726,0.325176726,0.325176726,25520,25520,25520,0.229733959,0.229733959,0.229733959,25520,25520,25520,0.477101699,0.477101699,0.477101699,25520,25520,25520,0.49041182,0.49041182,0.49041182
2342,25529,25529,25529,0.53895529,0.53895529,0.53895529,25529,25529,25529,0.467718447,0.467718447,0.467718447,25529,25529,25529,0.398978289,0.398978289,0.398978289,25529,25529,25529,0.311860499,0.311860499,0.311860499,25529,25529,25529,0.590014829,0.590014829,0.590014829,25529,25529,25529,0.607662083,0.607662083,0.607662083
2343,25538,25538,25538,0.533333333,0.533333333,0.533333333,25538,25538,25538,0.468093951,0.468093951,0.468093951,25538,25538,25538,0.420456927,0.420456927,0.420456927,25538,25538,25538,0.349138443,0.349138443,0.349138443,25538,25538,25538,0.574289581,0.574289581,0.574289581,25538,25538,25538,0.587088036,0.587088036,0.587088036
2344,25547,25547,25547,0.471325961,0.471325961,0.471325961,25547,25547,25547,0.460431655,0.460431655,0.460431655,25547,25547,25547,0.404609796,0.404609796,0.404609796,25547,25547,25547,0.324179693,0.324179693,0.324179693,25547,25547,25547,0.552986907,0.552986907,0.552986907,25547,25547,25547,0.564139344,0.564139344,0.564139344
2345,25556,25556,25556,0.510222835,0.510222835,0.510222835,25556,25556,25556,0.475136748,0.475136748,0.475136748,25556,25556,25556,0.409192973,0.409192973,0.409192973,25556,25556,25556,0.331941545,0.331941545,0.331941545,25556,25556,25556,0.556646217,0.556646217,0.556646217,25556,25556,25556,0.576899447,0.576899447,0.576899447
2346,25565,25565,25565,0.52240411,0.52240411,0.52240411,25565,25565,25565,0.457113508,0.457113508,0.457113508,25565,25565,25565,0.398883869,0.398883869,0.398883869,25565,25565,25565,0.316266823,0.316266823,0.316266823,25565,25565,25565,0.597234416,0.597234416,0.597234416,25565,25565,25565,0.600956314,0.600956314,0.600956314
2347,25574,25574,25574,0.421545667,0.421545667,0.421545667,25574,25574,25574,0.393847047,0.393847047,0.393847047,25574,25574,25574,0.353234561,0.353234561,0.353234561,25574,25574,25574,0.288470815,0.288470815,0.288470815,25574,25574,25574,0.494091581,0.494091581,0.494091581,25574,25574,25574,0.504700643,0.504700643,0.504700643
2348,25583,25583,25583,0.511950655,0.511950655,0.511950655,25583,25583,25583,0.453203144,0.453203144,0.453203144,25583,25583,25583,0.396010703,0.396010703,0.396010703,25583,25583,25583,0.297843298,0.297843298,0.297843298,25583,25583,25583,0.567039674,0.567039674,0.567039674,25583,25583,25583,0.576605597,0.576605597,0.576605597
2349,25592,25592,25592,0.484676223,0.484676223,0.484676223,25592,25592,25592,0.447361512,0.447361512,0.447361512,25592,25592,25592,0.382972973,0.382972973,0.382972973,25592,25592,25592,0.291082704,0.291082704,0.291082704,25592,25592,25592,0.560323523,0.560323523,0.560323523,25592,25592,25592,0.567534354,0.567534354,0.567534354
2350,25601,25601,25601,0.503369742,0.503369742,0.503369742,25601,25601,25601,0.432902584,0.432902584,0.432902584,25601,25601,25601,0.381448671,0.381448671,0.381448671,25601,25601,25601,0.2857966,0.2857966,0.2857966,25601,25601,25601,0.566358825,0.566358825,0.566358825,25601,25601,25601,0.596173627,0.596173627,0.596173627
2351,25610,25610,25610,0.437734233,0.437734233,0.437734233,25610,25610,25610,0.409359435,0.409359435,0.409359435,25610,25610,25610,0.359602893,0.359602893,0.359602893,25610,25610,25610,0.288718386,0.288718386,0.288718386,25610,25610,25610,0.494073115,0.494073115,0.494073115,25610,25610,25610,0.505196476,0.505196476,0.505196476
2352,25619,25619,25619,0.575310965,0.575310965,0.575310965,25619,25619,25619,0.509861049,0.509861049,0.509861049,25619,25619,25619,0.45189538,0.45189538,0.45189538,25619,25619,25619,0.364648033,0.364648033,0.364648033,25619,25619,25619,0.647449678,0.647449678,0.647449678,25619,25619,25619,0.649910907,0.649910907,0.649910907
2353,25628,25628,25628,0.525527874,0.525527874,0.525527874,25628,25628,25628,0.475511175,0.475511175,0.475511175,25628,25628,25628,0.417615042,0.417615042,0.417615042,25628,25628,25628,0.321832658,0.321832658,0.321832658,25628,25628,25628,0.571281629,0.571281629,0.571281629,25628,25628,25628,0.581275824,0.581275824,0.581275824
2354,25637,25637,25637,0.46455317,0.46455317,0.46455317,25637,25637,25637,0.416177073,0.416177073,0.416177073,25637,25637,25637,0.348051948,0.348051948,0.348051948,25637,25637,25637,0.27387504,0.27387504,0.27387504,25637,25637,25637,0.514745917,0.514745917,0.514745917,25637,25637,25637,0.533886894,0.533886894,0.533886894
2355,25646,25646,25646,0.485394655,0.485394655,0.485394655,25646,25646,25646,0.445721866,0.445721866,0.445721866,25646,25646,25646,0.402667291,0.402667291,0.402667291,25646,25646,25646,0.340282274,0.340282274,0.340282274,25646,25646,25646,0.540128881,0.540128881,0.540128881,25646,25646,25646,0.547895639,0.547895639,0.547895639
2356,25655,25655,25655,0.557709694,0.557709694,0.557709694,25655,25655,25655,0.510458483,0.510458483,0.510458483,25655,25655,25655,0.441166685,0.441166685,0.441166685,25655,25655,25655,0.365471125,0.365471125,0.365471125,25655,25655,25655,0.639109986,0.639109986,0.639109986,25655,25655,25655,0.650715969,0.650715969,0.650715969
2357,25664,25664,25664,0.52119891,0.52119891,0.52119891,25664,25664,25664,0.469460801,0.469460801,0.469460801,25664,25664,25664,0.423118088,0.423118088,0.423118088,25664,25664,25664,0.346705632,0.346705632,0.346705632,25664,25664,25664,0.581215694,0.581215694,0.581215694,25664,25664,25664,0.60146454,0.60146454,0.60146454
2358,25673,25673,25673,0.462991251,0.462991251,0.462991251,25673,25673,25673,0.408404854,0.408404854,0.408404854,25673,25673,25673,0.34597451,0.34597451,0.34597451,25673,25673,25673,0.263654754,0.263654754,0.263654754,25673,25673,25673,0.540361599,0.540361599,0.540361599,25673,25673,25673,0.538178122,0.538178122,0.538178122
2359,25682,25682,25682,0.528045731,0.528045731,0.528045731,25682,25682,25682,0.462258187,0.462258187,0.462258187,25682,25682,25682,0.390375708,0.390375708,0.390375708,25682,25682,25682,0.309782609,0.309782609,0.309782609,25682,25682,25682,0.611876171,0.611876171,0.611876171,25682,25682,25682,0.617812603,0.617812603,0.617812603
2360,25691,25691,25691,0.483557636,0.483557636,0.483557636,25691,25691,25691,0.433912717,0.433912717,0.433912717,25691,25691,25691,0.377654782,0.377654782,0.377654782,25691,25691,25691,0.290685773,0.290685773,0.290685773,25691,25691,25691,0.541793644,0.541793644,0.541793644,25691,25691,25691,0.558302341,0.558302341,0.558302341
2361,25700,25700,25700,0.49045967,0.49045967,0.49045967,25700,25700,25700,0.439669042,0.439669042,0.439669042,25700,25700,25700,0.388270497,0.388270497,0.388270497,25700,25700,25700,0.288451444,0.288451444,0.288451444,25700,25700,25700,0.556501321,0.556501321,0.556501321,25700,25700,25700,0.569077688,0.569077688,0.569077688
2362,25709,25709,25709,0.478661088,0.478661088,0.478661088,25709,25709,25709,0.422812703,0.422812703,0.422812703,25709,25709,25709,0.37809234,0.37809234,0.37809234,25709,25709,25709,0.299484156,0.299484156,0.299484156,25709,25709,25709,0.531701891,0.531701891,0.531701891,25709,25709,25709,0.541850695,0.541850695,0.541850695
2363,25718,25718,25718,0.505022097,0.505022097,0.505022097,25718,25718,25718,0.451431659,0.451431659,0.451431659,25718,25718,25718,0.395276981,0.395276981,0.395276981,25718,25718,25718,0.321385902,0.321385902,0.321385902,25718,25718,25718,0.578927349,0.578927349,0.578927349,25718,25718,25718,0.585950024,0.585950024,0.585950024
2364,25727,25727,25727,0.499510071,0.499510071,0.499510071,25727,25727,25727,0.459706324,0.459706324,0.459706324,25727,25727,25727,0.394013739,0.394013739,0.394013739,25727,25727,25727,0.311087191,0.311087191,0.311087191,25727,25727,25727,0.569715142,0.569715142,0.569715142,25727,25727,25727,0.585764294,0.585764294,0.585764294
2365,25736,25736,25736,0.520248903,0.520248903,0.520248903,25736,25736,25736,0.462140141,0.462140141,0.462140141,25736,25736,25736,0.412858423,0.412858423,0.412858423,25736,25736,25736,0.319148936,0.319148936,0.319148936,25736,25736,25736,0.564730851,0.564730851,0.564730851,25736,25736,25736,0.564082959,0.564082959,0.564082959
2366,25745,25745,25745,0.575051713,0.575051713,0.575051713,25745,25745,25745,0.524877298,0.524877298,0.524877298,25745,25745,25745,0.480065762,0.480065762,0.480065762,25745,25745,25745,0.384722222,0.384722222,0.384722222,25745,25745,25745,0.626795423,0.626795423,0.626795423,25745,25745,25745,0.63599807,0.63599807,0.63599807
2367,25754,25754,25754,0.521692783,0.521692783,0.521692783,25754,25754,25754,0.469455587,0.469455587,0.469455587,25754,25754,25754,0.42845519,0.42845519,0.42845519,25754,25754,25754,0.362037755,0.362037755,0.362037755,25754,25754,25754,0.604426559,0.604426559,0.604426559,25754,25754,25754,0.605387003,0.605387003,0.605387003
2368,25763,25763,25763,0.456559193,0.456559193,0.456559193,25763,25763,25763,0.415638395,0.415638395,0.415638395,25763,25763,25763,0.360872439,0.360872439,0.360872439,25763,25763,25763,0.280443868,0.280443868,0.280443868,25763,25763,25763,0.540794141,0.540794141,0.540794141,25763,25763,25763,0.552646492,0.552646492,0.552646492
2369,25772,25772,25772,0.5103322,0.5103322,0.5103322,25772,25772,25772,0.43368719,0.43368719,0.43368719,25772,25772,25772,0.383340416,0.383340416,0.383340416,25772,25772,25772,0.299923489,0.299923489,0.299923489,25772,25772,25772,0.57897927,0.57897927,0.57897927,25772,25772,25772,0.591478697,0.591478697,0.591478697
2370,25781,25781,25781,0.45281018,0.45281018,0.45281018,25781,25781,25781,0.411101474,0.411101474,0.411101474,25781,25781,25781,0.347413665,0.347413665,0.347413665,25781,25781,25781,0.270654329,0.270654329,0.270654329,25781,25781,25781,0.51753507,0.51753507,0.51753507,25781,25781,25781,0.520971302,0.520971302,0.520971302
2371,25790,25790,25790,0.538852097,0.538852097,0.538852097,25790,25790,25790,0.488075561,0.488075561,0.488075561,25790,25790,25790,0.432392996,0.432392996,0.432392996,25790,25790,25790,0.332052689,0.332052689,0.332052689,25790,25790,25790,0.596191058,0.596191058,0.596191058,25790,25790,25790,0.607855233,0.607855233,0.607855233
2372,25799,25799,25799,0.557700746,0.557700746,0.557700746,25799,25799,25799,0.524762667,0.524762667,0.524762667,25799,25799,25799,0.480112968,0.480112968,0.480112968,25799,25799,25799,0.38789327,0.38789327,0.38789327,25799,25799,25799,0.611254723,0.611254723,0.611254723,25799,25799,25799,0.613892737,0.613892737,0.613892737
2373,25808,25808,25808,0.466673987,0.466673987,0.466673987,25808,25808,25808,0.417220114,0.417220114,0.417220114,25808,25808,25808,0.381443299,0.381443299,0.381443299,25808,25808,25808,0.296080067,0.296080067,0.296080067,25808,25808,25808,0.521791283,0.521791283,0.521791283,25808,25808,25808,0.536859765,0.536859765,0.536859765
2374,25817,25817,25817,0.470238979,0.470238979,0.470238979,25817,25817,25817,0.424682957,0.424682957,0.424682957,25817,25817,25817,0.362569389,0.362569389,0.362569389,25817,25817,25817,0.278022171,0.278022171,0.278022171,25817,25817,25817,0.540142072,0.540142072,0.540142072,25817,25817,25817,0.564899946,0.564899946,0.564899946
2375,25826,25826,25826,0.57509192,0.57509192,0.57509192,25826,25826,25826,0.509179927,0.509179927,0.509179927,25826,25826,25826,0.459393811,0.459393811,0.459393811,25826,25826,25826,0.353211009,0.353211009,0.353211009,25826,25826,25826,0.615747619,0.615747619,0.615747619,25826,25826,25826,0.629924011,0.629924011,0.629924011
2376,25835,25835,25835,0.523860705,0.523860705,0.523860705,25835,25835,25835,0.463591395,0.463591395,0.463591395,25835,25835,25835,0.435140539,0.435140539,0.435140539,25835,25835,25835,0.36,0.36,0.36,25835,25835,25835,0.569215292,0.569215292,0.569215292,25835,25835,25835,0.581825493,0.581825493,0.581825493
2377,25844,25844,25844,0.488096581,0.488096581,0.488096581,25844,25844,25844,0.417582418,0.417582418,0.417582418,25844,25844,25844,0.371404501,0.371404501,0.371404501,25844,25844,25844,0.270420301,0.270420301,0.270420301,25844,25844,25844,0.562506506,0.562506506,0.562506506,25844,25844,25844,0.564242424,0.564242424,0.564242424
2378,25853,25853,25853,0.444502142,0.444502142,0.444502142,25853,25853,25853,0.401479585,0.401479585,0.401479585,25853,25853,25853,0.371922915,0.371922915,0.371922915,25853,25853,25853,0.306345061,0.306345061,0.306345061,25853,25853,25853,0.490043711,0.490043711,0.490043711,25853,25853,25853,0.493769851,0.493769851,0.493769851
2379,25862,25862,25862,0.565536526,0.565536526,0.565536526,25862,25862,25862,0.506554539,0.506554539,0.506554539,25862,25862,25862,0.4328129,0.4328129,0.4328129,25862,25862,25862,0.358335692,0.358335692,0.358335692,25862,25862,25862,0.633469563,0.633469563,0.633469563,25862,25862,25862,0.655330003,0.655330003,0.655330003
2380,25871,25871,25871,0.509023486,0.509023486,0.509023486,25871,25871,25871,0.481378396,0.481378396,0.481378396,25871,25871,25871,0.414812805,0.414812805,0.414812805,25871,25871,25871,0.314357534,0.314357534,0.314357534,25871,25871,25871,0.569202566,0.569202566,0.569202566,25871,25871,25871,0.578527468,0.578527468,0.578527468
2381,25880,25880,25880,0.497338853,0.497338853,0.497338853,25880,25880,25880,0.457969205,0.457969205,0.457969205,25880,25880,25880,0.403277981,0.403277981,0.403277981,25880,25880,25880,0.319126202,0.319126202,0.319126202,25880,25880,25880,0.541752288,0.541752288,0.541752288,25880,25880,25880,0.558267572,0.558267572,0.558267572
2382,25889,25889,25889,0.498570612,0.498570612,0.498570612,25889,25889,25889,0.44383035,0.44383035,0.44383035,25889,25889,25889,0.396728516,0.396728516,0.396728516,25889,25889,25889,0.294980487,0.294980487,0.294980487,25889,25889,25889,0.564217731,0.564217731,0.564217731,25889,25889,25889,0.589431325,0.589431325,0.589431325
2383,25898,25898,25898,0.592003534,0.592003534,0.592003534,25898,25898,25898,0.518738846,0.518738846,0.518738846,25898,25898,25898,0.459559261,0.459559261,0.459559261,25898,25898,25898,0.367131447,0.367131447,0.367131447,25898,25898,25898,0.640127051,0.640127051,0.640127051,25898,25898,25898,0.661362923,0.661362923,0.661362923
2384,25907,25907,25907,0.497835498,0.497835498,0.497835498,25907,25907,25907,0.46131764,0.46131764,0.46131764,25907,25907,25907,0.418049491,0.418049491,0.418049491,25907,25907,25907,0.322382263,0.322382263,0.322382263,25907,25907,25907,0.551369423,0.551369423,0.551369423,25907,25907,25907,0.54876161,0.54876161,0.54876161
2385,25916,25916,25916,0.457404365,0.457404365,0.457404365,25916,25916,25916,0.40913811,0.40913811,0.40913811,25916,25916,25916,0.340005639,0.340005639,0.340005639,25916,25916,25916,0.259393177,0.259393177,0.259393177,25916,25916,25916,0.520175622,0.520175622,0.520175622,25916,25916,25916,0.541706514,0.541706514,0.541706514
2386,25925,25925,25925,0.454534477,0.454534477,0.454534477,25925,25925,25925,0.425957615,0.425957615,0.425957615,25925,25925,25925,0.376245734,0.376245734,0.376245734,25925,25925,25925,0.293597241,0.293597241,0.293597241,25925,25925,25925,0.525778911,0.525778911,0.525778911,25925,25925,25925,0.529347109,0.529347109,0.529347109
2387,25934,25934,25934,0.531396349,0.531396349,0.531396349,25934,25934,25934,0.457952562,0.457952562,0.457952562,25934,25934,25934,0.419121614,0.419121614,0.419121614,25934,25934,25934,0.348136683,0.348136683,0.348136683,25934,25934,25934,0.578687368,0.578687368,0.578687368,25934,25934,25934,0.593588602,0.593588602,0.593588602
2388,25943,25943,25943,0.536433303,0.536433303,0.536433303,25943,25943,25943,0.482292959,0.482292959,0.482292959,25943,25943,25943,0.409439864,0.409439864,0.409439864,25943,25943,25943,0.333973129,0.333973129,0.333973129,25943,25943,25943,0.596273292,0.596273292,0.596273292,25943,25943,25943,0.606516291,0.606516291,0.606516291
2389,25952,25952,25952,0.510831234,0.510831234,0.510831234,25952,25952,25952,0.474234998,0.474234998,0.474234998,25952,25952,25952,0.407657347,0.407657347,0.407657347,25952,25952,25952,0.313292556,0.313292556,0.313292556,25952,25952,25952,0.5906116,0.5906116,0.5906116,25952,25952,25952,0.601946142,0.601946142,0.601946142
2390,25961,25961,25961,0.485565357,0.485565357,0.485565357,25961,25961,25961,0.42491705,0.42491705,0.42491705,25961,25961,25961,0.394011032,0.394011032,0.394011032,25961,25961,25961,0.303294449,0.303294449,0.303294449,25961,25961,25961,0.537445748,0.537445748,0.537445748,25961,25961,25961,0.542882722,0.542882722,0.542882722
2391,25970,25970,25970,0.466404199,0.466404199,0.466404199,25970,25970,25970,0.419983065,0.419983065,0.419983065,25970,25970,25970,0.373689502,0.373689502,0.373689502,25970,25970,25970,0.294624667,0.294624667,0.294624667,25970,25970,25970,0.538517796,0.538517796,0.538517796,25970,25970,25970,0.547055985,0.547055985,0.547055985
2392,25979,25979,25979,0.57349344,0.57349344,0.57349344,25979,25979,25979,0.501270725,0.501270725,0.501270725,25979,25979,25979,0.431815299,0.431815299,0.431815299,25979,25979,25979,0.36388584,0.36388584,0.36388584,25979,25979,25979,0.640776699,0.640776699,0.640776699,25979,25979,25979,0.65815716,0.65815716,0.65815716
2393,25988,25988,25988,0.518648176,0.518648176,0.518648176,25988,25988,25988,0.48613284,0.48613284,0.48613284,25988,25988,25988,0.448614319,0.448614319,0.448614319,25988,25988,25988,0.368192771,0.368192771,0.368192771,25988,25988,25988,0.570788753,0.570788753,0.570788753,25988,25988,25988,0.577083071,0.577083071,0.577083071
2394,25997,25997,25997,0.514853514,0.514853514,0.514853514,25997,25997,25997,0.467183575,0.467183575,0.467183575,25997,25997,25997,0.423726891,0.423726891,0.423726891,25997,25997,25997,0.346292386,0.346292386,0.346292386,25997,25997,25997,0.591771847,0.591771847,0.591771847,25997,25997,25997,0.597210362,0.597210362,0.597210362
2395,26006,26006,26006,0.518732655,0.518732655,0.518732655,26006,26006,26006,0.454499494,0.454499494,0.454499494,26006,26006,26006,0.398303962,0.398303962,0.398303962,26006,26006,26006,0.312176357,0.312176357,0.312176357,26006,26006,26006,0.583184633,0.583184633,0.583184633,26006,26006,26006,0.591334774,0.591334774,0.591334774
2396,26015,26015,26015,0.47630783,0.47630783,0.47630783,26015,26015,26015,0.423959828,0.423959828,0.423959828,26015,26015,26015,0.370914433,0.370914433,0.370914433,26015,26015,26015,0.300996043,0.300996043,0.300996043,26015,26015,26015,0.55107838,0.55107838,0.55107838,26015,26015,26015,0.554821392,0.554821392,0.554821392
