training_step,sso01-adamw-lr5e-5-freeze.base-305bhnsz - _step,sso01-adamw-lr5e-5-freeze.base-305bhnsz - _step__MIN,sso01-adamw-lr5e-5-freeze.base-305bhnsz - _step__MAX,lr5e-5,sso01-adamw-lr5e-5-freeze.base-305bhnsz - training/f1_score-iii__MIN,sso01-adamw-lr5e-5-freeze.base-305bhnsz - training/f1_score-iii__MAX,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - _step,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - _step__MIN,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - _step__MAX,lr3e-5,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - training/f1_score-iii__MIN,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - training/f1_score-iii__MAX,sso01-adamw-lr2e-5-freeze.base-1q52u19t - _step,sso01-adamw-lr2e-5-freeze.base-1q52u19t - _step__MIN,sso01-adamw-lr2e-5-freeze.base-1q52u19t - _step__MAX,lr2e-5,sso01-adamw-lr2e-5-freeze.base-1q52u19t - training/f1_score-iii__MIN,sso01-adamw-lr2e-5-freeze.base-1q52u19t - training/f1_score-iii__MAX,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - _step,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - _step__MIN,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - _step__MAX,lr1e-5,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - training/f1_score-iii__MIN,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - training/f1_score-iii__MAX,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - _step,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - _step__MIN,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - _step__MAX,lr2e-4,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - training/f1_score-iii__MIN,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - training/f1_score-iii__MAX,sso01-adamw-freeze.base-30v736in - _step,sso01-adamw-freeze.base-30v736in - _step__MIN,sso01-adamw-freeze.base-30v736in - _step__MAX,lr4e-4,sso01-adamw-freeze.base-30v736in - training/f1_score-iii__MIN,sso01-adamw-freeze.base-30v736in - training/f1_score-iii__MAX
14,127,127,127,0.142316427,0.142316427,0.142316427,127,127,127,0.395879054,0.395879054,0.395879054,127,127,127,0.134102268,0.134102268,0.134102268,127,127,127,0.12363805,0.12363805,0.12363805,127,127,127,0.332499342,0.332499342,0.332499342,127,127,127,0.088216661,0.088216661,0.088216661
15,136,136,136,0.111195619,0.111195619,0.111195619,136,136,136,0.400827956,0.400827956,0.400827956,136,136,136,0.177282851,0.177282851,0.177282851,136,136,136,0.130610996,0.130610996,0.130610996,136,136,136,0.36421603,0.36421603,0.36421603,136,136,136,0.076679842,0.076679842,0.076679842
16,145,145,145,0.132717017,0.132717017,0.132717017,145,145,145,0.418065795,0.418065795,0.418065795,145,145,145,0.148492978,0.148492978,0.148492978,145,145,145,0.135814249,0.135814249,0.135814249,145,145,145,0.354073976,0.354073976,0.354073976,145,145,145,0.096695026,0.096695026,0.096695026
17,154,154,154,0.152201153,0.152201153,0.152201153,154,154,154,0.407972635,0.407972635,0.407972635,154,154,154,0.13910828,0.13910828,0.13910828,154,154,154,0.133241993,0.133241993,0.133241993,154,154,154,0.330667819,0.330667819,0.330667819,154,154,154,0.083776125,0.083776125,0.083776125
18,163,163,163,0.161275626,0.161275626,0.161275626,163,163,163,0.418016691,0.418016691,0.418016691,163,163,163,0.123254162,0.123254162,0.123254162,163,163,163,0.131351266,0.131351266,0.131351266,163,163,163,0.339418255,0.339418255,0.339418255,163,163,163,0.096776786,0.096776786,0.096776786
19,172,172,172,0.138674664,0.138674664,0.138674664,172,172,172,0.412861514,0.412861514,0.412861514,172,172,172,0.16002845,0.16002845,0.16002845,172,172,172,0.144900453,0.144900453,0.144900453,172,172,172,0.371066114,0.371066114,0.371066114,172,172,172,0.081202333,0.081202333,0.081202333
20,181,181,181,0.161441619,0.161441619,0.161441619,181,181,181,0.399141631,0.399141631,0.399141631,181,181,181,0.152285952,0.152285952,0.152285952,181,181,181,0.128324187,0.128324187,0.128324187,181,181,181,0.34619469,0.34619469,0.34619469,181,181,181,0.070492384,0.070492384,0.070492384
21,190,190,190,0.156025039,0.156025039,0.156025039,190,190,190,0.39544736,0.39544736,0.39544736,190,190,190,0.166640441,0.166640441,0.166640441,190,190,190,0.133322586,0.133322586,0.133322586,190,190,190,0.348451253,0.348451253,0.348451253,190,190,190,0.080113731,0.080113731,0.080113731
22,199,199,199,0.144590872,0.144590872,0.144590872,199,199,199,0.435776573,0.435776573,0.435776573,199,199,199,0.163936856,0.163936856,0.163936856,199,199,199,0.126200274,0.126200274,0.126200274,199,199,199,0.354776579,0.354776579,0.354776579,199,199,199,0.081818182,0.081818182,0.081818182
23,208,208,208,0.13710605,0.13710605,0.13710605,208,208,208,0.438120292,0.438120292,0.438120292,208,208,208,0.157692898,0.157692898,0.157692898,208,208,208,0.128519067,0.128519067,0.128519067,208,208,208,0.365032487,0.365032487,0.365032487,208,208,208,0.077116241,0.077116241,0.077116241
24,217,217,217,0.153723362,0.153723362,0.153723362,217,217,217,0.433243362,0.433243362,0.433243362,217,217,217,0.157346889,0.157346889,0.157346889,217,217,217,0.134459293,0.134459293,0.134459293,217,217,217,0.349670315,0.349670315,0.349670315,217,217,217,0.085724044,0.085724044,0.085724044
25,226,226,226,0.141167192,0.141167192,0.141167192,226,226,226,0.412110486,0.412110486,0.412110486,226,226,226,0.17104642,0.17104642,0.17104642,226,226,226,0.149234488,0.149234488,0.149234488,226,226,226,0.360417797,0.360417797,0.360417797,226,226,226,0.094531511,0.094531511,0.094531511
26,235,235,235,0.143152866,0.143152866,0.143152866,235,235,235,0.419415059,0.419415059,0.419415059,235,235,235,0.176353661,0.176353661,0.176353661,235,235,235,0.131174221,0.131174221,0.131174221,235,235,235,0.365021575,0.365021575,0.365021575,235,235,235,0.08940061,0.08940061,0.08940061
27,244,244,244,0.126262237,0.126262237,0.126262237,244,244,244,0.419842192,0.419842192,0.419842192,244,244,244,0.188338767,0.188338767,0.188338767,244,244,244,0.130196078,0.130196078,0.130196078,244,244,244,0.367239795,0.367239795,0.367239795,244,244,244,0.080905095,0.080905095,0.080905095
28,253,253,253,0.166741439,0.166741439,0.166741439,253,253,253,0.418804439,0.418804439,0.418804439,253,253,253,0.182007126,0.182007126,0.182007126,253,253,253,0.133692722,0.133692722,0.133692722,253,253,253,0.370332546,0.370332546,0.370332546,253,253,253,0.100047341,0.100047341,0.100047341
29,262,262,262,0.171304283,0.171304283,0.171304283,262,262,262,0.413561803,0.413561803,0.413561803,262,262,262,0.180857488,0.180857488,0.180857488,262,262,262,0.139470014,0.139470014,0.139470014,262,262,262,0.38185476,0.38185476,0.38185476,262,262,262,0.113855899,0.113855899,0.113855899
30,271,271,271,0.176157373,0.176157373,0.176157373,271,271,271,0.39606381,0.39606381,0.39606381,271,271,271,0.162215478,0.162215478,0.162215478,271,271,271,0.130414676,0.130414676,0.130414676,271,271,271,0.365202746,0.365202746,0.365202746,271,271,271,0.129514321,0.129514321,0.129514321
31,280,280,280,0.163534226,0.163534226,0.163534226,280,280,280,0.431034483,0.431034483,0.431034483,280,280,280,0.171762903,0.171762903,0.171762903,280,280,280,0.143435348,0.143435348,0.143435348,280,280,280,0.416899441,0.416899441,0.416899441,280,280,280,0.126097596,0.126097596,0.126097596
32,289,289,289,0.167441163,0.167441163,0.167441163,289,289,289,0.424942819,0.424942819,0.424942819,289,289,289,0.203855096,0.203855096,0.203855096,289,289,289,0.143056417,0.143056417,0.143056417,289,289,289,0.427960237,0.427960237,0.427960237,289,289,289,0.156823284,0.156823284,0.156823284
33,298,298,298,0.185524676,0.185524676,0.185524676,298,298,298,0.447775286,0.447775286,0.447775286,298,298,298,0.169924812,0.169924812,0.169924812,298,298,298,0.150749205,0.150749205,0.150749205,298,298,298,0.405633803,0.405633803,0.405633803,298,298,298,0.175063919,0.175063919,0.175063919
34,307,307,307,0.188191882,0.188191882,0.188191882,307,307,307,0.410586011,0.410586011,0.410586011,307,307,307,0.174272564,0.174272564,0.174272564,307,307,307,0.13831926,0.13831926,0.13831926,307,307,307,0.400441759,0.400441759,0.400441759,307,307,307,0.150955465,0.150955465,0.150955465
35,316,316,316,0.187794833,0.187794833,0.187794833,316,316,316,0.441414263,0.441414263,0.441414263,316,316,316,0.185534113,0.185534113,0.185534113,316,316,316,0.14769806,0.14769806,0.14769806,316,316,316,0.438456297,0.438456297,0.438456297,316,316,316,0.180015373,0.180015373,0.180015373
36,325,325,325,0.21005811,0.21005811,0.21005811,325,325,325,0.44756973,0.44756973,0.44756973,325,325,325,0.155154251,0.155154251,0.155154251,325,325,325,0.156871609,0.156871609,0.156871609,325,325,325,0.417831414,0.417831414,0.417831414,325,325,325,0.189522113,0.189522113,0.189522113
37,334,334,334,0.168730899,0.168730899,0.168730899,334,334,334,0.407997378,0.407997378,0.407997378,334,334,334,0.189333552,0.189333552,0.189333552,334,334,334,0.132502348,0.132502348,0.132502348,334,334,334,0.422927026,0.422927026,0.422927026,334,334,334,0.239461452,0.239461452,0.239461452
38,343,343,343,0.198885555,0.198885555,0.198885555,343,343,343,0.39263222,0.39263222,0.39263222,343,343,343,0.171905874,0.171905874,0.171905874,343,343,343,0.143976935,0.143976935,0.143976935,343,343,343,0.435735779,0.435735779,0.435735779,343,343,343,0.215771988,0.215771988,0.215771988
39,352,352,352,0.218993774,0.218993774,0.218993774,352,352,352,0.469736461,0.469736461,0.469736461,352,352,352,0.147538508,0.147538508,0.147538508,352,352,352,0.150301205,0.150301205,0.150301205,352,352,352,0.441290941,0.441290941,0.441290941,352,352,352,0.234305416,0.234305416,0.234305416
40,361,361,361,0.215328188,0.215328188,0.215328188,361,361,361,0.415277166,0.415277166,0.415277166,361,361,361,0.166326614,0.166326614,0.166326614,361,361,361,0.142667991,0.142667991,0.142667991,361,361,361,0.439858026,0.439858026,0.439858026,361,361,361,0.245548266,0.245548266,0.245548266
41,370,370,370,0.198403845,0.198403845,0.198403845,370,370,370,0.409832679,0.409832679,0.409832679,370,370,370,0.181364689,0.181364689,0.181364689,370,370,370,0.134717883,0.134717883,0.134717883,370,370,370,0.45122534,0.45122534,0.45122534,370,370,370,0.255991841,0.255991841,0.255991841
42,379,379,379,0.234525399,0.234525399,0.234525399,379,379,379,0.44195591,0.44195591,0.44195591,379,379,379,0.165506001,0.165506001,0.165506001,379,379,379,0.150909499,0.150909499,0.150909499,379,379,379,0.463380282,0.463380282,0.463380282,379,379,379,0.271945639,0.271945639,0.271945639
43,388,388,388,0.218677043,0.218677043,0.218677043,388,388,388,0.418194506,0.418194506,0.418194506,388,388,388,0.14859011,0.14859011,0.14859011,388,388,388,0.142468015,0.142468015,0.142468015,388,388,388,0.437113139,0.437113139,0.437113139,388,388,388,0.243552124,0.243552124,0.243552124
44,397,397,397,0.208917555,0.208917555,0.208917555,397,397,397,0.445377661,0.445377661,0.445377661,397,397,397,0.178686131,0.178686131,0.178686131,397,397,397,0.159290728,0.159290728,0.159290728,397,397,397,0.473189801,0.473189801,0.473189801,397,397,397,0.264394993,0.264394993,0.264394993
