training_step,sso01-adamw-lr5e-5-freeze.base-305bhnsz - _step,sso01-adamw-lr5e-5-freeze.base-305bhnsz - _step__MIN,sso01-adamw-lr5e-5-freeze.base-305bhnsz - _step__MAX,lr5e-5,sso01-adamw-lr5e-5-freeze.base-305bhnsz - training/f1_score-iii__MIN,sso01-adamw-lr5e-5-freeze.base-305bhnsz - training/f1_score-iii__MAX,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - _step,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - _step__MIN,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - _step__MAX,lr3e-5,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - training/f1_score-iii__MIN,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - training/f1_score-iii__MAX,sso01-adamw-lr2e-5-freeze.base-1q52u19t - _step,sso01-adamw-lr2e-5-freeze.base-1q52u19t - _step__MIN,sso01-adamw-lr2e-5-freeze.base-1q52u19t - _step__MAX,lr2e-5,sso01-adamw-lr2e-5-freeze.base-1q52u19t - training/f1_score-iii__MIN,sso01-adamw-lr2e-5-freeze.base-1q52u19t - training/f1_score-iii__MAX,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - _step,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - _step__MIN,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - _step__MAX,lr1e-5,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - training/f1_score-iii__MIN,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - training/f1_score-iii__MAX,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - _step,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - _step__MIN,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - _step__MAX,lr2e-4,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - training/f1_score-iii__MIN,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - training/f1_score-iii__MAX,sso01-adamw-freeze.base-30v736in - _step,sso01-adamw-freeze.base-30v736in - _step__MIN,sso01-adamw-freeze.base-30v736in - _step__MAX,lr4e-4,sso01-adamw-freeze.base-30v736in - training/f1_score-iii__MIN,sso01-adamw-freeze.base-30v736in - training/f1_score-iii__MAX
3102,32362,32362,32362,0.692194866,0.692194866,0.692194866,32362,32362,32362,0.673802459,0.673802459,0.673802459,32362,32362,32362,0.643131809,0.643131809,0.643131809,32362,32362,32362,0.649148317,0.649148317,0.649148317,32362,32362,32362,0.751335964,0.751335964,0.751335964,32362,32362,32362,0.751912238,0.751912238,0.751912238
3103,32371,32371,32371,0.634846765,0.634846765,0.634846765,32371,32371,32371,0.605836463,0.605836463,0.605836463,32371,32371,32371,0.567446201,0.567446201,0.567446201,32371,32371,32371,0.587893354,0.587893354,0.587893354,32371,32371,32371,0.688275485,0.688275485,0.688275485,32371,32371,32371,0.701763849,0.701763849,0.701763849
3104,32380,32380,32380,0.679056837,0.679056837,0.679056837,32380,32380,32380,0.647330811,0.647330811,0.647330811,32380,32380,32380,0.611543624,0.611543624,0.611543624,32380,32380,32380,0.604266526,0.604266526,0.604266526,32380,32380,32380,0.724170428,0.724170428,0.724170428,32380,32380,32380,0.741183386,0.741183386,0.741183386
3105,32389,32389,32389,0.714505727,0.714505727,0.714505727,32389,32389,32389,0.694872925,0.694872925,0.694872925,32389,32389,32389,0.653683999,0.653683999,0.653683999,32389,32389,32389,0.645721125,0.645721125,0.645721125,32389,32389,32389,0.771590067,0.771590067,0.771590067,32389,32389,32389,0.785655248,0.785655248,0.785655248
3106,32398,32398,32398,0.646386626,0.646386626,0.646386626,32398,32398,32398,0.607665126,0.607665126,0.607665126,32398,32398,32398,0.57228481,0.57228481,0.57228481,32398,32398,32398,0.567094134,0.567094134,0.567094134,32398,32398,32398,0.705805675,0.705805675,0.705805675,32398,32398,32398,0.726231047,0.726231047,0.726231047
3107,32407,32407,32407,0.697056217,0.697056217,0.697056217,32407,32407,32407,0.66328446,0.66328446,0.66328446,32407,32407,32407,0.630328804,0.630328804,0.630328804,32407,32407,32407,0.624700056,0.624700056,0.624700056,32407,32407,32407,0.749271411,0.749271411,0.749271411,32407,32407,32407,0.765820722,0.765820722,0.765820722
3108,32416,32416,32416,0.675990416,0.675990416,0.675990416,32416,32416,32416,0.65175865,0.65175865,0.65175865,32416,32416,32416,0.61720028,0.61720028,0.61720028,32416,32416,32416,0.613448276,0.613448276,0.613448276,32416,32416,32416,0.733057149,0.733057149,0.733057149,32416,32416,32416,0.743704327,0.743704327,0.743704327
3109,32425,32425,32425,0.739295547,0.739295547,0.739295547,32425,32425,32425,0.710773228,0.710773228,0.710773228,32425,32425,32425,0.667422599,0.667422599,0.667422599,32425,32425,32425,0.651092617,0.651092617,0.651092617,32425,32425,32425,0.793277918,0.793277918,0.793277918,32425,32425,32425,0.810393574,0.810393574,0.810393574
3110,32434,32434,32434,0.661616162,0.661616162,0.661616162,32434,32434,32434,0.633723123,0.633723123,0.633723123,32434,32434,32434,0.60511923,0.60511923,0.60511923,32434,32434,32434,0.599426438,0.599426438,0.599426438,32434,32434,32434,0.712506329,0.712506329,0.712506329,32434,32434,32434,0.716992634,0.716992634,0.716992634
3111,32443,32443,32443,0.729141534,0.729141534,0.729141534,32443,32443,32443,0.697923841,0.697923841,0.697923841,32443,32443,32443,0.656654947,0.656654947,0.656654947,32443,32443,32443,0.645174031,0.645174031,0.645174031,32443,32443,32443,0.782661441,0.782661441,0.782661441,32443,32443,32443,0.799443285,0.799443285,0.799443285
3112,32452,32452,32452,0.705731605,0.705731605,0.705731605,32452,32452,32452,0.681651698,0.681651698,0.681651698,32452,32452,32452,0.642240493,0.642240493,0.642240493,32452,32452,32452,0.644577094,0.644577094,0.644577094,32452,32452,32452,0.750925486,0.750925486,0.750925486,32452,32452,32452,0.769874477,0.769874477,0.769874477
3113,32461,32461,32461,0.719833283,0.719833283,0.719833283,32461,32461,32461,0.694989443,0.694989443,0.694989443,32461,32461,32461,0.670186335,0.670186335,0.670186335,32461,32461,32461,0.664023181,0.664023181,0.664023181,32461,32461,32461,0.751389992,0.751389992,0.751389992,32461,32461,32461,0.772667157,0.772667157,0.772667157
3114,32470,32470,32470,0.687673201,0.687673201,0.687673201,32470,32470,32470,0.657082452,0.657082452,0.657082452,32470,32470,32470,0.610049924,0.610049924,0.610049924,32470,32470,32470,0.600107585,0.600107585,0.600107585,32470,32470,32470,0.74236538,0.74236538,0.74236538,32470,32470,32470,0.759652038,0.759652038,0.759652038
3115,32479,32479,32479,0.713100327,0.713100327,0.713100327,32479,32479,32479,0.692409442,0.692409442,0.692409442,32479,32479,32479,0.665050547,0.665050547,0.665050547,32479,32479,32479,0.650229709,0.650229709,0.650229709,32479,32479,32479,0.753034456,0.753034456,0.753034456,32479,32479,32479,0.772463976,0.772463976,0.772463976
3116,32488,32488,32488,0.679729248,0.679729248,0.679729248,32488,32488,32488,0.653736747,0.653736747,0.653736747,32488,32488,32488,0.6185427,0.6185427,0.6185427,32488,32488,32488,0.609399155,0.609399155,0.609399155,32488,32488,32488,0.735072804,0.735072804,0.735072804,32488,32488,32488,0.746259985,0.746259985,0.746259985
3117,32497,32497,32497,0.677762783,0.677762783,0.677762783,32497,32497,32497,0.641466913,0.641466913,0.641466913,32497,32497,32497,0.620056716,0.620056716,0.620056716,32497,32497,32497,0.609741124,0.609741124,0.609741124,32497,32497,32497,0.741562291,0.741562291,0.741562291,32497,32497,32497,0.732403911,0.732403911,0.732403911
3118,32506,32506,32506,0.650484317,0.650484317,0.650484317,32506,32506,32506,0.626709715,0.626709715,0.626709715,32506,32506,32506,0.575401842,0.575401842,0.575401842,32506,32506,32506,0.570719896,0.570719896,0.570719896,32506,32506,32506,0.700694252,0.700694252,0.700694252,32506,32506,32506,0.716997696,0.716997696,0.716997696
3119,32515,32515,32515,0.659841338,0.659841338,0.659841338,32515,32515,32515,0.632393829,0.632393829,0.632393829,32515,32515,32515,0.596049466,0.596049466,0.596049466,32515,32515,32515,0.599498965,0.599498965,0.599498965,32515,32515,32515,0.715669283,0.715669283,0.715669283,32515,32515,32515,0.735704954,0.735704954,0.735704954
3120,32524,32524,32524,0.666565534,0.666565534,0.666565534,32524,32524,32524,0.635317296,0.635317296,0.635317296,32524,32524,32524,0.587988376,0.587988376,0.587988376,32524,32524,32524,0.580662393,0.580662393,0.580662393,32524,32524,32524,0.735334436,0.735334436,0.735334436,32524,32524,32524,0.749005476,0.749005476,0.749005476
3121,32533,32533,32533,0.714123176,0.714123176,0.714123176,32533,32533,32533,0.679228035,0.679228035,0.679228035,32533,32533,32533,0.644217299,0.644217299,0.644217299,32533,32533,32533,0.634017959,0.634017959,0.634017959,32533,32533,32533,0.763757749,0.763757749,0.763757749,32533,32533,32533,0.771721584,0.771721584,0.771721584
3122,32542,32542,32542,0.688155053,0.688155053,0.688155053,32542,32542,32542,0.660118507,0.660118507,0.660118507,32542,32542,32542,0.62046456,0.62046456,0.62046456,32542,32542,32542,0.606921598,0.606921598,0.606921598,32542,32542,32542,0.754812968,0.754812968,0.754812968,32542,32542,32542,0.76190002,0.76190002,0.76190002
3123,32551,32551,32551,0.689481154,0.689481154,0.689481154,32551,32551,32551,0.66500292,0.66500292,0.66500292,32551,32551,32551,0.613908084,0.613908084,0.613908084,32551,32551,32551,0.602163332,0.602163332,0.602163332,32551,32551,32551,0.757690018,0.757690018,0.757690018,32551,32551,32551,0.773932145,0.773932145,0.773932145
3124,32560,32560,32560,0.682378878,0.682378878,0.682378878,32560,32560,32560,0.653738719,0.653738719,0.653738719,32560,32560,32560,0.612019443,0.612019443,0.612019443,32560,32560,32560,0.608625074,0.608625074,0.608625074,32560,32560,32560,0.753148864,0.753148864,0.753148864,32560,32560,32560,0.758070905,0.758070905,0.758070905
3125,32569,32569,32569,0.712480647,0.712480647,0.712480647,32569,32569,32569,0.679310874,0.679310874,0.679310874,32569,32569,32569,0.629651194,0.629651194,0.629651194,32569,32569,32569,0.621521433,0.621521433,0.621521433,32569,32569,32569,0.767393365,0.767393365,0.767393365,32569,32569,32569,0.774513508,0.774513508,0.774513508
3126,32578,32578,32578,0.70963522,0.70963522,0.70963522,32578,32578,32578,0.670279197,0.670279197,0.670279197,32578,32578,32578,0.641954683,0.641954683,0.641954683,32578,32578,32578,0.640167151,0.640167151,0.640167151,32578,32578,32578,0.751524019,0.751524019,0.751524019,32578,32578,32578,0.763562714,0.763562714,0.763562714
3127,32587,32587,32587,0.686603111,0.686603111,0.686603111,32587,32587,32587,0.657376212,0.657376212,0.657376212,32587,32587,32587,0.629798713,0.629798713,0.629798713,32587,32587,32587,0.611565118,0.611565118,0.611565118,32587,32587,32587,0.73391785,0.73391785,0.73391785,32587,32587,32587,0.740579642,0.740579642,0.740579642
3128,32596,32596,32596,0.711796515,0.711796515,0.711796515,32596,32596,32596,0.670898388,0.670898388,0.670898388,32596,32596,32596,0.622182619,0.622182619,0.622182619,32596,32596,32596,0.612607927,0.612607927,0.612607927,32596,32596,32596,0.767166763,0.767166763,0.767166763,32596,32596,32596,0.768569912,0.768569912,0.768569912
3129,32605,32605,32605,0.68492158,0.68492158,0.68492158,32605,32605,32605,0.652918412,0.652918412,0.652918412,32605,32605,32605,0.617446024,0.617446024,0.617446024,32605,32605,32605,0.606507453,0.606507453,0.606507453,32605,32605,32605,0.732530843,0.732530843,0.732530843,32605,32605,32605,0.736082782,0.736082782,0.736082782
3130,32614,32614,32614,0.679997906,0.679997906,0.679997906,32614,32614,32614,0.646566878,0.646566878,0.646566878,32614,32614,32614,0.586822389,0.586822389,0.586822389,32614,32614,32614,0.5807393,0.5807393,0.5807393,32614,32614,32614,0.752076741,0.752076741,0.752076741,32614,32614,32614,0.759618675,0.759618675,0.759618675
3131,32623,32623,32623,0.639464665,0.639464665,0.639464665,32623,32623,32623,0.618796082,0.618796082,0.618796082,32623,32623,32623,0.59296595,0.59296595,0.59296595,32623,32623,32623,0.600728617,0.600728617,0.600728617,32623,32623,32623,0.684283442,0.684283442,0.684283442,32623,32623,32623,0.696814186,0.696814186,0.696814186
3132,32632,32632,32632,0.669351591,0.669351591,0.669351591,32632,32632,32632,0.640959902,0.640959902,0.640959902,32632,32632,32632,0.606594328,0.606594328,0.606594328,32632,32632,32632,0.604997943,0.604997943,0.604997943,32632,32632,32632,0.713846754,0.713846754,0.713846754,32632,32632,32632,0.726622875,0.726622875,0.726622875
3133,32641,32641,32641,0.696116851,0.696116851,0.696116851,32641,32641,32641,0.667151994,0.667151994,0.667151994,32641,32641,32641,0.640131092,0.640131092,0.640131092,32641,32641,32641,0.63383786,0.63383786,0.63383786,32641,32641,32641,0.747466875,0.747466875,0.747466875,32641,32641,32641,0.759333494,0.759333494,0.759333494
3134,32650,32650,32650,0.709886548,0.709886548,0.709886548,32650,32650,32650,0.672655,0.672655,0.672655,32650,32650,32650,0.62059389,0.62059389,0.62059389,32650,32650,32650,0.607533156,0.607533156,0.607533156,32650,32650,32650,0.775481044,0.775481044,0.775481044,32650,32650,32650,0.78893617,0.78893617,0.78893617
3135,32659,32659,32659,0.723883874,0.723883874,0.723883874,32659,32659,32659,0.686082189,0.686082189,0.686082189,32659,32659,32659,0.650585095,0.650585095,0.650585095,32659,32659,32659,0.632410256,0.632410256,0.632410256,32659,32659,32659,0.762540548,0.762540548,0.762540548,32659,32659,32659,0.772982588,0.772982588,0.772982588
3136,32668,32668,32668,0.609637971,0.609637971,0.609637971,32668,32668,32668,0.572839815,0.572839815,0.572839815,32668,32668,32668,0.533872728,0.533872728,0.533872728,32668,32668,32668,0.533707515,0.533707515,0.533707515,32668,32668,32668,0.66415619,0.66415619,0.66415619,32668,32668,32668,0.673376135,0.673376135,0.673376135
3137,32677,32677,32677,0.686623602,0.686623602,0.686623602,32677,32677,32677,0.661518799,0.661518799,0.661518799,32677,32677,32677,0.617515052,0.617515052,0.617515052,32677,32677,32677,0.623572115,0.623572115,0.623572115,32677,32677,32677,0.736422772,0.736422772,0.736422772,32677,32677,32677,0.754179936,0.754179936,0.754179936
3138,32686,32686,32686,0.709761085,0.709761085,0.709761085,32686,32686,32686,0.680293608,0.680293608,0.680293608,32686,32686,32686,0.648937828,0.648937828,0.648937828,32686,32686,32686,0.633987939,0.633987939,0.633987939,32686,32686,32686,0.760311509,0.760311509,0.760311509,32686,32686,32686,0.776288465,0.776288465,0.776288465
3139,32695,32695,32695,0.678051231,0.678051231,0.678051231,32695,32695,32695,0.661135149,0.661135149,0.661135149,32695,32695,32695,0.635507246,0.635507246,0.635507246,32695,32695,32695,0.62788201,0.62788201,0.62788201,32695,32695,32695,0.732112662,0.732112662,0.732112662,32695,32695,32695,0.734893067,0.734893067,0.734893067
3140,32704,32704,32704,0.655304929,0.655304929,0.655304929,32704,32704,32704,0.636867089,0.636867089,0.636867089,32704,32704,32704,0.598465473,0.598465473,0.598465473,32704,32704,32704,0.599360073,0.599360073,0.599360073,32704,32704,32704,0.714834904,0.714834904,0.714834904,32704,32704,32704,0.725105408,0.725105408,0.725105408
3141,32713,32713,32713,0.67517439,0.67517439,0.67517439,32713,32713,32713,0.662901211,0.662901211,0.662901211,32713,32713,32713,0.636765844,0.636765844,0.636765844,32713,32713,32713,0.628574529,0.628574529,0.628574529,32713,32713,32713,0.713031665,0.713031665,0.713031665,32713,32713,32713,0.722262736,0.722262736,0.722262736
3142,32722,32722,32722,0.694023194,0.694023194,0.694023194,32722,32722,32722,0.666666667,0.666666667,0.666666667,32722,32722,32722,0.618627737,0.618627737,0.618627737,32722,32722,32722,0.615507685,0.615507685,0.615507685,32722,32722,32722,0.748094045,0.748094045,0.748094045,32722,32722,32722,0.757864784,0.757864784,0.757864784
3143,32731,32731,32731,0.687381167,0.687381167,0.687381167,32731,32731,32731,0.670467733,0.670467733,0.670467733,32731,32731,32731,0.628380145,0.628380145,0.628380145,32731,32731,32731,0.619483677,0.619483677,0.619483677,32731,32731,32731,0.748408994,0.748408994,0.748408994,32731,32731,32731,0.761184978,0.761184978,0.761184978
3144,32740,32740,32740,0.641585715,0.641585715,0.641585715,32740,32740,32740,0.615490613,0.615490613,0.615490613,32740,32740,32740,0.580125757,0.580125757,0.580125757,32740,32740,32740,0.579948878,0.579948878,0.579948878,32740,32740,32740,0.692869416,0.692869416,0.692869416,32740,32740,32740,0.704180575,0.704180575,0.704180575
3145,32749,32749,32749,0.705756619,0.705756619,0.705756619,32749,32749,32749,0.679198492,0.679198492,0.679198492,32749,32749,32749,0.631923156,0.631923156,0.631923156,32749,32749,32749,0.626262626,0.626262626,0.626262626,32749,32749,32749,0.764507329,0.764507329,0.764507329,32749,32749,32749,0.780004586,0.780004586,0.780004586
3146,32758,32758,32758,0.719789132,0.719789132,0.719789132,32758,32758,32758,0.682568616,0.682568616,0.682568616,32758,32758,32758,0.633214633,0.633214633,0.633214633,32758,32758,32758,0.627927976,0.627927976,0.627927976,32758,32758,32758,0.778970574,0.778970574,0.778970574,32758,32758,32758,0.792078267,0.792078267,0.792078267
3147,32767,32767,32767,0.675935288,0.675935288,0.675935288,32767,32767,32767,0.648868732,0.648868732,0.648868732,32767,32767,32767,0.617059131,0.617059131,0.617059131,32767,32767,32767,0.616873424,0.616873424,0.616873424,32767,32767,32767,0.734451738,0.734451738,0.734451738,32767,32767,32767,0.739940172,0.739940172,0.739940172
3148,32776,32776,32776,0.713604405,0.713604405,0.713604405,32776,32776,32776,0.677710085,0.677710085,0.677710085,32776,32776,32776,0.629556955,0.629556955,0.629556955,32776,32776,32776,0.620682649,0.620682649,0.620682649,32776,32776,32776,0.775177173,0.775177173,0.775177173,32776,32776,32776,0.791775427,0.791775427,0.791775427
3149,32785,32785,32785,0.677482942,0.677482942,0.677482942,32785,32785,32785,0.659938525,0.659938525,0.659938525,32785,32785,32785,0.626377085,0.626377085,0.626377085,32785,32785,32785,0.620543338,0.620543338,0.620543338,32785,32785,32785,0.730750745,0.730750745,0.730750745,32785,32785,32785,0.737787974,0.737787974,0.737787974
3150,32794,32794,32794,0.656308851,0.656308851,0.656308851,32794,32794,32794,0.643018788,0.643018788,0.643018788,32794,32794,32794,0.619987201,0.619987201,0.619987201,32794,32794,32794,0.611467649,0.611467649,0.611467649,32794,32794,32794,0.708813611,0.708813611,0.708813611,32794,32794,32794,0.722238851,0.722238851,0.722238851
3151,32803,32803,32803,0.713199861,0.713199861,0.713199861,32803,32803,32803,0.691967427,0.691967427,0.691967427,32803,32803,32803,0.659363162,0.659363162,0.659363162,32803,32803,32803,0.652224528,0.652224528,0.652224528,32803,32803,32803,0.765527432,0.765527432,0.765527432,32803,32803,32803,0.771458118,0.771458118,0.771458118
3152,32812,32812,32812,0.68599591,0.68599591,0.68599591,32812,32812,32812,0.664073739,0.664073739,0.664073739,32812,32812,32812,0.639304684,0.639304684,0.639304684,32812,32812,32812,0.638622335,0.638622335,0.638622335,32812,32812,32812,0.727079108,0.727079108,0.727079108,32812,32812,32812,0.740710865,0.740710865,0.740710865
3153,32821,32821,32821,0.654213942,0.654213942,0.654213942,32821,32821,32821,0.636308806,0.636308806,0.636308806,32821,32821,32821,0.613074566,0.613074566,0.613074566,32821,32821,32821,0.613569025,0.613569025,0.613569025,32821,32821,32821,0.706913615,0.706913615,0.706913615,32821,32821,32821,0.713723285,0.713723285,0.713723285
3154,32830,32830,32830,0.674936964,0.674936964,0.674936964,32830,32830,32830,0.665782629,0.665782629,0.665782629,32830,32830,32830,0.626705858,0.626705858,0.626705858,32830,32830,32830,0.629694413,0.629694413,0.629694413,32830,32830,32830,0.740916422,0.740916422,0.740916422,32830,32830,32830,0.741981536,0.741981536,0.741981536
3155,32839,32839,32839,0.671185765,0.671185765,0.671185765,32839,32839,32839,0.645812208,0.645812208,0.645812208,32839,32839,32839,0.614844637,0.614844637,0.614844637,32839,32839,32839,0.610689372,0.610689372,0.610689372,32839,32839,32839,0.706713097,0.706713097,0.706713097,32839,32839,32839,0.699690702,0.699690702,0.699690702
3156,32848,32848,32848,0.663824671,0.663824671,0.663824671,32848,32848,32848,0.643311749,0.643311749,0.643311749,32848,32848,32848,0.598829356,0.598829356,0.598829356,32848,32848,32848,0.593504424,0.593504424,0.593504424,32848,32848,32848,0.708297872,0.708297872,0.708297872,32848,32848,32848,0.721493548,0.721493548,0.721493548
3157,32857,32857,32857,0.611433676,0.611433676,0.611433676,32857,32857,32857,0.583342789,0.583342789,0.583342789,32857,32857,32857,0.541784038,0.541784038,0.541784038,32857,32857,32857,0.543610315,0.543610315,0.543610315,32857,32857,32857,0.670450894,0.670450894,0.670450894,32857,32857,32857,0.684547426,0.684547426,0.684547426
3158,32866,32866,32866,0.627234243,0.627234243,0.627234243,32866,32866,32866,0.600155698,0.600155698,0.600155698,32866,32866,32866,0.558854263,0.558854263,0.558854263,32866,32866,32866,0.556453559,0.556453559,0.556453559,32866,32866,32866,0.685034996,0.685034996,0.685034996,32866,32866,32866,0.702105437,0.702105437,0.702105437
3159,32875,32875,32875,0.644511811,0.644511811,0.644511811,32875,32875,32875,0.616927536,0.616927536,0.616927536,32875,32875,32875,0.582184517,0.582184517,0.582184517,32875,32875,32875,0.593283163,0.593283163,0.593283163,32875,32875,32875,0.698827322,0.698827322,0.698827322,32875,32875,32875,0.717550526,0.717550526,0.717550526
3160,32884,32884,32884,0.69281943,0.69281943,0.69281943,32884,32884,32884,0.667495137,0.667495137,0.667495137,32884,32884,32884,0.637420777,0.637420777,0.637420777,32884,32884,32884,0.623375211,0.623375211,0.623375211,32884,32884,32884,0.742602802,0.742602802,0.742602802,32884,32884,32884,0.757685983,0.757685983,0.757685983
3161,32893,32893,32893,0.656642414,0.656642414,0.656642414,32893,32893,32893,0.628832852,0.628832852,0.628832852,32893,32893,32893,0.590992596,0.590992596,0.590992596,32893,32893,32893,0.583242537,0.583242537,0.583242537,32893,32893,32893,0.709501237,0.709501237,0.709501237,32893,32893,32893,0.727096906,0.727096906,0.727096906
3162,32902,32902,32902,0.660574562,0.660574562,0.660574562,32902,32902,32902,0.62614625,0.62614625,0.62614625,32902,32902,32902,0.58887876,0.58887876,0.58887876,32902,32902,32902,0.574813042,0.574813042,0.574813042,32902,32902,32902,0.726370261,0.726370261,0.726370261,32902,32902,32902,0.740217222,0.740217222,0.740217222
3163,32911,32911,32911,0.668313896,0.668313896,0.668313896,32911,32911,32911,0.64260254,0.64260254,0.64260254,32911,32911,32911,0.595062888,0.595062888,0.595062888,32911,32911,32911,0.595762189,0.595762189,0.595762189,32911,32911,32911,0.723037832,0.723037832,0.723037832,32911,32911,32911,0.731650522,0.731650522,0.731650522
3164,32920,32920,32920,0.71987845,0.71987845,0.71987845,32920,32920,32920,0.68251835,0.68251835,0.68251835,32920,32920,32920,0.640936044,0.640936044,0.640936044,32920,32920,32920,0.632692408,0.632692408,0.632692408,32920,32920,32920,0.774356239,0.774356239,0.774356239,32920,32920,32920,0.783393329,0.783393329,0.783393329
3165,32929,32929,32929,0.712918178,0.712918178,0.712918178,32929,32929,32929,0.692429749,0.692429749,0.692429749,32929,32929,32929,0.661946903,0.661946903,0.661946903,32929,32929,32929,0.656243571,0.656243571,0.656243571,32929,32929,32929,0.762713519,0.762713519,0.762713519,32929,32929,32929,0.766517248,0.766517248,0.766517248
3166,32938,32938,32938,0.676417572,0.676417572,0.676417572,32938,32938,32938,0.650807759,0.650807759,0.650807759,32938,32938,32938,0.618991668,0.618991668,0.618991668,32938,32938,32938,0.612249175,0.612249175,0.612249175,32938,32938,32938,0.741938645,0.741938645,0.741938645,32938,32938,32938,0.753509155,0.753509155,0.753509155
3167,32947,32947,32947,0.730720249,0.730720249,0.730720249,32947,32947,32947,0.706655159,0.706655159,0.706655159,32947,32947,32947,0.672126353,0.672126353,0.672126353,32947,32947,32947,0.658348588,0.658348588,0.658348588,32947,32947,32947,0.783107498,0.783107498,0.783107498,32947,32947,32947,0.791580462,0.791580462,0.791580462
3168,32956,32956,32956,0.685758143,0.685758143,0.685758143,32956,32956,32956,0.649379036,0.649379036,0.649379036,32956,32956,32956,0.611579597,0.611579597,0.611579597,32956,32956,32956,0.597712938,0.597712938,0.597712938,32956,32956,32956,0.73709264,0.73709264,0.73709264,32956,32956,32956,0.749637812,0.749637812,0.749637812
3169,32965,32965,32965,0.681175299,0.681175299,0.681175299,32965,32965,32965,0.645851285,0.645851285,0.645851285,32965,32965,32965,0.61155914,0.61155914,0.61155914,32965,32965,32965,0.620840097,0.620840097,0.620840097,32965,32965,32965,0.722639973,0.722639973,0.722639973,32965,32965,32965,0.737276479,0.737276479,0.737276479
3170,32974,32974,32974,0.616418412,0.616418412,0.616418412,32974,32974,32974,0.588342234,0.588342234,0.588342234,32974,32974,32974,0.572637356,0.572637356,0.572637356,32974,32974,32974,0.581588568,0.581588568,0.581588568,32974,32974,32974,0.651910811,0.651910811,0.651910811,32974,32974,32974,0.661039102,0.661039102,0.661039102
3171,32983,32983,32983,0.720440402,0.720440402,0.720440402,32983,32983,32983,0.696475642,0.696475642,0.696475642,32983,32983,32983,0.655462185,0.655462185,0.655462185,32983,32983,32983,0.651685393,0.651685393,0.651685393,32983,32983,32983,0.783125425,0.783125425,0.783125425,32983,32983,32983,0.792193192,0.792193192,0.792193192
3172,32992,32992,32992,0.676260527,0.676260527,0.676260527,32992,32992,32992,0.659922095,0.659922095,0.659922095,32992,32992,32992,0.62405438,0.62405438,0.62405438,32992,32992,32992,0.610900833,0.610900833,0.610900833,32992,32992,32992,0.726047982,0.726047982,0.726047982,32992,32992,32992,0.735891648,0.735891648,0.735891648
3173,33001,33001,33001,0.699628212,0.699628212,0.699628212,33001,33001,33001,0.668144863,0.668144863,0.668144863,33001,33001,33001,0.614951627,0.614951627,0.614951627,33001,33001,33001,0.599213236,0.599213236,0.599213236,33001,33001,33001,0.76386787,0.76386787,0.76386787,33001,33001,33001,0.764687402,0.764687402,0.764687402
3174,33010,33010,33010,0.653152918,0.653152918,0.653152918,33010,33010,33010,0.636898141,0.636898141,0.636898141,33010,33010,33010,0.606200386,0.606200386,0.606200386,33010,33010,33010,0.60690529,0.60690529,0.60690529,33010,33010,33010,0.713269905,0.713269905,0.713269905,33010,33010,33010,0.721498857,0.721498857,0.721498857
3175,33019,33019,33019,0.683825046,0.683825046,0.683825046,33019,33019,33019,0.651633541,0.651633541,0.651633541,33019,33019,33019,0.621464714,0.621464714,0.621464714,33019,33019,33019,0.6183469,0.6183469,0.6183469,33019,33019,33019,0.72006779,0.72006779,0.72006779,33019,33019,33019,0.740861169,0.740861169,0.740861169
3176,33028,33028,33028,0.716634241,0.716634241,0.716634241,33028,33028,33028,0.685063644,0.685063644,0.685063644,33028,33028,33028,0.657114128,0.657114128,0.657114128,33028,33028,33028,0.654730196,0.654730196,0.654730196,33028,33028,33028,0.762079511,0.762079511,0.762079511,33028,33028,33028,0.77738483,0.77738483,0.77738483
3177,33037,33037,33037,0.655424275,0.655424275,0.655424275,33037,33037,33037,0.620904325,0.620904325,0.620904325,33037,33037,33037,0.587088509,0.587088509,0.587088509,33037,33037,33037,0.586538985,0.586538985,0.586538985,33037,33037,33037,0.699776147,0.699776147,0.699776147,33037,33037,33037,0.713440667,0.713440667,0.713440667
3178,33046,33046,33046,0.734440839,0.734440839,0.734440839,33046,33046,33046,0.710925608,0.710925608,0.710925608,33046,33046,33046,0.668448119,0.668448119,0.668448119,33046,33046,33046,0.658754301,0.658754301,0.658754301,33046,33046,33046,0.787867493,0.787867493,0.787867493,33046,33046,33046,0.798062731,0.798062731,0.798062731
