validation_step,sso01-adamw-lr5e-5-base.lin1-2w1boplw - _step,sso01-adamw-lr5e-5-base.lin1-2w1boplw - _step__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - _step__MAX,Eii,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-Eii__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-Eii__MAX,iEE,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iEE__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iEE__MAX,iEi,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iEi__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iEi__MAX,EEi,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-EEi__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-EEi__MAX,iiE,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iiE__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iiE__MAX,EiE,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-EiE__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-EiE__MAX,iii,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iii__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iii__MAX,EEE,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-EEE__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-EEE__MAX
264,22051.5,22048,22055,0.96969697,0.96969697,0.96969697,0.984615385,0.984615385,0.984615385,0,0,0,0.984615385,0.984615385,0.984615385,0.96969697,0.96969697,0.96969697,0,0,0,0.99977073,0.99977073,0.99977073,1,1,1
265,22059.5,22056,22063,1,1,1,0.8,0.8,0.8,0,0,0,1,1,1,0.814814815,0.814814815,0.814814815,0,0,0,0.996947904,0.996947904,0.996947904,0.981170483,0.981170483,0.981170483
266,22067.5,22064,22071,0.977777778,0.977777778,0.977777778,0.864864865,0.864864865,0.864864865,0,0,0,0.956521739,0.956521739,0.956521739,0.790123457,0.790123457,0.790123457,0,0,0,0.998364359,0.998364359,0.998364359,0.997319833,0.997319833,0.997319833
267,22075.5,22072,22079,1,1,1,0.984615385,0.984615385,0.984615385,0,0,0,1,1,1,0.984615385,0.984615385,0.984615385,0,0,0,0.999919452,0.999919452,0.999919452,1,1,1
268,22083.5,22080,22087,1,1,1,0.636363636,0.636363636,0.636363636,0,0,0,1,1,1,0.777777778,0.777777778,0.777777778,0,0,0,0.995200846,0.995200846,0.995200846,0.976042888,0.976042888,0.976042888
269,22091.5,22088,22095,0.642857143,0.642857143,0.642857143,0.978723404,0.978723404,0.978723404,0,0,0,0.642857143,0.642857143,0.642857143,0.978723404,0.978723404,0.978723404,0,0,0,0.992162351,0.992162351,0.992162351,0.944757033,0.944757033,0.944757033
270,22099.5,22096,22103,0.857142857,0.857142857,0.857142857,0.955223881,0.955223881,0.955223881,0,0,0,0.872727273,0.872727273,0.872727273,0.941176471,0.941176471,0.941176471,0,0,0,0.998483107,0.998483107,0.998483107,0.997838143,0.997838143,0.997838143
271,22107.5,22104,22111,0.901408451,0.901408451,0.901408451,0.962962963,0.962962963,0.962962963,0,0,0,0.927536232,0.927536232,0.927536232,0.939759036,0.939759036,0.939759036,0,0,0,0.997409448,0.997409448,0.997409448,0.996848267,0.996848267,0.996848267
272,22115.5,22112,22119,0.955223881,0.955223881,0.955223881,0.972222222,0.972222222,0.972222222,0,0,0,0.96969697,0.96969697,0.96969697,0.95890411,0.95890411,0.95890411,0,0,0,0.999101432,0.999101432,0.999101432,0.99799152,0.99799152,0.99799152
273,22123.5,22120,22127,0.933333333,0.933333333,0.933333333,0.984615385,0.984615385,0.984615385,0,0,0,0.629213483,0.629213483,0.629213483,0.96969697,0.96969697,0.96969697,0,0,0,0.998699456,0.998699456,0.998699456,0.996632997,0.996632997,0.996632997
274,22131.5,22128,22135,0.853333333,0.853333333,0.853333333,0.983050847,0.983050847,0.983050847,0,0,0,0.727272727,0.727272727,0.727272727,0.966666667,0.966666667,0.966666667,0,0,0,0.997260927,0.997260927,0.997260927,0.995245438,0.995245438,0.995245438
275,22139.5,22136,22143,0.888888889,0.888888889,0.888888889,0,0,0,0,0,0,0.941176471,0.941176471,0.941176471,0,0,0,0,0,0,0.999229479,0.999229479,0.999229479,0.997123682,0.997123682,0.997123682
276,22147.5,22144,22151,0.679245283,0.679245283,0.679245283,0.52,0.52,0.52,0,0,0,0.666666667,0.666666667,0.666666667,0.622222222,0.622222222,0.622222222,0,0,0,0.991818545,0.991818545,0.991818545,0.915611814,0.915611814,0.915611814
277,22155.5,22152,22159,0.821428571,0.821428571,0.821428571,0.955223881,0.955223881,0.955223881,0,0,0,0.901960784,0.901960784,0.901960784,0.941176471,0.941176471,0.941176471,0,0,0,0.999137435,0.999137435,0.999137435,0.999562746,0.999562746,0.999562746
278,22163.5,22160,22167,0.780487805,0.780487805,0.780487805,0.984615385,0.984615385,0.984615385,0,0,0,0.820512821,0.820512821,0.820512821,0.955223881,0.955223881,0.955223881,0,0,0,0.998690147,0.998690147,0.998690147,1,1,1
279,22171.5,22168,22175,0.984615385,0.984615385,0.984615385,0.835820896,0.835820896,0.835820896,0,0,0,0.984615385,0.984615385,0.984615385,0.811594203,0.811594203,0.811594203,0,0,0,0.996626646,0.996626646,0.996626646,0.985639958,0.985639958,0.985639958
280,22179.5,22176,22183,0.634920635,0.634920635,0.634920635,0.93877551,0.93877551,0.93877551,0,0,0,0.689655172,0.689655172,0.689655172,0.821428571,0.821428571,0.821428571,0,0,0,0.998085642,0.998085642,0.998085642,0.998105343,0.998105343,0.998105343
281,22187.5,22184,22191,0.752941176,0.752941176,0.752941176,0.984615385,0.984615385,0.984615385,0,0,0,0.842105263,0.842105263,0.842105263,0.831168831,0.831168831,0.831168831,0,0,0,0.998083067,0.998083067,0.998083067,0.998320134,0.998320134,0.998320134
282,22195.5,22192,22199,0.688172043,0.688172043,0.688172043,0.914285714,0.914285714,0.914285714,0,0,0,0.695652174,0.695652174,0.695652174,0.864864865,0.864864865,0.864864865,0,0,0,0.997335607,0.997335607,0.997335607,0.999519462,0.999519462,0.999519462
283,22203.5,22200,22207,1,1,1,0.866666667,0.866666667,0.866666667,0,0,0,1,1,1,0.881355932,0.881355932,0.881355932,0,0,0,0.997881356,0.997881356,0.997881356,0.987478517,0.987478517,0.987478517
284,22211.5,22208,22215,0.888888889,0.888888889,0.888888889,0.892857143,0.892857143,0.892857143,0,0,0,0.842105263,0.842105263,0.842105263,0.877192982,0.877192982,0.877192982,0,0,0,0.998340839,0.998340839,0.998340839,0.985458235,0.985458235,0.985458235
285,22219.5,22216,22223,0.711111111,0.711111111,0.711111111,0.984615385,0.984615385,0.984615385,0,0,0,0.735632184,0.735632184,0.735632184,0.955223881,0.955223881,0.955223881,0,0,0,0.998462064,0.998462064,0.998462064,0.994284433,0.994284433,0.994284433
286,22227.5,22224,22231,0.914285714,0.914285714,0.914285714,0.761904762,0.761904762,0.761904762,0,0,0,0.96969697,0.96969697,0.96969697,0.771084337,0.771084337,0.771084337,0,0,0,0.996959966,0.996959966,0.996959966,0.996882654,0.996882654,0.996882654
287,22235.5,22232,22239,0.941176471,0.941176471,0.941176471,0.32,0.32,0.32,0,0,0,0.876712329,0.876712329,0.876712329,0.307692308,0.307692308,0.307692308,0,0,0,0.99855024,0.99855024,0.99855024,0.986839733,0.986839733,0.986839733
288,22243.5,22240,22247,0.75,0.75,0.75,0.949152542,0.949152542,0.949152542,0,0,0,0.75,0.75,0.75,0.920634921,0.920634921,0.920634921,0,0,0,0.998732225,0.998732225,0.998732225,0.990051251,0.990051251,0.990051251
289,22251.5,22248,22255,1,1,1,0.914285714,0.914285714,0.914285714,0,0,0,1,1,1,0.876712329,0.876712329,0.876712329,0,0,0,0.999035172,0.999035172,0.999035172,0.999271668,0.999271668,0.999271668
290,22259.5,22256,22263,0.927536232,0.927536232,0.927536232,1,1,1,0,0,0,0.927536232,0.927536232,0.927536232,0.927536232,0.927536232,0.927536232,0,0,0,0.999233924,0.999233924,0.999233924,0.999803498,0.999803498,0.999803498
291,22267.5,22264,22271,0.984615385,0.984615385,0.984615385,0.851851852,0.851851852,0.851851852,0,0,0,0.96969697,0.96969697,0.96969697,0.867924528,0.867924528,0.867924528,0,0,0,0.998979637,0.998979637,0.998979637,0.996450664,0.996450664,0.996450664
292,22275.5,22272,22279,0.885245902,0.885245902,0.885245902,0.333333333,0.333333333,0.333333333,0,0,0,0.830769231,0.830769231,0.830769231,0.37037037,0.37037037,0.37037037,0,0,0,0.997532923,0.997532923,0.997532923,0.980967917,0.980967917,0.980967917
293,22283.5,22280,22287,0.208333333,0.208333333,0.208333333,0.984615385,0.984615385,0.984615385,0,0,0,0.204081633,0.204081633,0.204081633,0.984615385,0.984615385,0.984615385,0,0,0,0.996277162,0.996277162,0.996277162,0.995565774,0.995565774,0.995565774
294,22291.5,22288,22295,0.659793814,0.659793814,0.659793814,1,1,1,0,0,0,0.927536232,0.927536232,0.927536232,1,1,1,0,0,0,0.998350324,0.998350324,0.998350324,0.999885123,0.999885123,0.999885123
295,22299.5,22296,22303,0.752941176,0.752941176,0.752941176,0.888888889,0.888888889,0.888888889,0,0,0,0.790123457,0.790123457,0.790123457,0.876712329,0.876712329,0.876712329,0,0,0,0.997035155,0.997035155,0.997035155,0.998279619,0.998279619,0.998279619
296,22307.5,22304,22311,0.979591837,0.979591837,0.979591837,0.571428571,0.571428571,0.571428571,0,0,0,0.979591837,0.979591837,0.979591837,0.571428571,0.571428571,0.571428571,0,0,0,0.998658918,0.998658918,0.998658918,0.984434655,0.984434655,0.984434655
297,22315.5,22312,22319,0.818181818,0.818181818,0.818181818,0.96969697,0.96969697,0.96969697,0,0,0,0.782608696,0.782608696,0.782608696,0.864864865,0.864864865,0.864864865,0,0,0,0.999310069,0.999310069,0.999310069,0.997965826,0.997965826,0.997965826
298,22323.5,22320,22327,1,1,1,1,1,1,0,0,0,1,1,1,0.984615385,0.984615385,0.984615385,0,0,0,0.999960541,0.999960541,0.999960541,1,1,1
299,22331.5,22328,22335,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
300,22339.5,22336,22343,1,1,1,0.709677419,0.709677419,0.709677419,0,0,0,1,1,1,0.709677419,0.709677419,0.709677419,0,0,0,0.999646443,0.999646443,0.999646443,0.994255625,0.994255625,0.994255625
301,22347.5,22344,22351,0.933333333,0.933333333,0.933333333,0.927536232,0.927536232,0.927536232,0,0,0,0.903225806,0.903225806,0.903225806,0.955223881,0.955223881,0.955223881,0,0,0,0.999455595,0.999455595,0.999455595,0.997546012,0.997546012,0.997546012
302,22355.5,22352,22359,1,1,1,0.984615385,0.984615385,0.984615385,0,0,0,1,1,1,1,1,1,0,0,0,0.99996113,0.99996113,0.99996113,1,1,1
303,22363.5,22360,22367,1,1,1,0.833333333,0.833333333,0.833333333,0,0,0,1,1,1,0.892857143,0.892857143,0.892857143,0,0,0,0.999614227,0.999614227,0.999614227,0.999073216,0.999073216,0.999073216
304,22371.5,22368,22375,0.638297872,0.638297872,0.638297872,0.894736842,0.894736842,0.894736842,0,0,0,0.638297872,0.638297872,0.638297872,0.693877551,0.693877551,0.693877551,0,0,0,0.998205265,0.998205265,0.998205265,0.993673555,0.993673555,0.993673555
305,22379.5,22376,22383,0.602409639,0.602409639,0.602409639,0.955223881,0.955223881,0.955223881,0,0,0,0.595238095,0.595238095,0.595238095,0.876712329,0.876712329,0.876712329,0,0,0,0.995337219,0.995337219,0.995337219,0.99554914,0.99554914,0.99554914
306,22387.5,22384,22391,0.955223881,0.955223881,0.955223881,1,1,1,0,0,0,0.96969697,0.96969697,0.96969697,0.927536232,0.927536232,0.927536232,0,0,0,0.999579797,0.999579797,0.999579797,1,1,1
307,22395.5,22392,22399,0.955223881,0.955223881,0.955223881,0.88,0.88,0.88,0,0,0,0.96969697,0.96969697,0.96969697,0.862745098,0.862745098,0.862745098,0,0,0,0.998725696,0.998725696,0.998725696,0.997400668,0.997400668,0.997400668
308,22403.5,22400,22407,0.6875,0.6875,0.6875,0.869565217,0.869565217,0.869565217,0,0,0,0.666666667,0.666666667,0.666666667,0.909090909,0.909090909,0.909090909,0,0,0,0.975427277,0.975427277,0.975427277,0.79771566,0.79771566,0.79771566
309,22411.5,22408,22415,0,0,0,0.96969697,0.96969697,0.96969697,0,0,0,0,0,0,0.914285714,0.914285714,0.914285714,0,0,0,0.999622784,0.999622784,0.999622784,0.99911426,0.99911426,0.99911426
310,22419.5,22416,22423,0,0,0,0.96969697,0.96969697,0.96969697,0,0,0,0,0,0,0.914285714,0.914285714,0.914285714,0,0,0,0.996374841,0.996374841,0.996374841,0.998509548,0.998509548,0.998509548
311,22427.5,22424,22431,0.820512821,0.820512821,0.820512821,0.484848485,0.484848485,0.484848485,0,0,0,0.820512821,0.820512821,0.820512821,0.517241379,0.517241379,0.517241379,0,0,0,0.952073584,0.952073584,0.952073584,0.985938036,0.985938036,0.985938036
312,22435.5,22432,22439,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.997571342,0.997571342,0.997571342,0.994996873,0.994996873,0.994996873
313,22443.5,22440,22447,0.96969697,0.96969697,0.96969697,0,0,0,0,0,0,0.96969697,0.96969697,0.96969697,0,0,0,0,0,0,0.995296884,0.995296884,0.995296884,0.993261792,0.993261792,0.993261792
314,22451.5,22448,22455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.993400859,0.993400859,0.993400859,0.998361663,0.998361663,0.998361663
315,22459.5,22456,22463,0.827586207,0.827586207,0.827586207,0,0,0,0,0,0,0.558139535,0.558139535,0.558139535,0,0,0,0,0,0,0.811007689,0.811007689,0.811007689,0.982497005,0.982497005,0.982497005
316,22467.5,22464,22471,0.771084337,0.771084337,0.771084337,0,0,0,0,0,0,0.666666667,0.666666667,0.666666667,0,0,0,0,0,0,0.99673913,0.99673913,0.99673913,0.996387097,0.996387097,0.996387097
317,22475.5,22472,22479,0.790123457,0.790123457,0.790123457,0.75,0.75,0.75,0,0,0,0.666666667,0.666666667,0.666666667,0.8,0.8,0.8,0,0,0,0.996519848,0.996519848,0.996519848,0.991924534,0.991924534,0.991924534
318,22483.5,22480,22487,0.874074074,0.874074074,0.874074074,0.914285714,0.914285714,0.914285714,0,0,0,0.836879433,0.836879433,0.836879433,0.955223881,0.955223881,0.955223881,0,0,0,0.98736915,0.98736915,0.98736915,0.963662312,0.963662312,0.963662312
319,22491.5,22488,22495,0.972222222,0.972222222,0.972222222,0.914285714,0.914285714,0.914285714,0,0,0,0.985507246,0.985507246,0.985507246,0.941176471,0.941176471,0.941176471,0,0,0,0.997245179,0.997245179,0.997245179,0.9855919,0.9855919,0.9855919
320,22499.5,22496,22503,0.984615385,0.984615385,0.984615385,0.680851064,0.680851064,0.680851064,0,0,0,1,1,1,0.673684211,0.673684211,0.673684211,0,0,0,0.983808621,0.983808621,0.983808621,0.922040816,0.922040816,0.922040816
321,22507.5,22504,22511,0.846153846,0.846153846,0.846153846,0.551724138,0.551724138,0.551724138,0,0,0,0.977777778,0.977777778,0.977777778,0.653846154,0.653846154,0.653846154,0,0,0,0.985516095,0.985516095,0.985516095,0.862466125,0.862466125,0.862466125
322,22515.5,22512,22519,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0.998971722,0.998971722,0.998971722
323,22523.5,22520,22527,0.956521739,0.956521739,0.956521739,0.984615385,0.984615385,0.984615385,0,0,0,0.897959184,0.897959184,0.897959184,0.96969697,0.96969697,0.96969697,0,0,0,0.999244757,0.999244757,0.999244757,0.999407934,0.999407934,0.999407934
324,22531.5,22528,22535,0.984615385,0.984615385,0.984615385,0.984615385,0.984615385,0.984615385,0,0,0,0.888888889,0.888888889,0.888888889,0.876712329,0.876712329,0.876712329,0,0,0,0.999209005,0.999209005,0.999209005,0.999497803,0.999497803,0.999497803
325,22539.5,22536,22543,0.96969697,0.96969697,0.96969697,0,0,0,0,0,0,0.888888889,0.888888889,0.888888889,0,0,0,0,0,0,0.997331233,0.997331233,0.997331233,0.988623317,0.988623317,0.988623317
326,22547.5,22544,22551,1,1,1,0.930232558,0.930232558,0.930232558,0,0,0,0.96,0.96,0.96,1,1,1,0,0,0,0.998364759,0.998364759,0.998364759,0.979944947,0.979944947,0.979944947
327,22555.5,22552,22559,0.769230769,0.769230769,0.769230769,0.853333333,0.853333333,0.853333333,0,0,0,0.746268657,0.746268657,0.746268657,0.842105263,0.842105263,0.842105263,0,0,0,0.997285141,0.997285141,0.997285141,0.997655639,0.997655639,0.997655639
328,22563.5,22560,22567,1,1,1,0.984615385,0.984615385,0.984615385,0,0,0,1,1,1,0.941176471,0.941176471,0.941176471,0,0,0,0.999715088,0.999715088,0.999715088,0.999743918,0.999743918,0.999743918
329,22571.5,22568,22575,0.914285714,0.914285714,0.914285714,0.914285714,0.914285714,0.914285714,0,0,0,0.941176471,0.941176471,0.941176471,0.914285714,0.914285714,0.914285714,0,0,0,0.999266211,0.999266211,0.999266211,0.997706071,0.997706071,0.997706071
330,22579.5,22576,22583,0.274509804,0.274509804,0.274509804,0.595238095,0.595238095,0.595238095,0,0,0,0.269230769,0.269230769,0.269230769,0.602409639,0.602409639,0.602409639,0,0,0,0.904222297,0.904222297,0.904222297,0.56615166,0.56615166,0.56615166
331,22587.5,22584,22591,0,0,0,0.876712329,0.876712329,0.876712329,0,0,0,0,0,0,0.853333333,0.853333333,0.853333333,0,0,0,0.96212956,0.96212956,0.96212956,0.962138671,0.962138671,0.962138671
332,22595.5,22592,22599,0.96,0.96,0.96,0.864864865,0.864864865,0.864864865,0,0,0,0.943396226,0.943396226,0.943396226,0.927536232,0.927536232,0.927536232,0,0,0,0.941231343,0.941231343,0.941231343,0.978923503,0.978923503,0.978923503
333,22603.5,22600,22607,0.771084337,0.771084337,0.771084337,0,0,0,0,0,0,0.790123457,0.790123457,0.790123457,0,0,0,0,0,0,0.996484404,0.996484404,0.996484404,0.998218403,0.998218403,0.998218403
334,22611.5,22608,22615,0.659793814,0.659793814,0.659793814,0,0,0,0,0,0,0.8,0.8,0.8,0,0,0,0,0,0,0.997456395,0.997456395,0.997456395,0.994808691,0.994808691,0.994808691
335,22619.5,22616,22623,0.625,0.625,0.625,0.790697674,0.790697674,0.790697674,0,0,0,0.588235294,0.588235294,0.588235294,0.80952381,0.80952381,0.80952381,0,0,0,0.997446065,0.997446065,0.997446065,0.977761305,0.977761305,0.977761305
336,22627.5,22624,22631,1,1,1,0.984615385,0.984615385,0.984615385,0,0,0,1,1,1,0.941176471,0.941176471,0.941176471,0,0,0,0.99952479,0.99952479,0.99952479,0.999021663,0.999021663,0.999021663
337,22635.5,22632,22639,0.941176471,0.941176471,0.941176471,0.901408451,0.901408451,0.901408451,0,0,0,0.941176471,0.941176471,0.941176471,0.876712329,0.876712329,0.876712329,0,0,0,0.996219738,0.996219738,0.996219738,0.990659194,0.990659194,0.990659194
338,22643.5,22640,22647,0.96969697,0.96969697,0.96969697,0.651162791,0.651162791,0.651162791,0,0,0,1,1,1,0.583333333,0.583333333,0.583333333,0,0,0,0.991935484,0.991935484,0.991935484,0.982996812,0.982996812,0.982996812
339,22651.5,22648,22655,1,1,1,0.875,0.875,0.875,0,0,0,0.944444444,0.944444444,0.944444444,0.625,0.625,0.625,0,0,0,0.99924673,0.99924673,0.99924673,0.998781973,0.998781973,0.998781973
340,22659.5,22656,22663,0.967741935,0.967741935,0.967741935,1,1,1,0,0,0,0.9375,0.9375,0.9375,0.96969697,0.96969697,0.96969697,0,0,0,0.999919374,0.999919374,0.999919374,0.999607381,0.999607381,0.999607381
341,22667.5,22664,22671,0.984615385,0.984615385,0.984615385,1,1,1,0,0,0,0.984615385,0.984615385,0.984615385,1,1,1,0,0,0,0.999827318,0.999827318,0.999827318,0.999783033,0.999783033,0.999783033
342,22675.5,22672,22679,0.941176471,0.941176471,0.941176471,0.941176471,0.941176471,0.941176471,0,0,0,0.955223881,0.955223881,0.955223881,0.941176471,0.941176471,0.941176471,0,0,0,0.999308915,0.999308915,0.999308915,0.999891505,0.999891505,0.999891505
343,22683.5,22680,22687,0.47761194,0.47761194,0.47761194,0.697674419,0.697674419,0.697674419,0,0,0,0.492307692,0.492307692,0.492307692,0.8,0.8,0.8,0,0,0,0.996354546,0.996354546,0.996354546,0.989508559,0.989508559,0.989508559
344,22691.5,22688,22695,0,0,0,0.955223881,0.955223881,0.955223881,0,0,0,0,0,0,0.96969697,0.96969697,0.96969697,0,0,0,0.999003077,0.999003077,0.999003077,0.996698264,0.996698264,0.996698264
345,22699.5,22696,22703,0.526315789,0.526315789,0.526315789,0.914285714,0.914285714,0.914285714,0,0,0,0.576923077,0.576923077,0.576923077,0.914285714,0.914285714,0.914285714,0,0,0,0.999107541,0.999107541,0.999107541,0.997413566,0.997413566,0.997413566
346,22707.5,22704,22711,0.790123457,0.790123457,0.790123457,0.877192982,0.877192982,0.877192982,0,0,0,0.927536232,0.927536232,0.927536232,0.862068966,0.862068966,0.862068966,0,0,0,0.996317211,0.996317211,0.996317211,0.997519349,0.997519349,0.997519349
347,22715.5,22712,22719,0.673684211,0.673684211,0.673684211,0,0,0,0,0,0,0.831168831,0.831168831,0.831168831,0,0,0,0,0,0,0.998118987,0.998118987,0.998118987,0.990219517,0.990219517,0.990219517
348,22723.5,22720,22727,0.901408451,0.901408451,0.901408451,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.997669343,0.997669343,0.997669343,0.988684845,0.988684845,0.988684845
349,22731.5,22728,22735,0.8,0.8,0.8,0.952380952,0.952380952,0.952380952,0,0,0,0.666666667,0.666666667,0.666666667,0.9375,0.9375,0.9375,0,0,0,0.998274871,0.998274871,0.998274871,0.982647159,0.982647159,0.982647159
350,22739.5,22736,22743,0.947368421,0.947368421,0.947368421,0.914285714,0.914285714,0.914285714,0,0,0,0.947368421,0.947368421,0.947368421,0.771084337,0.771084337,0.771084337,0,0,0,0.99919814,0.99919814,0.99919814,0.997174001,0.997174001,0.997174001
351,22747.5,22744,22751,1,1,1,0.927536232,0.927536232,0.927536232,0,0,0,0.96969697,0.96969697,0.96969697,0.831168831,0.831168831,0.831168831,0,0,0,0.998669301,0.998669301,0.998669301,0.996695307,0.996695307,0.996695307
352,22755.5,22752,22759,0.955223881,0.955223881,0.955223881,0.519480519,0.519480519,0.519480519,0,0,0,0.96969697,0.96969697,0.96969697,0.444444444,0.444444444,0.444444444,0,0,0,0.996635368,0.996635368,0.996635368,0.992330383,0.992330383,0.992330383
353,22763.5,22760,22767,0.565217391,0.565217391,0.565217391,0.690909091,0.690909091,0.690909091,0,0,0,0.604651163,0.604651163,0.604651163,0.716981132,0.716981132,0.716981132,0,0,0,0.997884997,0.997884997,0.997884997,0.996793404,0.996793404,0.996793404
354,22771.5,22768,22775,0.526315789,0.526315789,0.526315789,0.927536232,0.927536232,0.927536232,0,0,0,0.545454545,0.545454545,0.545454545,0.927536232,0.927536232,0.927536232,0,0,0,0.996773518,0.996773518,0.996773518,0.997771261,0.997771261,0.997771261
355,22779.5,22776,22783,0.842105263,0.842105263,0.842105263,0.853333333,0.853333333,0.853333333,0,0,0,0.853333333,0.853333333,0.853333333,0.888888889,0.888888889,0.888888889,0,0,0,0.997136209,0.997136209,0.997136209,0.997798679,0.997798679,0.997798679
356,22787.5,22784,22791,1,1,1,0.739130435,0.739130435,0.739130435,0,0,0,1,1,1,0.80952381,0.80952381,0.80952381,0,0,0,0.998167483,0.998167483,0.998167483,0.993414444,0.993414444,0.993414444
357,22795.5,22792,22799,0.6,0.6,0.6,0.8125,0.8125,0.8125,0,0,0,0.705882353,0.705882353,0.705882353,0.823529412,0.823529412,0.823529412,0,0,0,0.998798799,0.998798799,0.998798799,0.98596069,0.98596069,0.98596069
358,22803.5,22800,22807,0.981132075,0.981132075,0.981132075,0.927536232,0.927536232,0.927536232,0,0,0,0.881355932,0.881355932,0.881355932,0.914285714,0.914285714,0.914285714,0,0,0,0.999493197,0.999493197,0.999493197,0.999109528,0.999109528,0.999109528
359,22811.5,22808,22815,1,1,1,0.831168831,0.831168831,0.831168831,0,0,0,1,1,1,0.876712329,0.876712329,0.876712329,0,0,0,0.999052133,0.999052133,0.999052133,0.99971599,0.99971599,0.99971599
360,22819.5,22816,22823,0.9375,0.9375,0.9375,0.648648649,0.648648649,0.648648649,0,0,0,0.90625,0.90625,0.90625,0.685714286,0.685714286,0.685714286,0,0,0,0.995858918,0.995858918,0.995858918,0.972448058,0.972448058,0.972448058
361,22827.5,22824,22831,0,0,0,0.780487805,0.780487805,0.780487805,0,0,0,0,0,0,0.711111111,0.711111111,0.711111111,0,0,0,0.996417643,0.996417643,0.996417643,0.995211917,0.995211917,0.995211917
362,22835.5,22832,22839,1,1,1,0.96969697,0.96969697,0.96969697,0,0,0,1,1,1,0.941176471,0.941176471,0.941176471,0,0,0,0.999710145,0.999710145,0.999710145,1,1,1
363,22843.5,22840,22847,1,1,1,0.870967742,0.870967742,0.870967742,0,0,0,1,1,1,0.885245902,0.885245902,0.885245902,0,0,0,0.999373162,0.999373162,0.999373162,0.999484979,0.999484979,0.999484979
364,22851.5,22848,22855,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.99879952,0.99879952,0.99879952,0.990819331,0.990819331,0.990819331
365,22859.5,22856,22863,0.666666667,0.666666667,0.666666667,0.789473684,0.789473684,0.789473684,0,0,0,0.75,0.75,0.75,0.740740741,0.740740741,0.740740741,0,0,0,0.998661689,0.998661689,0.998661689,0.998526523,0.998526523,0.998526523
366,22867.5,22864,22871,1,1,1,0.914285714,0.914285714,0.914285714,0,0,0,1,1,1,0.914285714,0.914285714,0.914285714,0,0,0,0.999382995,0.999382995,0.999382995,0.999627838,0.999627838,0.999627838
367,22875.5,22872,22879,0.96969697,0.96969697,0.96969697,0.955223881,0.955223881,0.955223881,0,0,0,0.96969697,0.96969697,0.96969697,0.984615385,0.984615385,0.984615385,0,0,0,0.999629797,0.999629797,0.999629797,0.999876007,0.999876007,0.999876007
368,22883.5,22880,22887,0.981132075,0.981132075,0.981132075,0.411764706,0.411764706,0.411764706,0,0,0,0.981132075,0.981132075,0.981132075,0.451612903,0.451612903,0.451612903,0,0,0,0.994154912,0.994154912,0.994154912,0.954335557,0.954335557,0.954335557
369,22891.5,22888,22895,0.320987654,0.320987654,0.320987654,0.744186047,0.744186047,0.744186047,0,0,0,0.356164384,0.356164384,0.356164384,0.727272727,0.727272727,0.727272727,0,0,0,0.992189625,0.992189625,0.992189625,0.991333435,0.991333435,0.991333435
370,22899.5,22896,22903,0.914285714,0.914285714,0.914285714,0.888888889,0.888888889,0.888888889,0,0,0,0.941176471,0.941176471,0.941176471,0.941176471,0.941176471,0.941176471,0,0,0,0.999077568,0.999077568,0.999077568,1,1,1
371,22907.5,22904,22911,1,1,1,0.666666667,0.666666667,0.666666667,0,0,0,1,1,1,0.655737705,0.655737705,0.655737705,0,0,0,0.999064546,0.999064546,0.999064546,0.996924654,0.996924654,0.996924654
372,22915.5,22912,22919,0.96,0.96,0.96,0.59375,0.59375,0.59375,0,0,0,0.958333333,0.958333333,0.958333333,0.62295082,0.62295082,0.62295082,0,0,0,0.994554981,0.994554981,0.994554981,0.961442786,0.961442786,0.961442786
