validation_step,sso01-adamw-lr5e-5-base.lin1-2w1boplw - _step,sso01-adamw-lr5e-5-base.lin1-2w1boplw - _step__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - _step__MAX,Eii,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-Eii__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-Eii__MAX,iEE,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iEE__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iEE__MAX,iEi,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iEi__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iEi__MAX,EEi,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-EEi__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-EEi__MAX,iiE,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iiE__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iiE__MAX,EiE,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-EiE__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-EiE__MAX,iii,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iii__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iii__MAX,EEE,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-EEE__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-EEE__MAX
19,20091.5,20088,20095,0,0,0,0.984615385,0.984615385,0.984615385,0,0,0,0,0,0,0.96969697,0.96969697,0.96969697,0,0,0,0.999592585,0.999592585,0.999592585,0.999691399,0.999691399,0.999691399
20,20099.5,20096,20103,0.789473684,0.789473684,0.789473684,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0.990612648,0.990612648,0.990612648,0.994793713,0.994793713,0.994793713
21,20107.5,20104,20111,0.765957447,0.765957447,0.765957447,0.777777778,0.777777778,0.777777778,0,0,0,0.857142857,0.857142857,0.857142857,0.848484848,0.848484848,0.848484848,0,0,0,0.998729352,0.998729352,0.998729352,0.995539697,0.995539697,0.995539697
22,20115.5,20112,20119,0,0,0,0.984615385,0.984615385,0.984615385,0,0,0,0,0,0,0.941176471,0.941176471,0.941176471,0,0,0,0.999745715,0.999745715,0.999745715,0.999532637,0.999532637,0.999532637
23,20123.5,20120,20127,0,0,0,0.96969697,0.96969697,0.96969697,0,0,0,0,0,0,0.96969697,0.96969697,0.96969697,0,0,0,0.996044522,0.996044522,0.996044522,0.997733265,0.997733265,0.997733265
24,20131.5,20128,20135,0.7,0.7,0.7,0.961538462,0.961538462,0.961538462,0,0,0,0.7,0.7,0.7,1,1,1,0,0,0,0.990173847,0.990173847,0.990173847,0.998794051,0.998794051,0.998794051
25,20139.5,20136,20143,0.771084337,0.771084337,0.771084337,0,0,0,0,0,0,0.744186047,0.744186047,0.744186047,0,0,0,0,0,0,0.99504866,0.99504866,0.99504866,0.998157133,0.998157133,0.998157133
26,20147.5,20144,20151,0.673684211,0.673684211,0.673684211,0,0,0,0,0,0,0.96969697,0.96969697,0.96969697,0,0,0,0,0,0,0.995324741,0.995324741,0.995324741,0.994518403,0.994518403,0.994518403
27,20155.5,20152,20159,0.553191489,0.553191489,0.553191489,0.454545455,0.454545455,0.454545455,0,0,0,0.65,0.65,0.65,0.588235294,0.588235294,0.588235294,0,0,0,0.995188566,0.995188566,0.995188566,0.979572218,0.979572218,0.979572218
28,20163.5,20160,20167,0,0,0,0.901408451,0.901408451,0.901408451,0,0,0,0,0,0,0.888888889,0.888888889,0.888888889,0,0,0,0.996774701,0.996774701,0.996774701,0.996709114,0.996709114,0.996709114
