validation_step,sso01-adamw-lr5e-5-base-291mo307 - _step,sso01-adamw-lr5e-5-base-291mo307 - _step__MIN,sso01-adamw-lr5e-5-base-291mo307 - _step__MAX,Eii,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-Eii__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-Eii__MAX,iEE,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iEE__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iEE__MAX,iEi,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iEi__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iEi__MAX,EEi,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EEi__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EEi__MAX,iiE,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iiE__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iiE__MAX,EiE,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EiE__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EiE__MAX,iii,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iii__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iii__MAX,EEE,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EEE__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EEE__MAX
749,45877.5,45874,45881,0.923076923,0.923076923,0.923076923,0.509803922,0.509803922,0.509803922,0,0,0,0.9375,0.9375,0.9375,0.52173913,0.52173913,0.52173913,0,0,0,0.997132667,0.997132667,0.997132667,0.98427673,0.98427673,0.98427673
750,45885.5,45882,45889,0.727272727,0.727272727,0.727272727,1,1,1,0,0,0,0.5,0.5,0.5,1,1,1,0,0,0,0.998322915,0.998322915,0.998322915,0.993118899,0.993118899,0.993118899
751,45893.5,45890,45897,0.810126582,0.810126582,0.810126582,0.927536232,0.927536232,0.927536232,0,0,0,0.853333333,0.853333333,0.853333333,0.941176471,0.941176471,0.941176471,0,0,0,0.998134243,0.998134243,0.998134243,0.999421631,0.999421631,0.999421631
752,45901.5,45898,45905,0.955223881,0.955223881,0.955223881,0.745762712,0.745762712,0.745762712,0,0,0,0.984615385,0.984615385,0.984615385,0.846153846,0.846153846,0.846153846,0,0,0,0.997916205,0.997916205,0.997916205,0.99451331,0.99451331,0.99451331
753,45909.5,45906,45913,0.783783784,0.783783784,0.783783784,0.461538462,0.461538462,0.461538462,0,0,0,0.935483871,0.935483871,0.935483871,0.75,0.75,0.75,0,0,0,0.998336106,0.998336106,0.998336106,0.98747528,0.98747528,0.98747528
754,45917.5,45914,45921,0.952380952,0.952380952,0.952380952,0.842105263,0.842105263,0.842105263,0,0,0,0.846153846,0.846153846,0.846153846,0.831168831,0.831168831,0.831168831,0,0,0,0.994094269,0.994094269,0.994094269,0.975530179,0.975530179,0.975530179
755,45925.5,45922,45929,0.984615385,0.984615385,0.984615385,0.984615385,0.984615385,0.984615385,0,0,0,1,1,1,0.888888889,0.888888889,0.888888889,0,0,0,0.999436075,0.999436075,0.999436075,0.999470058,0.999470058,0.999470058
756,45933.5,45930,45937,0.888888889,0.888888889,0.888888889,0.984615385,0.984615385,0.984615385,0,0,0,0.941176471,0.941176471,0.941176471,0.96969697,0.96969697,0.96969697,0,0,0,0.996972266,0.996972266,0.996972266,0.992103185,0.992103185,0.992103185
757,45941.5,45938,45945,0.96969697,0.96969697,0.96969697,0.272727273,0.272727273,0.272727273,0,0,0,0.96969697,0.96969697,0.96969697,0.454545455,0.454545455,0.454545455,0,0,0,0.997606962,0.997606962,0.997606962,0.983134513,0.983134513,0.983134513
758,45949.5,45946,45953,0.923076923,0.923076923,0.923076923,0.953846154,0.953846154,0.953846154,0,0,0,0.923076923,0.923076923,0.923076923,0.939393939,0.939393939,0.939393939,0,0,0,0.99961775,0.99961775,0.99961775,0.997263273,0.997263273,0.997263273
759,45957.5,45954,45961,0.955223881,0.955223881,0.955223881,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0.999890467,0.999890467,0.999890467,1,1,1
760,45965.5,45962,45969,0.901408451,0.901408451,0.901408451,0.984615385,0.984615385,0.984615385,0,0,0,0.901408451,0.901408451,0.901408451,1,1,1,0,0,0,0.999452095,0.999452095,0.999452095,1,1,1
761,45973.5,45970,45977,0.980392157,0.980392157,0.980392157,0.578947368,0.578947368,0.578947368,0,0,0,0.961538462,0.961538462,0.961538462,0.685714286,0.685714286,0.685714286,0,0,0,0.998738464,0.998738464,0.998738464,0.979504697,0.979504697,0.979504697
762,45981.5,45978,45985,0.680851064,0.680851064,0.680851064,0.955223881,0.955223881,0.955223881,0,0,0,0.666666667,0.666666667,0.666666667,0.96969697,0.96969697,0.96969697,0,0,0,0.999217026,0.999217026,0.999217026,0.996754752,0.996754752,0.996754752
763,45989.5,45986,45993,0.955223881,0.955223881,0.955223881,0.927536232,0.927536232,0.927536232,0,0,0,0.96969697,0.96969697,0.96969697,0.941176471,0.941176471,0.941176471,0,0,0,0.999066851,0.999066851,0.999066851,0.99802832,0.99802832,0.99802832
764,45997.5,45994,46001,0.941176471,0.941176471,0.941176471,0.888888889,0.888888889,0.888888889,0,0,0,0.984615385,0.984615385,0.984615385,1,1,1,0,0,0,0.99974052,0.99974052,0.99974052,0.997597487,0.997597487,0.997597487
765,46005.5,46002,46009,1,1,1,0.685714286,0.685714286,0.685714286,0,0,0,0.974358974,0.974358974,0.974358974,0.8,0.8,0.8,0,0,0,0.999344907,0.999344907,0.999344907,0.98982706,0.98982706,0.98982706
766,46013.5,46010,46017,0.875,0.875,0.875,0.984615385,0.984615385,0.984615385,0,0,0,0.724137931,0.724137931,0.724137931,1,1,1,0,0,0,0.998836668,0.998836668,0.998836668,0.996826356,0.996826356,0.996826356
767,46021.5,46018,46025,0.876712329,0.876712329,0.876712329,0.955223881,0.955223881,0.955223881,0,0,0,0.888888889,0.888888889,0.888888889,0.927536232,0.927536232,0.927536232,0,0,0,0.99845541,0.99845541,0.99845541,0.998324094,0.998324094,0.998324094
768,46029.5,46026,46033,0.984615385,0.984615385,0.984615385,0.842105263,0.842105263,0.842105263,0,0,0,0.984615385,0.984615385,0.984615385,0.923076923,0.923076923,0.923076923,0,0,0,0.999415045,0.999415045,0.999415045,0.998224327,0.998224327,0.998224327
769,46037.5,46034,46041,0.769230769,0.769230769,0.769230769,0.981132075,0.981132075,0.981132075,0,0,0,0.666666667,0.666666667,0.666666667,1,1,1,0,0,0,0.99975353,0.99975353,0.99975353,0.999025341,0.999025341,0.999025341
770,46045.5,46042,46049,1,1,1,0.955223881,0.955223881,0.955223881,0,0,0,0.945454545,0.945454545,0.945454545,0.955223881,0.955223881,0.955223881,0,0,0,0.999673675,0.999673675,0.999673675,0.999817318,0.999817318,0.999817318
771,46053.5,46050,46057,1,1,1,0.914285714,0.914285714,0.914285714,0,0,0,0.984615385,0.984615385,0.984615385,0.941176471,0.941176471,0.941176471,0,0,0,0.999485139,0.999485139,0.999485139,1,1,1
772,46061.5,46058,46065,1,1,1,0.413793103,0.413793103,0.413793103,0,0,0,1,1,1,0.510638298,0.510638298,0.510638298,0,0,0,0.999515184,0.999515184,0.999515184,0.993414283,0.993414283,0.993414283
773,46069.5,46066,46073,0.881355932,0.881355932,0.881355932,0.52173913,0.52173913,0.52173913,0,0,0,0.896551724,0.896551724,0.896551724,0.666666667,0.666666667,0.666666667,0,0,0,0.99772812,0.99772812,0.99772812,0.982948847,0.982948847,0.982948847
774,46077.5,46074,46081,0.689655172,0.689655172,0.689655172,0.984615385,0.984615385,0.984615385,0,0,0,0.625,0.625,0.625,1,1,1,0,0,0,0.998501188,0.998501188,0.998501188,0.994700687,0.994700687,0.994700687
775,46085.5,46082,46089,0.888888889,0.888888889,0.888888889,0.96969697,0.96969697,0.96969697,0,0,0,0.914285714,0.914285714,0.914285714,1,1,1,0,0,0,0.998483518,0.998483518,0.998483518,0.996990424,0.996990424,0.996990424
776,46093.5,46090,46097,0.941176471,0.941176471,0.941176471,0.853333333,0.853333333,0.853333333,0,0,0,1,1,1,0.888888889,0.888888889,0.888888889,0,0,0,0.998922629,0.998922629,0.998922629,0.999452055,0.999452055,0.999452055
777,46101.5,46098,46105,0.918032787,0.918032787,0.918032787,0.380952381,0.380952381,0.380952381,0,0,0,0.949152542,0.949152542,0.949152542,0.615384615,0.615384615,0.615384615,0,0,0,0.990503658,0.990503658,0.990503658,0.926865672,0.926865672,0.926865672
778,46109.5,46106,46113,0.615384615,0.615384615,0.615384615,0.864864865,0.864864865,0.864864865,0,0,0,0.75,0.75,0.75,0.955223881,0.955223881,0.955223881,0,0,0,0.997773837,0.997773837,0.997773837,0.996118143,0.996118143,0.996118143
779,46117.5,46114,46121,0.96969697,0.96969697,0.96969697,1,1,1,0,0,0,0.927536232,0.927536232,0.927536232,1,1,1,0,0,0,0.999671808,0.999671808,0.999671808,0.999875016,0.999875016,0.999875016
780,46125.5,46122,46129,0.96969697,0.96969697,0.96969697,0.892857143,0.892857143,0.892857143,0,0,0,0.96969697,0.96969697,0.96969697,0.941176471,0.941176471,0.941176471,0,0,0,0.999677861,0.999677861,0.999677861,0.99854632,0.99854632,0.99854632
781,46133.5,46130,46137,1,1,1,0.581818182,0.581818182,0.581818182,0,0,0,0.976744186,0.976744186,0.976744186,0.711111111,0.711111111,0.711111111,0,0,0,0.997243733,0.997243733,0.997243733,0.969176352,0.969176352,0.969176352
782,46141.5,46138,46145,0.96969697,0.96969697,0.96969697,0.986666667,0.986666667,0.986666667,0,0,0,0.96969697,0.96969697,0.96969697,0.986666667,0.986666667,0.986666667,0,0,0,0.997778675,0.997778675,0.997778675,0.977324263,0.977324263,0.977324263
783,46149.5,46146,46153,0.888888889,0.888888889,0.888888889,1,1,1,0,0,0,0.842105263,0.842105263,0.842105263,0.992248062,0.992248062,0.992248062,0,0,0,0.999693534,0.999693534,0.999693534,0.997232276,0.997232276,0.997232276
784,46157.5,46154,46161,0.901408451,0.901408451,0.901408451,0.930232558,0.930232558,0.930232558,0,0,0,0.901408451,0.901408451,0.901408451,0.96,0.96,0.96,0,0,0,0.996429461,0.996429461,0.996429461,0.998366418,0.998366418,0.998366418
785,46165.5,46162,46169,1,1,1,0.8,0.8,0.8,0,0,0,0.933333333,0.933333333,0.933333333,0.936170213,0.936170213,0.936170213,0,0,0,0.994066318,0.994066318,0.994066318,0.998241084,0.998241084,0.998241084
786,46173.5,46170,46177,0.984615385,0.984615385,0.984615385,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.999490662,0.999490662,0.999490662,0.997339782,0.997339782,0.997339782
787,46181.5,46178,46185,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.999954941,0.999954941,0.999954941,0.99727944,0.99727944,0.99727944
788,46189.5,46186,46193,0.857142857,0.857142857,0.857142857,0.952380952,0.952380952,0.952380952,0,0,0,0.954545455,0.954545455,0.954545455,1,1,1,0,0,0,0.999767866,0.999767866,0.999767866,0.998722861,0.998722861,0.998722861
789,46197.5,46194,46201,0,0,0,0.955223881,0.955223881,0.955223881,0,0,0,0,0,0,0.984615385,0.984615385,0.984615385,0,0,0,0.999593496,0.999593496,0.999593496,0.999366848,0.999366848,0.999366848
790,46205.5,46202,46209,0.935483871,0.935483871,0.935483871,0.96969697,0.96969697,0.96969697,0,0,0,0.9375,0.9375,0.9375,0.984615385,0.984615385,0.984615385,0,0,0,0.999286772,0.999286772,0.999286772,0.999717434,0.999717434,0.999717434
791,46213.5,46210,46217,0.96969697,0.96969697,0.96969697,0.823529412,0.823529412,0.823529412,0,0,0,0.96969697,0.96969697,0.96969697,0.835820896,0.835820896,0.835820896,0,0,0,0.999285518,0.999285518,0.999285518,0.999012555,0.999012555,0.999012555
792,46221.5,46218,46225,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.997738022,0.997738022,0.997738022,0.990787373,0.990787373,0.990787373
793,46229.5,46226,46233,0.875,0.875,0.875,0.847457627,0.847457627,0.847457627,0,0,0,1,1,1,0.735294118,0.735294118,0.735294118,0,0,0,0.99729628,0.99729628,0.99729628,0.968137255,0.968137255,0.968137255
794,46237.5,46234,46241,0.869565217,0.869565217,0.869565217,1,1,1,0,0,0,0.727272727,0.727272727,0.727272727,0.820512821,0.820512821,0.820512821,0,0,0,0.947746061,0.947746061,0.947746061,0.924187177,0.924187177,0.924187177
795,46245.5,46242,46249,0.901408451,0.901408451,0.901408451,1,1,1,0,0,0,0.666666667,0.666666667,0.666666667,0.771084337,0.771084337,0.771084337,0,0,0,0.908342035,0.908342035,0.908342035,0.896606575,0.896606575,0.896606575
796,46253.5,46250,46257,0.64,0.64,0.64,0.842105263,0.842105263,0.842105263,0,0,0,0.711111111,0.711111111,0.711111111,0.727272727,0.727272727,0.727272727,0,0,0,0.986311934,0.986311934,0.986311934,0.980876426,0.980876426,0.980876426
797,46261.5,46258,46265,0.552380952,0.552380952,0.552380952,1,1,1,0,0,0,0.666666667,0.666666667,0.666666667,1,1,1,0,0,0,0.991292654,0.991292654,0.991292654,0.926049796,0.926049796,0.926049796
798,46269.5,46266,46273,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0.998781973,0.998781973,0.998781973
799,46277.5,46274,46281,0.98245614,0.98245614,0.98245614,0.984615385,0.984615385,0.984615385,0,0,0,0.98245614,0.98245614,0.98245614,1,1,1,0,0,0,0.9999062,0.9999062,0.9999062,0.999909707,0.999909707,0.999909707
800,46285.5,46282,46289,0.96969697,0.96969697,0.96969697,0.914285714,0.914285714,0.914285714,0,0,0,0.864864865,0.864864865,0.864864865,0.941176471,0.941176471,0.941176471,0,0,0,0.998963535,0.998963535,0.998963535,1,1,1
801,46293.5,46290,46297,0.984615385,0.984615385,0.984615385,0.117647059,0.117647059,0.117647059,0,0,0,1,1,1,0.153846154,0.153846154,0.153846154,0,0,0,0.998371336,0.998371336,0.998371336,0.990244635,0.990244635,0.990244635
802,46301.5,46298,46305,0.526315789,0.526315789,0.526315789,1,1,1,0,0,0,0.37037037,0.37037037,0.37037037,0.947368421,0.947368421,0.947368421,0,0,0,0.999188627,0.999188627,0.999188627,0.990812379,0.990812379,0.990812379
803,46309.5,46306,46313,1,1,1,1,1,1,0,0,0,0.92,0.92,0.92,0.984615385,0.984615385,0.984615385,0,0,0,0.999906147,0.999906147,0.999906147,0.999729851,0.999729851,0.999729851
804,46317.5,46314,46321,0.96969697,0.96969697,0.96969697,0.955223881,0.955223881,0.955223881,0,0,0,0.984615385,0.984615385,0.984615385,0.984615385,0.984615385,0.984615385,0,0,0,0.999665408,0.999665408,0.999665408,1,1,1
805,46325.5,46322,46329,0.941176471,0.941176471,0.941176471,0.448979592,0.448979592,0.448979592,0,0,0,0.941176471,0.941176471,0.941176471,0.55,0.55,0.55,0,0,0,0.999018084,0.999018084,0.999018084,0.991847485,0.991847485,0.991847485
806,46333.5,46330,46337,1,1,1,0.711864407,0.711864407,0.711864407,0,0,0,0.75862069,0.75862069,0.75862069,0.736842105,0.736842105,0.736842105,0,0,0,0.997763925,0.997763925,0.997763925,0.989516402,0.989516402,0.989516402
807,46341.5,46338,46345,1,1,1,0.761904762,0.761904762,0.761904762,0,0,0,0.933333333,0.933333333,0.933333333,0.810126582,0.810126582,0.810126582,0,0,0,0.997403272,0.997403272,0.997403272,0.997514857,0.997514857,0.997514857
808,46349.5,46346,46353,0.984615385,0.984615385,0.984615385,0.888888889,0.888888889,0.888888889,0,0,0,0.984615385,0.984615385,0.984615385,0.780487805,0.780487805,0.780487805,0,0,0,0.998786618,0.998786618,0.998786618,1,1,1
809,46357.5,46354,46361,1,1,1,0.333333333,0.333333333,0.333333333,0,0,0,1,1,1,0.470588235,0.470588235,0.470588235,0,0,0,0.998914981,0.998914981,0.998914981,0.988828502,0.988828502,0.988828502
810,46365.5,46362,46369,0.923076923,0.923076923,0.923076923,1,1,1,0,0,0,0.8,0.8,0.8,1,1,1,0,0,0,0.999931605,0.999931605,0.999931605,0.99816289,0.99816289,0.99816289
811,46373.5,46370,46377,0.965517241,0.965517241,0.965517241,0.901408451,0.901408451,0.901408451,0,0,0,0.918032787,0.918032787,0.918032787,0.901408451,0.901408451,0.901408451,0,0,0,0.995953508,0.995953508,0.995953508,0.99158378,0.99158378,0.99158378
812,46381.5,46378,46385,0.956521739,0.956521739,0.956521739,0.991150442,0.991150442,0.991150442,0,0,0,0.916666667,0.916666667,0.916666667,0.982758621,0.982758621,0.982758621,0,0,0,0.999799459,0.999799459,0.999799459,0.99935086,0.99935086,0.99935086
813,46389.5,46386,46393,0.992248062,0.992248062,0.992248062,0.918367347,0.918367347,0.918367347,0,0,0,0.992248062,0.992248062,0.992248062,0.947368421,0.947368421,0.947368421,0,0,0,0.998942623,0.998942623,0.998942623,0.998171589,0.998171589,0.998171589
814,46397.5,46394,46401,1,1,1,0.984615385,0.984615385,0.984615385,0,0,0,1,1,1,1,1,1,0,0,0,0.997644574,0.997644574,0.997644574,0.992611795,0.992611795,0.992611795
815,46405.5,46402,46409,1,1,1,0.341463415,0.341463415,0.341463415,0,0,0,1,1,1,0.736842105,0.736842105,0.736842105,0,0,0,0.998011353,0.998011353,0.998011353,0.982273201,0.982273201,0.982273201
816,46413.5,46410,46417,1,1,1,0.869565217,0.869565217,0.869565217,0,0,0,0.916666667,0.916666667,0.916666667,0.885714286,0.885714286,0.885714286,0,0,0,0.999298934,0.999298934,0.999298934,0.995164164,0.995164164,0.995164164
817,46421.5,46418,46425,0.984615385,0.984615385,0.984615385,0.853333333,0.853333333,0.853333333,0,0,0,1,1,1,0.853333333,0.853333333,0.853333333,0,0,0,0.997632142,0.997632142,0.997632142,0.993686255,0.993686255,0.993686255
818,46429.5,46426,46433,0.941176471,0.941176471,0.941176471,1,1,1,0,0,0,0.96969697,0.96969697,0.96969697,0.984615385,0.984615385,0.984615385,0,0,0,0.995093378,0.995093378,0.995093378,0.979953993,0.979953993,0.979953993
819,46437.5,46434,46441,1,1,1,0.862745098,0.862745098,0.862745098,0,0,0,1,1,1,0.936170213,0.936170213,0.936170213,0,0,0,0.997825019,0.997825019,0.997825019,0.984771574,0.984771574,0.984771574
820,46445.5,46442,46449,0.977777778,0.977777778,0.977777778,0.941176471,0.941176471,0.941176471,0,0,0,0.92,0.92,0.92,0.96969697,0.96969697,0.96969697,0,0,0,0.99883223,0.99883223,0.99883223,0.995982741,0.995982741,0.995982741
821,46453.5,46450,46457,0.984615385,0.984615385,0.984615385,0.984615385,0.984615385,0.984615385,0,0,0,0.984615385,0.984615385,0.984615385,0.984615385,0.984615385,0.984615385,0,0,0,0.999838892,0.999838892,0.999838892,1,1,1
822,46461.5,46458,46465,1,1,1,0.538461538,0.538461538,0.538461538,0,0,0,1,1,1,0.608695652,0.608695652,0.608695652,0,0,0,0.992797574,0.992797574,0.992797574,0.967848856,0.967848856,0.967848856
823,46469.5,46466,46473,0.9,0.9,0.9,0.836363636,0.836363636,0.836363636,0,0,0,0.818181818,0.818181818,0.818181818,0.884615385,0.884615385,0.884615385,0,0,0,0.99376838,0.99376838,0.99376838,0.955946015,0.955946015,0.955946015
824,46477.5,46474,46481,0.941176471,0.941176471,0.941176471,0.955223881,0.955223881,0.955223881,0,0,0,0.943396226,0.943396226,0.943396226,0.842105263,0.842105263,0.842105263,0,0,0,0.998987668,0.998987668,0.998987668,0.999343401,0.999343401,0.999343401
825,46485.5,46482,46489,1,1,1,0.951219512,0.951219512,0.951219512,0,0,0,0.984615385,0.984615385,0.984615385,0.906976744,0.906976744,0.906976744,0,0,0,0.999056426,0.999056426,0.999056426,0.999372028,0.999372028,0.999372028
826,46493.5,46490,46497,1,1,1,0.897435897,0.897435897,0.897435897,0,0,0,0.984615385,0.984615385,0.984615385,0.972222222,0.972222222,0.972222222,0,0,0,0.999365885,0.999365885,0.999365885,0.998437151,0.998437151,0.998437151
827,46501.5,46498,46505,1,1,1,1,1,1,0,0,0,0.949152542,0.949152542,0.949152542,0.984615385,0.984615385,0.984615385,0,0,0,0.999881685,0.999881685,0.999881685,0.999870901,0.999870901,0.999870901
828,46509.5,46506,46513,0.914285714,0.914285714,0.914285714,0.966666667,0.966666667,0.966666667,0,0,0,0.984615385,0.984615385,0.984615385,0.966666667,0.966666667,0.966666667,0,0,0,0.999048186,0.999048186,0.999048186,0.999678973,0.999678973,0.999678973
829,46517.5,46514,46521,0.941176471,0.941176471,0.941176471,0,0,0,0,0,0,0.941176471,0.941176471,0.941176471,0,0,0,0,0,0,0.997148934,0.997148934,0.997148934,0.987706902,0.987706902,0.987706902
830,46525.5,46522,46529,0.837209302,0.837209302,0.837209302,0.722222222,0.722222222,0.722222222,0,0,0,0.947368421,0.947368421,0.947368421,0.777777778,0.777777778,0.777777778,0,0,0,0.996734857,0.996734857,0.996734857,0.968054994,0.968054994,0.968054994
831,46533.5,46530,46537,0.978723404,0.978723404,0.978723404,0.955223881,0.955223881,0.955223881,0,0,0,0.92,0.92,0.92,0.941176471,0.941176471,0.941176471,0,0,0,0.99938917,0.99938917,0.99938917,0.997596679,0.997596679,0.997596679
832,46541.5,46538,46545,0.771084337,0.771084337,0.771084337,0.927536232,0.927536232,0.927536232,0,0,0,0.780487805,0.780487805,0.780487805,0.984615385,0.984615385,0.984615385,0,0,0,0.998143362,0.998143362,0.998143362,0.998357964,0.998357964,0.998357964
833,46549.5,46546,46553,0.984615385,0.984615385,0.984615385,0.949152542,0.949152542,0.949152542,0,0,0,0.984615385,0.984615385,0.984615385,0.949152542,0.949152542,0.949152542,0,0,0,0.99931037,0.99931037,0.99931037,0.997314604,0.997314604,0.997314604
834,46557.5,46554,46561,0.615384615,0.615384615,0.615384615,0.93877551,0.93877551,0.93877551,0,0,0,0.727272727,0.727272727,0.727272727,0.93877551,0.93877551,0.93877551,0,0,0,0.997715207,0.997715207,0.997715207,0.989473684,0.989473684,0.989473684
835,46565.5,46562,46569,0.914285714,0.914285714,0.914285714,0.984615385,0.984615385,0.984615385,0,0,0,0.927536232,0.927536232,0.927536232,0.984615385,0.984615385,0.984615385,0,0,0,0.997371226,0.997371226,0.997371226,0.985548448,0.985548448,0.985548448
836,46573.5,46570,46577,0.752941176,0.752941176,0.752941176,0.914285714,0.914285714,0.914285714,0,0,0,0.780487805,0.780487805,0.780487805,0.955223881,0.955223881,0.955223881,0,0,0,0.998296422,0.998296422,0.998296422,1,1,1
837,46581.5,46578,46585,1,1,1,0.8,0.8,0.8,0,0,0,1,1,1,0.866666667,0.866666667,0.866666667,0,0,0,0.998765214,0.998765214,0.998765214,0.995546759,0.995546759,0.995546759
838,46589.5,46586,46593,1,1,1,0.925925926,0.925925926,0.925925926,0,0,0,0.941176471,0.941176471,0.941176471,0.925925926,0.925925926,0.925925926,0,0,0,0.999254793,0.999254793,0.999254793,0.994961371,0.994961371,0.994961371
839,46597.5,46594,46601,0.941176471,0.941176471,0.941176471,1,1,1,0,0,0,0.955223881,0.955223881,0.955223881,1,1,1,0,0,0,0.999701072,0.999701072,0.999701072,1,1,1
840,46605.5,46602,46609,0.8,0.8,0.8,0.810126582,0.810126582,0.810126582,0,0,0,0.864864865,0.864864865,0.864864865,0.842105263,0.842105263,0.842105263,0,0,0,0.996830835,0.996830835,0.996830835,0.99766173,0.99766173,0.99766173
841,46613.5,46610,46617,0.984615385,0.984615385,0.984615385,0.27027027,0.27027027,0.27027027,0,0,0,1,1,1,0.421052632,0.421052632,0.421052632,0,0,0,0.996847298,0.996847298,0.996847298,0.979978158,0.979978158,0.979978158
842,46621.5,46618,46625,0.857142857,0.857142857,0.857142857,1,1,1,0,0,0,0.6,0.6,0.6,1,1,1,0,0,0,0.999828773,0.999828773,0.999828773,0.996977025,0.996977025,0.996977025
843,46629.5,46626,46633,1,1,1,1,1,1,0,0,0,0.933333333,0.933333333,0.933333333,1,1,1,0,0,0,0.999517692,0.999517692,0.999517692,0.998752339,0.998752339,0.998752339
844,46637.5,46634,46641,0.927536232,0.927536232,0.927536232,1,1,1,0,0,0,0.941176471,0.941176471,0.941176471,1,1,1,0,0,0,0.999594576,0.999594576,0.999594576,1,1,1
845,46645.5,46642,46649,0.984615385,0.984615385,0.984615385,0.71875,0.71875,0.71875,0,0,0,0.984615385,0.984615385,0.984615385,0.807017544,0.807017544,0.807017544,0,0,0,0.998625704,0.998625704,0.998625704,0.9953214,0.9953214,0.9953214
846,46653.5,46650,46657,0.9,0.9,0.9,0.294117647,0.294117647,0.294117647,0,0,0,0.9,0.9,0.9,0.555555556,0.555555556,0.555555556,0,0,0,0.999026832,0.999026832,0.999026832,0.990800866,0.990800866,0.990800866
847,46661.5,46658,46665,0.208333333,0.208333333,0.208333333,0.984615385,0.984615385,0.984615385,0,0,0,0.181818182,0.181818182,0.181818182,0.984615385,0.984615385,0.984615385,0,0,0,0.997115312,0.997115312,0.997115312,0.997195182,0.997195182,0.997195182
848,46669.5,46666,46673,0.62745098,0.62745098,0.62745098,0.96969697,0.96969697,0.96969697,0,0,0,0.64,0.64,0.64,1,1,1,0,0,0,0.996780207,0.996780207,0.996780207,1,1,1
849,46677.5,46674,46681,0.735632184,0.735632184,0.735632184,0.914285714,0.914285714,0.914285714,0,0,0,0.735632184,0.735632184,0.735632184,0.941176471,0.941176471,0.941176471,0,0,0,0.996907697,0.996907697,0.996907697,0.998050682,0.998050682,0.998050682
850,46685.5,46682,46689,1,1,1,0.5,0.5,0.5,0,0,0,1,1,1,0.761904762,0.761904762,0.761904762,0,0,0,0.999759607,0.999759607,0.999759607,0.992289442,0.992289442,0.992289442
851,46693.5,46690,46697,0.857142857,0.857142857,0.857142857,1,1,1,0,0,0,0.782608696,0.782608696,0.782608696,0.96969697,0.96969697,0.96969697,0,0,0,0.999600682,0.999600682,0.999600682,0.998576947,0.998576947,0.998576947
852,46701.5,46698,46705,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0.999960541,0.999960541,0.999960541,0.999857975,0.999857975,0.999857975
853,46709.5,46706,46713,1,1,1,0.96969697,0.96969697,0.96969697,0,0,0,1,1,1,1,1,1,0,0,0,0.999842147,0.999842147,0.999842147,0.99971599,0.99971599,0.99971599
854,46717.5,46714,46721,0.983050847,0.983050847,0.983050847,0.647058824,0.647058824,0.647058824,0,0,0,0.983050847,0.983050847,0.983050847,0.733333333,0.733333333,0.733333333,0,0,0,0.999540262,0.999540262,0.999540262,0.994020569,0.994020569,0.994020569
855,46725.5,46722,46729,0.903225806,0.903225806,0.903225806,0.984615385,0.984615385,0.984615385,0,0,0,0.933333333,0.933333333,0.933333333,0.984615385,0.984615385,0.984615385,0,0,0,0.998437784,0.998437784,0.998437784,0.991470349,0.991470349,0.991470349
856,46733.5,46730,46737,1,1,1,0.984615385,0.984615385,0.984615385,0,0,0,1,1,1,1,1,1,0,0,0,0.99996113,0.99996113,0.99996113,1,1,1
857,46741.5,46738,46745,0.96969697,0.96969697,0.96969697,0.746268657,0.746268657,0.746268657,0,0,0,0.984615385,0.984615385,0.984615385,0.833333333,0.833333333,0.833333333,0,0,0,0.997680891,0.997680891,0.997680891,0.994470046,0.994470046,0.994470046
858,46749.5,46746,46753,0.9375,0.9375,0.9375,0.68,0.68,0.68,0,0,0,0.9375,0.9375,0.9375,0.829268293,0.829268293,0.829268293,0,0,0,0.99743786,0.99743786,0.99743786,0.974506579,0.974506579,0.974506579
859,46757.5,46754,46761,0.892857143,0.892857143,0.892857143,1,1,1,0,0,0,0.746268657,0.746268657,0.746268657,1,1,1,0,0,0,0.999085239,0.999085239,0.999085239,0.998680897,0.998680897,0.998680897
