training_step,sso01-adamw-lr5e-5-base-291mo307 - _step,sso01-adamw-lr5e-5-base-291mo307 - _step__MIN,sso01-adamw-lr5e-5-base-291mo307 - _step__MAX,eps1e-8,sso01-adamw-lr5e-5-base-291mo307 - training/f1_score-EEE__MIN,sso01-adamw-lr5e-5-base-291mo307 - training/f1_score-EEE__MAX,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - _step,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - _step__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - _step__MAX,eps1e-6,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - training/f1_score-EEE__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - training/f1_score-EEE__MAX
48,440,440,440,0.03522308,0.03522308,0.03522308,440,440,440,0.495062687,0.495062687,0.495062687
49,449,449,449,0.02426649,0.02426649,0.02426649,449,449,449,0.406802554,0.406802554,0.406802554
50,458,458,458,0.027382833,0.027382833,0.027382833,458,458,458,0.363033678,0.363033678,0.363033678
51,467,467,467,0.040322581,0.040322581,0.040322581,467,467,467,0.407273182,0.407273182,0.407273182
52,476,476,476,0.061040557,0.061040557,0.061040557,476,476,476,0.418302242,0.418302242,0.418302242
53,485,485,485,0.04079898,0.04079898,0.04079898,485,485,485,0.425211433,0.425211433,0.425211433
54,494,494,494,0.068396798,0.068396798,0.068396798,494,494,494,0.381410256,0.381410256,0.381410256
55,503,503,503,0.045365244,0.045365244,0.045365244,503,503,503,0.479977876,0.479977876,0.479977876
56,512,512,512,0.051128512,0.051128512,0.051128512,512,512,512,0.393625401,0.393625401,0.393625401
57,521,521,521,0.117708063,0.117708063,0.117708063,521,521,521,0.348077159,0.348077159,0.348077159
58,530,530,530,0.08477842,0.08477842,0.08477842,530,530,530,0.501184712,0.501184712,0.501184712
59,539,539,539,0.0783859,0.0783859,0.0783859,539,539,539,0.392088827,0.392088827,0.392088827
60,548,548,548,0.148521505,0.148521505,0.148521505,548,548,548,0.474240838,0.474240838,0.474240838
61,557,557,557,0.149417409,0.149417409,0.149417409,557,557,557,0.471634917,0.471634917,0.471634917
62,566,566,566,0.221949078,0.221949078,0.221949078,566,566,566,0.433257226,0.433257226,0.433257226
63,575,575,575,0.332176372,0.332176372,0.332176372,575,575,575,0.522678626,0.522678626,0.522678626
64,584,584,584,0.409255785,0.409255785,0.409255785,584,584,584,0.47665175,0.47665175,0.47665175
65,593,593,593,0.355249042,0.355249042,0.355249042,593,593,593,0.358761647,0.358761647,0.358761647
66,602,602,602,0.416462633,0.416462633,0.416462633,602,602,602,0.469865516,0.469865516,0.469865516
67,611,611,611,0.463009234,0.463009234,0.463009234,611,611,611,0.438671787,0.438671787,0.438671787
68,620,620,620,0.452351987,0.452351987,0.452351987,620,620,620,0.428596197,0.428596197,0.428596197
69,629,629,629,0.475370551,0.475370551,0.475370551,629,629,629,0.461648983,0.461648983,0.461648983
70,638,638,638,0.504983898,0.504983898,0.504983898,638,638,638,0.503058504,0.503058504,0.503058504
71,647,647,647,0.557806525,0.557806525,0.557806525,647,647,647,0.509976849,0.509976849,0.509976849
72,656,656,656,0.519223147,0.519223147,0.519223147,656,656,656,0.49571649,0.49571649,0.49571649
73,665,665,665,0.520043675,0.520043675,0.520043675,665,665,665,0.493352868,0.493352868,0.493352868
74,674,674,674,0.536728256,0.536728256,0.536728256,674,674,674,0.509660517,0.509660517,0.509660517
75,683,683,683,0.482237228,0.482237228,0.482237228,683,683,683,0.485309367,0.485309367,0.485309367
76,692,692,692,0.489354088,0.489354088,0.489354088,692,692,692,0.47020202,0.47020202,0.47020202
77,701,701,701,0.516113201,0.516113201,0.516113201,701,701,701,0.49830303,0.49830303,0.49830303
78,710,710,710,0.524407723,0.524407723,0.524407723,710,710,710,0.507201773,0.507201773,0.507201773
79,719,719,719,0.519936735,0.519936735,0.519936735,719,719,719,0.511804545,0.511804545,0.511804545
80,728,728,728,0.477906186,0.477906186,0.477906186,728,728,728,0.43619022,0.43619022,0.43619022
81,737,737,737,0.54624364,0.54624364,0.54624364,737,737,737,0.521701008,0.521701008,0.521701008
82,746,746,746,0.582455589,0.582455589,0.582455589,746,746,746,0.539339752,0.539339752,0.539339752
83,755,755,755,0.515882065,0.515882065,0.515882065,755,755,755,0.466534034,0.466534034,0.466534034
84,764,764,764,0.539440928,0.539440928,0.539440928,764,764,764,0.512997788,0.512997788,0.512997788
85,773,773,773,0.544916407,0.544916407,0.544916407,773,773,773,0.497292614,0.497292614,0.497292614
86,782,782,782,0.610022144,0.610022144,0.610022144,782,782,782,0.552999178,0.552999178,0.552999178
87,791,791,791,0.575094977,0.575094977,0.575094977,791,791,791,0.541233965,0.541233965,0.541233965
88,800,800,800,0.573859881,0.573859881,0.573859881,800,800,800,0.535415431,0.535415431,0.535415431
89,809,809,809,0.538312109,0.538312109,0.538312109,809,809,809,0.481472352,0.481472352,0.481472352
90,818,818,818,0.562162162,0.562162162,0.562162162,818,818,818,0.54735428,0.54735428,0.54735428
91,827,827,827,0.654643131,0.654643131,0.654643131,827,827,827,0.584893375,0.584893375,0.584893375
92,836,836,836,0.506081081,0.506081081,0.506081081,836,836,836,0.474284769,0.474284769,0.474284769
93,845,845,845,0.563796876,0.563796876,0.563796876,845,845,845,0.548909326,0.548909326,0.548909326
94,854,854,854,0.560448359,0.560448359,0.560448359,854,854,854,0.53373768,0.53373768,0.53373768
95,863,863,863,0.579476527,0.579476527,0.579476527,863,863,863,0.542494978,0.542494978,0.542494978
