validation_step,sso01-adamw-lr5e-5-base.lin1-2w1boplw - _step,sso01-adamw-lr5e-5-base.lin1-2w1boplw - _step__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - _step__MAX,lin1-Eii,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-Eii__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-Eii__MAX,lin1-iEE,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iEE__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iEE__MAX,lin1-iEi,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iEi__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iEi__MAX,lin1-EEi,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-EEi__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-EEi__MAX,lin1-iiE,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iiE__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iiE__MAX,lin1-EiE,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-EiE__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-EiE__MAX,lin1-iii,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iii__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iii__MAX,lin1-EEE,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-EEE__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-EEE__MAX,lin1-loss,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/loss__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/loss__MAX,sso01-adamw-lr5e-5-base-291mo307 - _step,sso01-adamw-lr5e-5-base-291mo307 - _step__MIN,sso01-adamw-lr5e-5-base-291mo307 - _step__MAX,base-Eii,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-Eii__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-Eii__MAX,base-iEE,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iEE__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iEE__MAX,base-iEi,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iEi__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iEi__MAX,base-EEi,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EEi__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EEi__MAX,base-iiE,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iiE__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iiE__MAX,base-EiE,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EiE__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EiE__MAX,base-iii,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iii__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iii__MAX,base-EEE,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EEE__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EEE__MAX,base-loss,sso01-adamw-lr5e-5-base-291mo307 - validation/loss__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/loss__MAX
10,20019.64286,20016,20023,0.961538462,0.961538462,0.961538462,0.96969697,0.96969697,0.96969697,0,0,0,0.961538462,0.961538462,0.961538462,0.941176471,0.941176471,0.941176471,0,0,0,0.999364907,0.999364907,0.999364907,0.999420738,0.999420738,0.999420738,40.99573517,40.99573517,40.99573517,20018.81818,20016,20023,0.480769231,0.480769231,0.480769231,0.52892562,0.52892562,0.52892562,0,0,0,0.571428571,0.571428571,0.571428571,0.633663366,0.633663366,0.633663366,0,0,0,0.989367553,0.989367553,0.989367553,0.995482072,0.995482072,0.995482072,40.86681366,40.86681366,40.86681366
11,20027.46154,20024,20031,0.96969697,0.96969697,0.96969697,1,1,1,0,0,0,0.984615385,0.984615385,0.984615385,0.984615385,0.984615385,0.984615385,0,0,0,0.999816143,0.999816143,0.999816143,1,1,1,40.77059937,40.77059937,40.77059937,20027.73333,20024,20031,0.64,0.64,0.64,0.810126582,0.810126582,0.810126582,0,0,0,0.653061224,0.653061224,0.653061224,0.688172043,0.688172043,0.688172043,0,0,0,0.994175834,0.994175834,0.994175834,0.998871756,0.998871756,0.998871756,40.81725311,40.81725311,40.81725311
12,20035.45455,20032,20039,0.984615385,0.984615385,0.984615385,0.4375,0.4375,0.4375,0,0,0,1,1,1,0.5,0.5,0.5,0,0,0,0.998968909,0.998968909,0.998968909,0.992121631,0.992121631,0.992121631,40.850914,40.850914,40.850914,20035.46154,20032,20039,0.62745098,0.62745098,0.62745098,0.09929078,0.09929078,0.09929078,0,0,0,0.646464646,0.646464646,0.646464646,0.102189781,0.102189781,0.102189781,0,0,0,0.984182637,0.984182637,0.984182637,0.968847352,0.968847352,0.968847352,41.27381134,41.27381134,41.27381134
13,20043.21429,20040,20047,0.358974359,0.358974359,0.358974359,0.909090909,0.909090909,0.909090909,0,0,0,0.451612903,0.451612903,0.451612903,0.925925926,0.925925926,0.925925926,0,0,0,0.998523402,0.998523402,0.998523402,0.994011976,0.994011976,0.994011976,40.82559967,40.82559967,40.82559967,20043.46154,20040,20047,0.24137931,0.24137931,0.24137931,0.609756098,0.609756098,0.609756098,0,0,0,0.285714286,0.285714286,0.285714286,0.537634409,0.537634409,0.537634409,0,0,0,0.992450098,0.992450098,0.992450098,0.971053417,0.971053417,0.971053417,40.98968506,40.98968506,40.98968506
14,20051.78571,20048,20055,0.463414634,0.463414634,0.463414634,0.96969697,0.96969697,0.96969697,0,0,0,0.513513514,0.513513514,0.513513514,0.96969697,0.96969697,0.96969697,0,0,0,0.99694678,0.99694678,0.99694678,0.989785772,0.989785772,0.989785772,40.92784119,40.92784119,40.92784119,20051.91667,20048,20055,0.348623853,0.348623853,0.348623853,0.703296703,0.703296703,0.703296703,0,0,0,0.404255319,0.404255319,0.404255319,0.771084337,0.771084337,0.771084337,0,0,0,0.993134795,0.993134795,0.993134795,0.99084545,0.99084545,0.99084545,40.91109085,40.91109085,40.91109085
15,20059.90909,20056,20063,0.60952381,0.60952381,0.60952381,0.888888889,0.888888889,0.888888889,0,0,0,0.666666667,0.666666667,0.666666667,0.876712329,0.876712329,0.876712329,0,0,0,0.99796413,0.99796413,0.99796413,0.993655693,0.993655693,0.993655693,40.84305954,40.84305954,40.84305954,20059.41667,20056,20063,0.481203008,0.481203008,0.481203008,0.831168831,0.831168831,0.831168831,0,0,0,0.507936508,0.507936508,0.507936508,0.853333333,0.853333333,0.853333333,0,0,0,0.995432015,0.995432015,0.995432015,0.99442108,0.99442108,0.99442108,40.86662674,40.86662674,40.86662674
16,20066.91667,20064,20071,0.646464646,0.646464646,0.646464646,0.790697674,0.790697674,0.790697674,0,0,0,0.666666667,0.666666667,0.666666667,0.80952381,0.80952381,0.80952381,0,0,0,0.999409171,0.999409171,0.999409171,0.992565415,0.992565415,0.992565415,40.86715317,40.86715317,40.86715317,20068,20064,20071,0.615384615,0.615384615,0.615384615,0.5,0.5,0.5,0,0,0,0.653061224,0.653061224,0.653061224,0.478873239,0.478873239,0.478873239,0,0,0,0.997909851,0.997909851,0.997909851,0.986104363,0.986104363,0.986104363,40.97058105,40.97058105,40.97058105
17,20075.61538,20072,20079,0.8,0.8,0.8,0.923076923,0.923076923,0.923076923,0,0,0,0.869565217,0.869565217,0.869565217,0.923076923,0.923076923,0.923076923,0,0,0,0.997957933,0.997957933,0.997957933,0.976848875,0.976848875,0.976848875,40.83310699,40.83310699,40.83310699,20075.61538,20072,20079,0.526315789,0.526315789,0.526315789,0.311688312,0.311688312,0.311688312,0,0,0,0.727272727,0.727272727,0.727272727,0.363636364,0.363636364,0.363636364,0,0,0,0.995021143,0.995021143,0.995021143,0.971071663,0.971071663,0.971071663,40.96072388,40.96072388,40.96072388
18,20083.25,20080,20087,0,0,0,0.864864865,0.864864865,0.864864865,0,0,0,0,0,0,0.853333333,0.853333333,0.853333333,0,0,0,0.998422022,0.998422022,0.998422022,0.998240712,0.998240712,0.998240712,40.80272675,40.80272675,40.80272675,20083.46154,20080,20087,0,0,0,0.771084337,0.771084337,0.771084337,0,0,0,0,0,0,0.790123457,0.790123457,0.790123457,0,0,0,0.997235266,0.997235266,0.997235266,0.998860222,0.998860222,0.998860222,40.82536697,40.82536697,40.82536697
19,20091.53333,20088,20095,0,0,0,0.984615385,0.984615385,0.984615385,0,0,0,0,0,0,0.96969697,0.96969697,0.96969697,0,0,0,0.999592585,0.999592585,0.999592585,0.999691399,0.999691399,0.999691399,40.78138733,40.78138733,40.78138733,20091.28571,20088,20095,0,0,0,0.901408451,0.901408451,0.901408451,0,0,0,0,0,0,0.914285714,0.914285714,0.914285714,0,0,0,0.98929821,0.98929821,0.98929821,0.995952486,0.995952486,0.995952486,40.85958481,40.85958481,40.85958481
20,20099.6,20096,20103,0.789473684,0.789473684,0.789473684,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0.990612648,0.990612648,0.990612648,0.994793713,0.994793713,0.994793713,40.88448334,40.88448334,40.88448334,20098.91667,20096,20103,0.319148936,0.319148936,0.319148936,0.596491228,0.596491228,0.596491228,0,0,0,0.410958904,0.410958904,0.410958904,0.441558442,0.441558442,0.441558442,0,0,0,0.984239041,0.984239041,0.984239041,0.989730615,0.989730615,0.989730615,41.12498093,41.12498093,41.12498093
21,20107.45455,20104,20111,0.765957447,0.765957447,0.765957447,0.777777778,0.777777778,0.777777778,0,0,0,0.857142857,0.857142857,0.857142857,0.848484848,0.848484848,0.848484848,0,0,0,0.998729352,0.998729352,0.998729352,0.995539697,0.995539697,0.995539697,40.80371857,40.80371857,40.80371857,20107.41667,20104,20111,0.251748252,0.251748252,0.251748252,0.383561644,0.383561644,0.383561644,0,0,0,0.36,0.36,0.36,0.32183908,0.32183908,0.32183908,0,0,0,0.988905838,0.988905838,0.988905838,0.964927793,0.964927793,0.964927793,41.05666351,41.05666351,41.05666351
22,20115.9,20112,20119,0,0,0,0.984615385,0.984615385,0.984615385,0,0,0,0,0,0,0.941176471,0.941176471,0.941176471,0,0,0,0.999745715,0.999745715,0.999745715,0.999532637,0.999532637,0.999532637,40.78100204,40.78100204,40.78100204,20115.18182,20112,20119,0,0,0,0.703296703,0.703296703,0.703296703,0,0,0,0,0,0,0.666666667,0.666666667,0.666666667,0,0,0,0.995146375,0.995146375,0.995146375,0.999766373,0.999766373,0.999766373,40.8294754,40.8294754,40.8294754
23,20123.76923,20120,20127,0,0,0,0.96969697,0.96969697,0.96969697,0,0,0,0,0,0,0.96969697,0.96969697,0.96969697,0,0,0,0.996044522,0.996044522,0.996044522,0.997733265,0.997733265,0.997733265,40.83476257,40.83476257,40.83476257,20123,20120,20127,0,0,0,0.876712329,0.876712329,0.876712329,0,0,0,0,0,0,0.901408451,0.901408451,0.901408451,0,0,0,0.997597931,0.997597931,0.997597931,0.999630553,0.999630553,0.999630553,40.79250717,40.79250717,40.79250717
24,20131.78571,20128,20135,0.7,0.7,0.7,0.961538462,0.961538462,0.961538462,0,0,0,0.7,0.7,0.7,1,1,1,0,0,0,0.990173847,0.990173847,0.990173847,0.998794051,0.998794051,0.998794051,40.79867935,40.79867935,40.79867935,20131.18182,20128,20135,0.4375,0.4375,0.4375,0.704225352,0.704225352,0.704225352,0,0,0,0.466666667,0.466666667,0.466666667,0.757575758,0.757575758,0.757575758,0,0,0,0.978786751,0.978786751,0.978786751,0.995966929,0.995966929,0.995966929,40.89799881,40.89799881,40.89799881
25,20139.69231,20136,20143,0.771084337,0.771084337,0.771084337,0,0,0,0,0,0,0.744186047,0.744186047,0.744186047,0,0,0,0,0,0,0.99504866,0.99504866,0.99504866,0.998157133,0.998157133,0.998157133,40.83493805,40.83493805,40.83493805,20139.54545,20136,20143,0.598130841,0.598130841,0.598130841,0,0,0,0,0,0,0.603773585,0.603773585,0.603773585,0,0,0,0,0,0,0.982248521,0.982248521,0.982248521,0.989682118,0.989682118,0.989682118,41.11730957,41.11730957,41.11730957
26,20147.42857,20144,20151,0.673684211,0.673684211,0.673684211,0,0,0,0,0,0,0.96969697,0.96969697,0.96969697,0,0,0,0,0,0,0.995324741,0.995324741,0.995324741,0.994518403,0.994518403,0.994518403,40.91503525,40.91503525,40.91503525,20147.33333,20144,20151,0.62745098,0.62745098,0.62745098,0,0,0,0,0,0,0.703296703,0.703296703,0.703296703,0,0,0,0,0,0,0.983806176,0.983806176,0.983806176,0.979714041,0.979714041,0.979714041,41.24365616,41.24365616,41.24365616
