"validation_step","sso01-adamw-lr2e-5-base-2fg7kdwu - _step","sso01-adamw-lr2e-5-base-2fg7kdwu - _step__MIN","sso01-adamw-lr2e-5-base-2fg7kdwu - _step__MAX","sso01-adamw-lr2e-5-base-2fg7kdwu - validation/f1_score-iiE","sso01-adamw-lr2e-5-base-2fg7kdwu - validation/f1_score-iiE__MIN","sso01-adamw-lr2e-5-base-2fg7kdwu - validation/f1_score-iiE__MAX","sso01-adamw-lr2e-5-base-2fg7kdwu - validation/f1_score-iEE","sso01-adamw-lr2e-5-base-2fg7kdwu - validation/f1_score-iEE__MIN","sso01-adamw-lr2e-5-base-2fg7kdwu - validation/f1_score-iEE__MAX","sso01-adamw-lr2e-5-base-2fg7kdwu - validation/f1_score-EEi","sso01-adamw-lr2e-5-base-2fg7kdwu - validation/f1_score-EEi__MIN","sso01-adamw-lr2e-5-base-2fg7kdwu - validation/f1_score-EEi__MAX","sso01-adamw-lr2e-5-base-2fg7kdwu - validation/f1_score-Eii","sso01-adamw-lr2e-5-base-2fg7kdwu - validation/f1_score-Eii__MIN","sso01-adamw-lr2e-5-base-2fg7kdwu - validation/f1_score-Eii__MAX"
"24","20131.25","20129","20133","0.5","0.5","0.5","0.6097560975609756","0.6097560975609756","0.6097560975609756","0.1590909090909091","0.1590909090909091","0.1590909090909091","0.1346153846153846","0.1346153846153846","0.1346153846153846"
"25","20139.25","20137","20141","0","0","0","0","0","0","0.5245901639344263","0.5245901639344263","0.5245901639344263","0.35754189944134074","0.35754189944134074","0.35754189944134074"
"26","20147.25","20145","20149","0","0","0","0","0","0","0.9014084507042254","0.9014084507042254","0.9014084507042254","0.5714285714285715","0.5714285714285715","0.5714285714285715"
"27","20155.25","20153","20157","0.2631578947368421","0.2631578947368421","0.2631578947368421","0.3125","0.3125","0.3125","0.6352941176470588","0.6352941176470588","0.6352941176470588","0.44628099173553726","0.44628099173553726","0.44628099173553726"
"28","20163.25","20161","20165","0.8311688311688311","0.8311688311688311","0.8311688311688311","0.8205128205128205","0.8205128205128205","0.8205128205128205","0","0","0","0","0","0"
"29","20171.25","20169","20173","0.8533333333333333","0.8533333333333333","0.8533333333333333","0.8533333333333333","0.8533333333333333","0.8533333333333333","0.48120300751879697","0.48120300751879697","0.48120300751879697","0.3282051282051282","0.3282051282051282","0.3282051282051282"
"30","20179.25","20177","20181","0.8648648648648648","0.8648648648648648","0.8648648648648648","0.8","0.8","0.8","0.4671532846715329","0.4671532846715329","0.4671532846715329","0.3615819209039548","0.3615819209039548","0.3615819209039548"
"31","20187.25","20185","20189","0.7169811320754718","0.7169811320754718","0.7169811320754718","0.7169811320754718","0.7169811320754718","0.7169811320754718","0.6881720430107526","0.6881720430107526","0.6881720430107526","0.4025157232704403","0.4025157232704403","0.4025157232704403"
"32","20195.25","20193","20197","0.44000000000000006","0.44000000000000006","0.44000000000000006","0.4782608695652174","0.4782608695652174","0.4782608695652174","0.5","0.5","0.5","0.27096774193548384","0.27096774193548384","0.27096774193548384"
"33","20203.25","20201","20205","0.9014084507042254","0.9014084507042254","0.9014084507042254","0.8205128205128205","0.8205128205128205","0.8205128205128205","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.16494845360824742","0.16494845360824742","0.16494845360824742"
"34","20211.25","20209","20213","0.45070422535211263","0.45070422535211263","0.45070422535211263","0.5039370078740157","0.5039370078740157","0.5039370078740157","0.6095238095238095","0.6095238095238095","0.6095238095238095","0.4671532846715329","0.4671532846715329","0.4671532846715329"
"35","20219.25","20217","20221","0.6464646464646464","0.6464646464646464","0.6464646464646464","0.8","0.8","0.8","0.9696969696969697","0.9696969696969697","0.9696969696969697","0.5614035087719299","0.5614035087719299","0.5614035087719299"
"36","20227.25","20225","20229","0.047619047619047616","0.047619047619047616","0.047619047619047616","0.0909090909090909","0.0909090909090909","0.0909090909090909","0.927536231884058","0.927536231884058","0.927536231884058","0.48120300751879697","0.48120300751879697","0.48120300751879697"
"37","20235.25","20233","20237","0.47692307692307695","0.47692307692307695","0.47692307692307695","0.3583815028901734","0.3583815028901734","0.3583815028901734","0.7391304347826086","0.7391304347826086","0.7391304347826086","0.36","0.36","0.36"
"38","20243.25","20241","20245","0.5203252032520326","0.5203252032520326","0.5203252032520326","0.4050632911392405","0.4050632911392405","0.4050632911392405","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.3878787878787879","0.3878787878787879","0.3878787878787879"
"39","20251.25","20249","20253","0.4413793103448276","0.4413793103448276","0.4413793103448276","0.4","0.4","0.4","0.8648648648648648","0.8648648648648648","0.8648648648648648","0.6153846153846153","0.6153846153846153","0.6153846153846153"
"40","20259.25","20257","20261","0.33333333333333337","0.33333333333333337","0.33333333333333337","0.3434343434343434","0.3434343434343434","0.3434343434343434","0.6071428571428571","0.6071428571428571","0.6071428571428571","0.3908045977011494","0.3908045977011494","0.3908045977011494"
"41","20267.25","20265","20269","0.5079365079365079","0.5079365079365079","0.5079365079365079","0.5517241379310345","0.5517241379310345","0.5517241379310345","0.5901639344262295","0.5901639344262295","0.5901639344262295","0.4615384615384615","0.4615384615384615","0.4615384615384615"
"42","20275.25","20273","20277","0.5565217391304349","0.5565217391304349","0.5565217391304349","0.5981308411214953","0.5981308411214953","0.5981308411214953","1","1","1","0.9014084507042254","0.9014084507042254","0.9014084507042254"
"43","20283.25","20281","20285","0.35443037974683544","0.35443037974683544","0.35443037974683544","0.4745762711864407","0.4745762711864407","0.4745762711864407","0.8311688311688311","0.8311688311688311","0.8311688311688311","0.8421052631578948","0.8421052631578948","0.8421052631578948"
"44","20291.25","20289","20293","0.3220338983050848","0.3220338983050848","0.3220338983050848","0.4864864864864865","0.4864864864864865","0.4864864864864865","0.6976744186046512","0.6976744186046512","0.6976744186046512","0.6","0.6","0.6"
"45","20299.25","20297","20301","0.6597938144329897","0.6597938144329897","0.6597938144329897","0.9696969696969697","0.9696969696969697","0.9696969696969697","0.9411764705882353","0.9411764705882353","0.9411764705882353","0.7191011235955056","0.7191011235955056","0.7191011235955056"
"46","20307.25","20305","20309","0.761904761904762","0.761904761904762","0.761904761904762","0.9696969696969697","0.9696969696969697","0.9696969696969697","0.735632183908046","0.735632183908046","0.735632183908046","0.547008547008547","0.547008547008547","0.547008547008547"
"47","20315.25","20313","20317","0.5757575757575757","0.5757575757575757","0.5757575757575757","0.5757575757575757","0.5757575757575757","0.5757575757575757","0.6399999999999999","0.6399999999999999","0.6399999999999999","0.3870967741935484","0.3870967741935484","0.3870967741935484"
"48","20323.25","20321","20325","0.38554216867469876","0.38554216867469876","0.38554216867469876","0.45714285714285713","0.45714285714285713","0.45714285714285713","0.5365853658536585","0.5365853658536585","0.5365853658536585","0.35200000000000004","0.35200000000000004","0.35200000000000004"
"49","20331.25","20329","20333","0.37426900584795325","0.37426900584795325","0.37426900584795325","0.5","0.5","0.5","0.4539007092198582","0.4539007092198582","0.4539007092198582","0.3018867924528302","0.3018867924528302","0.3018867924528302"
"50","20339.25","20337","20341","0.34532374100719426","0.34532374100719426","0.34532374100719426","0.4137931034482759","0.4137931034482759","0.4137931034482759","0.35754189944134074","0.35754189944134074","0.35754189944134074","0.32160804020100503","0.32160804020100503","0.32160804020100503"
"51","20347.25","20345","20349","0.3120567375886525","0.3120567375886525","0.3120567375886525","0.33082706766917297","0.33082706766917297","0.33082706766917297","0.17543859649122806","0.17543859649122806","0.17543859649122806","0.14388489208633096","0.14388489208633096","0.14388489208633096"
"52","20355.25","20353","20357","0.4444444444444445","0.4444444444444445","0.4444444444444445","0.463768115942029","0.463768115942029","0.463768115942029","0.3968253968253968","0.3968253968253968","0.3968253968253968","0.373134328358209","0.373134328358209","0.373134328358209"
"53","20363.25","20361","20365","0.3878787878787879","0.3878787878787879","0.3878787878787879","0.4129032258064516","0.4129032258064516","0.4129032258064516","0.45714285714285713","0.45714285714285713","0.45714285714285713","0.4383561643835616","0.4383561643835616","0.4383561643835616"
"54","20371.25","20369","20373","0.5544554455445544","0.5544554455445544","0.5544554455445544","0.5656565656565656","0.5656565656565656","0.5656565656565656","0.44755244755244755","0.44755244755244755","0.44755244755244755","0.4324324324324324","0.4324324324324324","0.4324324324324324"
"55","20379.25","20377","20381","0.391304347826087","0.391304347826087","0.391304347826087","0.42857142857142855","0.42857142857142855","0.42857142857142855","0.4036697247706423","0.4036697247706423","0.4036697247706423","0.368","0.368","0.368"
"56","20387.25","20385","20389","0.653061224489796","0.653061224489796","0.653061224489796","0.7111111111111111","0.7111111111111111","0.7111111111111111","0.8571428571428571","0.8571428571428571","0.8571428571428571","0.6486486486486487","0.6486486486486487","0.6486486486486487"
"57","20395.25","20393","20397","0.6336633663366337","0.6336633663366337","0.6336633663366337","0.6153846153846153","0.6153846153846153","0.6153846153846153","0.9846153846153847","0.9846153846153847","0.9846153846153847","0.6736842105263158","0.6736842105263158","0.6736842105263158"
"58","20403.25","20401","20405","0.8767123287671234","0.8767123287671234","0.8767123287671234","0.8421052631578948","0.8421052631578948","0.8421052631578948","1","1","1","0.7191011235955056","0.7191011235955056","0.7191011235955056"
"59","20411.25","20409","20413","0.28","0.28","0.28","0.34285714285714286","0.34285714285714286","0.34285714285714286","0.9473684210526316","0.9473684210526316","0.9473684210526316","0.6835443037974684","0.6835443037974684","0.6835443037974684"
"60","20419.25","20417","20421","0.7191011235955056","0.7191011235955056","0.7191011235955056","0.810126582278481","0.810126582278481","0.810126582278481","0.18181818181818182","0.18181818181818182","0.18181818181818182","0.175","0.175","0.175"
"61","20427.25","20425","20429","0.5818181818181819","0.5818181818181819","0.5818181818181819","0.6808510638297872","0.6808510638297872","0.6808510638297872","0.5981308411214953","0.5981308411214953","0.5981308411214953","0.5","0.5","0.5"
"62","20435.25","20433","20437","0.547008547008547","0.547008547008547","0.547008547008547","0.6736842105263158","0.6736842105263158","0.6736842105263158","0.6464646464646464","0.6464646464646464","0.6464646464646464","0.4671532846715329","0.4671532846715329","0.4671532846715329"
"63","20443.25","20441","20445","0.27397260273972607","0.27397260273972607","0.27397260273972607","0.4444444444444445","0.4444444444444445","0.4444444444444445","0.5925925925925926","0.5925925925925926","0.5925925925925926","0.47619047619047616","0.47619047619047616","0.47619047619047616"
"64","20451.25","20449","20453","0.6037735849056604","0.6037735849056604","0.6037735849056604","0.761904761904762","0.761904761904762","0.761904761904762","0","0","0","0","0","0"
"65","20459.25","20457","20461","0.45714285714285713","0.45714285714285713","0.45714285714285713","0.5161290322580645","0.5161290322580645","0.5161290322580645","0","0","0","0","0","0"
"66","20467.25","20465","20469","0.5","0.5","0.5","0.4791666666666667","0.4791666666666667","0.4791666666666667","0","0","0","0","0","0"
"67","20475.25","20473","20477","0.7792207792207793","0.7792207792207793","0.7792207792207793","0.7692307692307693","0.7692307692307693","0.7692307692307693","0.23999999999999996","0.23999999999999996","0.23999999999999996","0.21052631578947367","0.21052631578947367","0.21052631578947367"
"68","20483.25","20481","20485","0.6060606060606061","0.6060606060606061","0.6060606060606061","0.49751243781094534","0.49751243781094534","0.49751243781094534","0.5245901639344263","0.5245901639344263","0.5245901639344263","0.463768115942029","0.463768115942029","0.463768115942029"
"69","20491.25","20489","20493","0.49042145593869724","0.49042145593869724","0.49042145593869724","0.5","0.5","0.5","0.45045045045045046","0.45045045045045046","0.45045045045045046","0.4608294930875576","0.4608294930875576","0.4608294930875576"
"70","20499.25","20497","20501","0.5774647887323945","0.5774647887323945","0.5774647887323945","0.4939759036144578","0.4939759036144578","0.4939759036144578","0.6066350710900473","0.6066350710900473","0.6066350710900473","0.4885496183206107","0.4885496183206107","0.4885496183206107"
"71","20507.25","20505","20509","0.5279999999999999","0.5279999999999999","0.5279999999999999","0.49612403100775193","0.49612403100775193","0.49612403100775193","0.4402515723270441","0.4402515723270441","0.4402515723270441","0.3111111111111111","0.3111111111111111","0.3111111111111111"
"72","20515.25","20513","20517","0.4324324324324324","0.4324324324324324","0.4324324324324324","0.4","0.4","0.4","0.46715328467153283","0.46715328467153283","0.46715328467153283","0.29357798165137616","0.29357798165137616","0.29357798165137616"
"73","20523.25","20521","20525","0.5289256198347108","0.5289256198347108","0.5289256198347108","0.4923076923076923","0.4923076923076923","0.4923076923076923","0.5289256198347108","0.5289256198347108","0.5289256198347108","0.4129032258064516","0.4129032258064516","0.4129032258064516"
"74","20531.25","20529","20533","0.5245901639344263","0.5245901639344263","0.5245901639344263","0.5614035087719299","0.5614035087719299","0.5614035087719299","0.5079365079365079","0.5079365079365079","0.5079365079365079","0.2612244897959184","0.2612244897959184","0.2612244897959184"
"75","20539.25","20537","20541","0.3448275862068966","0.3448275862068966","0.3448275862068966","0.45454545454545453","0.45454545454545453","0.45454545454545453","0.4539007092198582","0.4539007092198582","0.4539007092198582","0.21768707482993196","0.21768707482993196","0.21768707482993196"
"76","20547.25","20545","20549","0.49586776859504134","0.49586776859504134","0.49586776859504134","0.5555555555555556","0.5555555555555556","0.5555555555555556","0.5538461538461539","0.5538461538461539","0.5538461538461539","0.4615384615384615","0.4615384615384615","0.4615384615384615"
"77","20555.25","20553","20557","0.5714285714285715","0.5714285714285715","0.5714285714285715","0.5614035087719299","0.5614035087719299","0.5614035087719299","0.5765765765765766","0.5765765765765766","0.5765765765765766","0.4539007092198582","0.4539007092198582","0.4539007092198582"
"78","20563.25","20561","20565","0.4740740740740741","0.4740740740740741","0.4740740740740741","0.6274509803921569","0.6274509803921569","0.6274509803921569","0.6274509803921569","0.6274509803921569","0.6274509803921569","0.5161290322580645","0.5161290322580645","0.5161290322580645"
"79","20571.25","20569","20573","0.5753424657534247","0.5753424657534247","0.5753424657534247","0.7636363636363637","0.7636363636363637","0.7636363636363637","0.6451612903225806","0.6451612903225806","0.6451612903225806","0.5194805194805194","0.5194805194805194","0.5194805194805194"
"80","20579.25","20577","20581","0.48484848484848486","0.48484848484848486","0.48484848484848486","0.6399999999999999","0.6399999999999999","0.6399999999999999","0","0","0","0","0","0"
"81","20587.25","20585","20589","0.4129032258064516","0.4129032258064516","0.4129032258064516","0.5289256198347108","0.5289256198347108","0.5289256198347108","0","0","0","0","0","0"
"82","20595.25","20593","20597","0.38028169014084506","0.38028169014084506","0.38028169014084506","0.5567010309278351","0.5567010309278351","0.5567010309278351","0.5882352941176471","0.5882352941176471","0.5882352941176471","0.2631578947368421","0.2631578947368421","0.2631578947368421"
"83","20603.25","20601","20605","0","0","0","0","0","0","0.8205128205128205","0.8205128205128205","0.8205128205128205","0.6736842105263158","0.6736842105263158","0.6736842105263158"
"84","20611.25","20609","20613","0","0","0","0","0","0","0.9696969696969697","0.9696969696969697","0.9696969696969697","0.9411764705882353","0.9411764705882353","0.9411764705882353"
"85","20619.25","20617","20621","0.3793103448275862","0.3793103448275862","0.3793103448275862","0.5945945945945945","0.5945945945945945","0.5945945945945945","0.37037037037037035","0.37037037037037035","0.37037037037037035","0.30303030303030304","0.30303030303030304","0.30303030303030304"
"86","20627.25","20625","20629","0.39506172839506176","0.39506172839506176","0.39506172839506176","0.6399999999999999","0.6399999999999999","0.6399999999999999","0.3859649122807018","0.3859649122807018","0.3859649122807018","0.37288135593220334","0.37288135593220334","0.37288135593220334"
"87","20635.25","20633","20637","0.4383561643835616","0.4383561643835616","0.4383561643835616","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.6336633663366337","0.6336633663366337","0.6336633663366337","0.5378151260504201","0.5378151260504201","0.5378151260504201"
"88","20643.25","20641","20645","0.26993865030674846","0.26993865030674846","0.26993865030674846","0.31884057971014496","0.31884057971014496","0.31884057971014496","0.7804878048780487","0.7804878048780487","0.7804878048780487","0.6808510638297872","0.6808510638297872","0.6808510638297872"
"89","20651.25","20649","20653","0","0","0","0","0","0","0.9411764705882353","0.9411764705882353","0.9411764705882353","0.6597938144329897","0.6597938144329897","0.6597938144329897"
"90","20659.25","20657","20661","0.7532467532467533","0.7532467532467533","0.7532467532467533","0.8169014084507042","0.8169014084507042","0.8169014084507042","0.5625","0.5625","0.5625","0.4556962025316456","0.4556962025316456","0.4556962025316456"
"91","20667.25","20665","20669","0.8311688311688311","0.8311688311688311","0.8311688311688311","1","1","1","0.6597938144329897","0.6597938144329897","0.6597938144329897","0.7804878048780487","0.7804878048780487","0.7804878048780487"
"92","20675.25","20673","20677","0.6597938144329897","0.6597938144329897","0.6597938144329897","0.8533333333333333","0.8533333333333333","0.8533333333333333","0.8767123287671234","0.8767123287671234","0.8767123287671234","0.6808510638297872","0.6808510638297872","0.6808510638297872"
"93","20683.25","20681","20685","0.8260869565217391","0.8260869565217391","0.8260869565217391","0.9743589743589743","0.9743589743589743","0.9743589743589743","0.647887323943662","0.647887323943662","0.647887323943662","0.5052631578947369","0.5052631578947369","0.5052631578947369"
"94","20691.25","20689","20693","0.6956521739130436","0.6956521739130436","0.6956521739130436","0.9411764705882353","0.9411764705882353","0.9411764705882353","0.8484848484848484","0.8484848484848484","0.8484848484848484","0.43750000000000006","0.43750000000000006","0.43750000000000006"
"95","20699.25","20697","20701","0.7901234567901235","0.7901234567901235","0.7901234567901235","0.9696969696969697","0.9696969696969697","0.9696969696969697","0.735632183908046","0.735632183908046","0.735632183908046","0.5333333333333333","0.5333333333333333","0.5333333333333333"
"96","20707.25","20705","20709","0.763157894736842","0.763157894736842","0.763157894736842","0.90625","0.90625","0.90625","0.927536231884058","0.927536231884058","0.927536231884058","0.6881720430107526","0.6881720430107526","0.6881720430107526"
"97","20715.25","20713","20717","0.5306122448979591","0.5306122448979591","0.5306122448979591","0.5909090909090909","0.5909090909090909","0.5909090909090909","0.5277777777777778","0.5277777777777778","0.5277777777777778","0.4470588235294118","0.4470588235294118","0.4470588235294118"
"98","20723.25","20721","20725","0.7710843373493976","0.7710843373493976","0.7710843373493976","0.7032967032967034","0.7032967032967034","0.7032967032967034","0.8571428571428571","0.8571428571428571","0.8571428571428571","0.4615384615384615","0.4615384615384615","0.4615384615384615"
"99","20731.25","20729","20733","0.5039370078740157","0.5039370078740157","0.5039370078740157","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.9014084507042254","0.9014084507042254","0.9014084507042254","0.512","0.512","0.512"
"100","20739.25","20737","20741","0.48756218905472637","0.48756218905472637","0.48756218905472637","0.5975609756097561","0.5975609756097561","0.5975609756097561","0.5245901639344263","0.5245901639344263","0.5245901639344263","0.3106796116504854","0.3106796116504854","0.3106796116504854"
"101","20747.25","20745","20749","0.4129554655870446","0.4129554655870446","0.4129554655870446","0.5666666666666667","0.5666666666666667","0.5666666666666667","0.8723404255319149","0.8723404255319149","0.8723404255319149","0.48809523809523814","0.48809523809523814","0.48809523809523814"
"102","20755.25","20753","20757","0.4025157232704403","0.4025157232704403","0.4025157232704403","0.5203252032520326","0.5203252032520326","0.5203252032520326","0.761904761904762","0.761904761904762","0.761904761904762","0.3636363636363636","0.3636363636363636","0.3636363636363636"
"103","20763.25","20761","20765","0.2568807339449541","0.2568807339449541","0.2568807339449541","0.3835616438356164","0.3835616438356164","0.3835616438356164","0.653061224489796","0.653061224489796","0.653061224489796","0.49612403100775193","0.49612403100775193","0.49612403100775193"
"104","20771.25","20769","20773","0.6885245901639345","0.6885245901639345","0.6885245901639345","0.8163265306122449","0.8163265306122449","0.8163265306122449","0.46808510638297873","0.46808510638297873","0.46808510638297873","0.2528735632183908","0.2528735632183908","0.2528735632183908"
"105","20779.25","20777","20781","0.7272727272727273","0.7272727272727273","0.7272727272727273","0.8205128205128205","0.8205128205128205","0.8205128205128205","0.7529411764705882","0.7529411764705882","0.7529411764705882","0.39506172839506176","0.39506172839506176","0.39506172839506176"
"106","20787.25","20785","20789","0.5662650602409639","0.5662650602409639","0.5662650602409639","0.6573426573426574","0.6573426573426574","0.6573426573426574","0.927536231884058","0.927536231884058","0.927536231884058","0.7529411764705882","0.7529411764705882","0.7529411764705882"
"107","20795.25","20793","20797","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.5027932960893855","0.5027932960893855","0.5027932960893855","0.6705202312138728","0.6705202312138728","0.6705202312138728","0.5800000000000001","0.5800000000000001","0.5800000000000001"
"108","20803.25","20801","20805","0.36994219653179194","0.36994219653179194","0.36994219653179194","0.39506172839506176","0.39506172839506176","0.39506172839506176","0.8674698795180723","0.8674698795180723","0.8674698795180723","0.7741935483870968","0.7741935483870968","0.7741935483870968"
